semantic_cluster,cluster_size,rank,role,cosine_to_cluster_centroid,activation_label_distribution,top_terms
4,39,1,elder,0.725284,"{""grounded_social"": 22, ""mythic_spiritual"": 11, ""other"": 4, ""procedural_professional"": 1, ""trickster_chaos"": 1}","has, life, someone, through, understands, experience, someone_has, challenges, new, while, navigating, bring, embody, family"
4,39,2,expatriate,0.724334,"{""grounded_social"": 22, ""mythic_spiritual"": 11, ""other"": 4, ""procedural_professional"": 1, ""trickster_chaos"": 1}","has, life, someone, through, understands, experience, someone_has, challenges, new, while, navigating, bring, embody, family"
4,39,3,survivor,0.710871,"{""grounded_social"": 22, ""mythic_spiritual"": 11, ""other"": 4, ""procedural_professional"": 1, ""trickster_chaos"": 1}","has, life, someone, through, understands, experience, someone_has, challenges, new, while, navigating, bring, embody, family"
4,39,4,prisoner,0.700626,"{""grounded_social"": 22, ""mythic_spiritual"": 11, ""other"": 4, ""procedural_professional"": 1, ""trickster_chaos"": 1}","has, life, someone, through, understands, experience, someone_has, challenges, new, while, navigating, bring, embody, family"
4,39,5,refugee,0.677791,"{""grounded_social"": 22, ""mythic_spiritual"": 11, ""other"": 4, ""procedural_professional"": 1, ""trickster_chaos"": 1}","has, life, someone, through, understands, experience, someone_has, challenges, new, while, navigating, bring, embody, family"
4,39,6,orphan,0.663471,"{""grounded_social"": 22, ""mythic_spiritual"": 11, ""other"": 4, ""procedural_professional"": 1, ""trickster_chaos"": 1}","has, life, someone, through, understands, experience, someone_has, challenges, new, while, navigating, bring, embody, family"
4,39,7,nomad,0.651551,"{""grounded_social"": 22, ""mythic_spiritual"": 11, ""other"": 4, ""procedural_professional"": 1, ""trickster_chaos"": 1}","has, life, someone, through, understands, experience, someone_has, challenges, new, while, navigating, bring, embody, family"
4,39,8,hermit,0.622996,"{""grounded_social"": 22, ""mythic_spiritual"": 11, ""other"": 4, ""procedural_professional"": 1, ""trickster_chaos"": 1}","has, life, someone, through, understands, experience, someone_has, challenges, new, while, navigating, bring, embody, family"
4,39,9,immigrant,0.622527,"{""grounded_social"": 22, ""mythic_spiritual"": 11, ""other"": 4, ""procedural_professional"": 1, ""trickster_chaos"": 1}","has, life, someone, through, understands, experience, someone_has, challenges, new, while, navigating, bring, embody, family"
4,39,10,exile,0.621324,"{""grounded_social"": 22, ""mythic_spiritual"": 11, ""other"": 4, ""procedural_professional"": 1, ""trickster_chaos"": 1}","has, life, someone, through, understands, experience, someone_has, challenges, new, while, navigating, bring, embody, family"
5,43,1,recruiter,0.664077,"{""editorial"": 5, ""grounded_social"": 2, ""procedural_professional"": 36}","bring, specializes, extensive, bring_extensive, experience, someone, skilled, extensive_experience, various, identifying, excels, across, comprehensive, through"
5,43,2,researcher,0.658733,"{""editorial"": 5, ""grounded_social"": 2, ""procedural_professional"": 36}","bring, specializes, extensive, bring_extensive, experience, someone, skilled, extensive_experience, various, identifying, excels, across, comprehensive, through"
5,43,3,consultant,0.657638,"{""editorial"": 5, ""grounded_social"": 2, ""procedural_professional"": 36}","bring, specializes, extensive, bring_extensive, experience, someone, skilled, extensive_experience, various, identifying, excels, across, comprehensive, through"
5,43,4,navigator,0.656709,"{""editorial"": 5, ""grounded_social"": 2, ""procedural_professional"": 36}","bring, specializes, extensive, bring_extensive, experience, someone, skilled, extensive_experience, various, identifying, excels, across, comprehensive, through"
5,43,5,evaluator,0.655847,"{""editorial"": 5, ""grounded_social"": 2, ""procedural_professional"": 36}","bring, specializes, extensive, bring_extensive, experience, someone, skilled, extensive_experience, various, identifying, excels, across, comprehensive, through"
