role,activation_cluster,role_name_k5,role_name_k7,role_name_k10,original_prompt_k5,original_prompt_k7,original_prompt_k10,no_label_prompt_k5,no_label_prompt_k7,no_label_prompt_k10
aberration,mythic_spiritual,3,3,3,1,4,4,0,0,0
absurdist,trickster_chaos,3,6,6,3,3,3,3,2,3
accountant,procedural_professional,3,5,5,2,2,2,1,5,5
activist,procedural_professional,2,4,4,2,2,7,0,0,9
actor,grounded_social,2,2,2,0,0,8,3,3,8
addict,grounded_social,4,5,5,1,1,1,0,0,0
adolescent,other,2,5,5,1,1,1,3,3,1
advocate,procedural_professional,2,2,2,2,5,7,2,4,4
alien,mythic_spiritual,0,0,0,4,4,4,0,0,0
altruist,procedural_professional,0,0,0,0,0,0,2,2,2
amateur,grounded_social,4,4,4,0,0,0,0,0,2
ambassador,procedural_professional,4,4,4,0,0,0,4,5,8
amnesiac,other,3,3,3,1,1,1,0,0,2
analyst,procedural_professional,4,5,6,3,3,3,1,1,5
anarchist,procedural_professional,4,4,4,2,2,7,0,0,9
ancient,mythic_spiritual,0,3,9,1,1,4,3,3,3
angel,mythic_spiritual,4,5,5,4,4,4,0,0,0
anthropologist,procedural_professional,0,0,0,2,2,8,1,1,5
archaeologist,procedural_professional,3,3,3,3,3,3,1,1,5
architect,procedural_professional,4,4,4,2,2,2,4,5,5
archivist,procedural_professional,2,2,2,2,2,2,1,5,5
artisan,mythic_spiritual,1,1,1,2,2,2,1,1,5
ascetic,mythic_spiritual,3,3,3,4,1,1,0,0,0
assistant,procedural_professional,0,4,6,4,5,5,1,1,6
auctioneer,grounded_social,0,1,8,2,2,2,4,4,4
auditor,procedural_professional,1,6,6,3,5,5,4,5,7
avatar,mythic_spiritual,4,6,6,4,4,4,3,3,0
bard,mythic_spiritual,1,1,8,4,6,6,4,4,4
bartender,grounded_social,4,4,4,2,2,2,4,5,5
biologist,procedural_professional,0,2,0,2,2,2,1,5,5
blogger,grounded_social,1,1,1,0,6,6,4,4,4
bohemian,mythic_spiritual,4,6,6,3,3,3,0,0,9
builder,procedural_professional,1,1,1,2,2,2,4,5,5
caregiver,procedural_professional,4,5,5,0,0,0,2,6,6
cartographer,procedural_professional,4,4,4,2,2,2,4,5,5
caveman,other,0,0,9,1,3,4,2,2,2
celebrity,grounded_social,1,6,6,1,1,1,3,3,3
chameleon,grounded_social,4,5,5,0,0,8,0,0,2
chef,grounded_social,4,4,4,2,2,2,4,5,5
chemist,procedural_professional,0,3,3,2,2,2,1,5,5
chimera,mythic_spiritual,2,2,2,4,4,4,0,0,0
coach,procedural_professional,1,5,5,0,0,9,2,1,1
collaborator,procedural_professional,1,5,1,0,0,0,2,2,8
collector,procedural_professional,2,2,2,2,2,2,1,5,5
comedian,other,4,0,0,3,6,6,2,2,2
competitor,combative_iconoclast,4,5,5,0,0,0,2,2,2
composer,mythic_spiritual,4,1,4,2,2,2,4,1,5
conservator,procedural_professional,1,2,1,2,2,2,1,0,5
consultant,procedural_professional,4,4,8,3,5,5,1,1,5
contrarian,combative_iconoclast,2,6,6,3,3,7,2,2,9
coordinator,procedural_professional,0,0,0,2,2,2,4,5,8
coral_reef,mythic_spiritual,1,3,1,0,0,0,0,0,0
cosmopolitan,procedural_professional,4,5,5,1,1,8,0,0,8
counselor,procedural_professional,4,5,5,0,0,0,2,6,6
criminal,grounded_social,3,3,3,1,1,1,3,3,3
critic,procedural_professional,3,3,8,3,5,5,4,5,7
crystalline,other,2,2,2,4,4,4,0,0,0
curator,procedural_professional,2,2,2,2,2,8,4,4,4
cyborg,procedural_professional,0,0,0,3,4,3,1,0,0
cynic,combative_iconoclast,0,0,0,1,0,7,2,2,2
daredevil,grounded_social,2,2,2,0,1,0,3,3,3
debugger,procedural_professional,1,1,1,2,5,5,1,5,5
demon,mythic_spiritual,0,0,0,4,4,4,0,0,0
designer,procedural_professional,4,6,6,2,2,2,4,5,5
destroyer,procedural_professional,3,1,1,2,2,2,0,0,9
detective,procedural_professional,1,6,6,3,3,3,1,1,5
devils_advocate,combative_iconoclast,2,2,2,3,3,7,2,2,9
dilettante,trickster_chaos,4,4,4,4,4,0,1,1,1
dispatcher,procedural_professional,0,0,0,2,2,2,4,5,5
divorcee,grounded_social,1,1,1,1,1,1,3,3,3
doctor,procedural_professional,4,4,7,2,5,5,1,6,6
dreamer,mythic_spiritual,2,2,2,4,4,4,0,0,0
echo,mythic_spiritual,3,3,3,1,1,4,0,0,0
economist,procedural_professional,3,5,5,2,2,2,1,1,5
ecosystem,procedural_professional,0,4,4,0,0,0,0,0,0
editor,editorial,1,1,1,2,6,6,4,5,7
egregore,procedural_professional,2,2,2,0,0,0,0,0,0
elder,mythic_spiritual,4,5,5,1,1,1,3,3,3
eldritch,mythic_spiritual,0,0,0,4,4,4,0,0,0
emissary,procedural_professional,0,5,8,0,0,8,4,5,8
empath,procedural_professional,2,2,2,0,0,8,2,6,6
engineer,procedural_professional,1,1,1,2,3,2,1,1,1
entrepreneur,procedural_professional,1,5,5,2,2,0,4,5,5
evaluator,procedural_professional,3,3,8,3,5,5,4,5,7
evangelist,procedural_professional,2,2,2,0,0,0,2,2,9
examiner,editorial,1,6,1,3,5,5,4,5,7
exile,grounded_social,3,3,3,1,1,1,3,3,3
expatriate,grounded_social,3,3,3,1,1,1,3,3,3
facilitator,procedural_professional,0,1,8,0,0,0,4,4,8
familiar,mythic_spiritual,3,3,9,4,4,4,0,0,0
fixer,grounded_social,3,3,3,0,3,8,2,2,2
flaneur,mythic_spiritual,2,2,2,1,1,1,3,3,3
fool,other,1,2,2,3,6,6,2,2,2
forecaster,procedural_professional,3,3,8,3,3,3,1,1,5
futurist,procedural_professional,3,3,8,3,3,3,1,1,5
gamer,other,2,2,2,1,1,8,3,3,3
generalist,procedural_professional,4,4,4,4,4,4,1,1,1
genie,trickster_chaos,3,3,9,4,4,4,2,2,2
geographer,procedural_professional,0,0,0,2,2,2,1,1,5
ghost,mythic_spiritual,1,1,1,4,1,4,3,3,3
golem,mythic_spiritual,3,3,9,4,4,4,0,0,0
gossip,other,4,4,4,0,0,0,4,4,4
grader,editorial,3,3,8,3,5,5,4,5,7
graduate,grounded_social,3,3,0,1,1,9,3,3,3
grandparent,grounded_social,1,5,5,1,1,1,3,3,3
guardian,procedural_professional,2,2,2,0,0,0,0,0,0
guide,procedural_professional,1,5,5,0,0,0,2,2,2
guru,mythic_spiritual,2,2,9,4,4,4,2,2,1
hacker,grounded_social,1,1,1,2,2,2,1,4,5
healer,procedural_professional,4,3,9,4,4,4,1,6,6
hedonist,trickster_chaos,0,0,0,1,1,1,3,3,3
hermit,mythic_spiritual,4,5,5,1,1,1,3,3,3
historian,procedural_professional,0,0,8,2,2,2,1,4,4
hive,procedural_professional,4,4,4,0,0,0,0,0,0
hoarder,other,3,3,3,1,1,1,0,0,0
homunculus,mythic_spiritual,0,0,0,4,4,4,1,0,0
hybrid,procedural_professional,4,5,5,1,1,8,0,0,0
idealist,procedural_professional,1,1,1,1,5,7,0,0,2
immigrant,grounded_social,1,6,1,1,1,1,3,3,3
improviser,trickster_chaos,3,3,3,0,0,8,2,2,2
infant,other,0,0,5,1,6,4,0,0,0
influencer,grounded_social,4,4,4,0,6,6,4,4,4
instructor,procedural_professional,0,5,5,4,6,9,1,1,1
interpreter,procedural_professional,0,6,6,0,0,8,1,1,8
interviewer,other,4,2,2,3,6,6,4,4,4
jester,trickster_chaos,4,2,2,3,6,6,2,2,2
journalist,procedural_professional,2,6,2,3,6,6,4,4,4
judge,procedural_professional,2,6,6,3,3,3,4,5,7
lawyer,procedural_professional,3,3,3,2,2,2,1,5,5
leviathan,mythic_spiritual,2,2,2,4,4,4,0,0,0
librarian,procedural_professional,0,0,0,2,2,2,4,5,5
linguist,procedural_professional,0,0,0,2,2,2,1,1,5
loner,mythic_spiritual,3,3,4,0,0,0,2,2,2
luddite,other,1,5,1,3,3,7,0,0,9
marketer,procedural_professional,1,5,5,2,2,2,4,5,5
martyr,mythic_spiritual,3,2,2,0,0,0,2,2,2
mathematician,procedural_professional,1,1,1,2,3,9,1,1,1
maverick,combative_iconoclast,0,6,6,3,3,7,2,2,9
mechanic,grounded_social,1,1,1,2,5,5,1,1,1
mediator,procedural_professional,1,5,5,0,0,0,4,5,8
mentor,procedural_professional,4,5,5,0,0,0,4,5,5
merchant,procedural_professional,4,4,4,2,2,2,4,5,5
minimalist,procedural_professional,0,0,0,1,1,1,3,3,3
moderator,other,0,1,8,0,0,0,4,4,8
musician,mythic_spiritual,1,1,1,0,6,8,0,0,0
mycorrhizal,mythic_spiritual,0,4,8,0,0,0,0,0,0
mystic,mythic_spiritual,2,5,9,4,4,4,2,6,1
narcissist,other,3,3,3,0,0,0,2,2,2
narrator,mythic_spiritual,0,1,1,1,6,6,4,4,4
naturalist,procedural_professional,0,4,4,1,1,2,1,1,1
navigator,procedural_professional,0,0,0,2,2,2,4,5,5
negotiator,procedural_professional,1,5,5,0,0,0,4,5,8
networker,procedural_professional,4,4,4,0,0,0,4,5,8
newlywed,grounded_social,1,1,1,1,1,1,3,3,3
nomad,mythic_spiritual,2,2,2,1,1,1,3,3,3
novelist,mythic_spiritual,1,1,1,2,6,6,4,4,4
nutritionist,procedural_professional,4,4,4,2,2,2,4,6,6
observer,procedural_professional,1,1,1,3,3,3,4,4,7
optimist,procedural_professional,2,2,2,0,0,8,2,2,2
oracle,mythic_spiritual,0,0,0,4,4,4,2,2,2
organizer,procedural_professional,0,0,0,2,2,2,4,5,4
orphan,grounded_social,3,3,3,1,1,1,3,3,3
pacifist,procedural_professional,4,4,4,0,0,7,0,0,9
paramedic,procedural_professional,3,3,7,2,5,5,1,6,6
parasite,mythic_spiritual,3,3,3,1,1,1,3,3,3
parent,grounded_social,3,6,6,1,1,1,3,3,3
patient,grounded_social,3,3,7,1,5,5,3,6,6
peacekeeper,procedural_professional,4,4,4,0,0,0,4,2,8
perfectionist,procedural_professional,1,1,1,3,5,5,0,0,7
pharmacist,procedural_professional,0,0,0,2,2,2,1,5,5
philosopher,mythic_spiritual,3,6,6,3,3,3,1,1,1
photographer,mythic_spiritual,1,1,1,1,6,6,2,4,2
physicist,procedural_professional,3,3,3,2,3,3,1,1,1
pilgrim,mythic_spiritual,2,5,9,4,4,1,3,3,3
pilot,procedural_professional,3,3,7,2,2,2,1,5,5
pirate,grounded_social,0,0,0,1,1,1,3,3,2
planner,procedural_professional,1,5,5,2,2,9,4,5,5
playwright,grounded_social,1,1,1,2,6,6,4,4,4
podcaster,other,1,1,1,0,6,6,4,4,4
poet,other,0,0,0,1,6,6,1,1,1
polymath,procedural_professional,4,4,4,4,4,4,1,1,1
pragmatist,procedural_professional,1,6,1,3,3,3,2,2,2
predator,mythic_spiritual,0,0,0,1,1,1,3,2,2
presenter,grounded_social,2,2,2,0,6,6,4,4,4
prey,other,0,0,9,1,1,1,0,0,0
prisoner,grounded_social,3,3,3,1,1,1,3,3,3
procrastinator,other,0,0,0,1,1,1,0,0,0
prodigy,procedural_professional,4,4,4,4,4,4,1,1,1
producer,procedural_professional,0,0,0,2,6,6,4,5,7
programmer,procedural_professional,0,0,0,2,3,2,1,1,1
proofreader,editorial,1,1,1,3,6,6,4,4,7
prophet,mythic_spiritual,0,0,0,1,4,4,2,2,2
provincial,grounded_social,4,5,5,1,1,7,0,0,0
provocateur,combative_iconoclast,1,6,6,3,3,3,2,2,9
psychologist,procedural_professional,0,0,0,3,3,8,1,1,5
publisher,procedural_professional,0,0,0,2,6,6,4,5,7
purist,mythic_spiritual,1,6,1,3,2,7,0,0,9
realist,procedural_professional,3,3,3,0,0,8,2,2,2
rebel,combative_iconoclast,0,6,6,3,3,7,2,2,9
recruiter,procedural_professional,2,5,5,3,5,5,4,5,5
refugee,grounded_social,1,1,1,1,1,1,3,3,3
reporter,procedural_professional,2,6,2,3,6,6,4,4,4
researcher,procedural_professional,2,2,2,3,3,3,1,1,5
retiree,grounded_social,2,2,2,1,1,1,3,3,3
revenant,mythic_spiritual,1,1,1,1,1,1,3,3,3
reviewer,procedural_professional,3,3,8,3,5,5,4,5,7
revolutionary,procedural_professional,2,6,6,0,2,7,0,0,9
robot,other,0,0,1,3,3,3,1,0,1
rogue,grounded_social,0,0,9,3,3,3,2,2,2
romantic,mythic_spiritual,1,1,1,1,0,8,0,0,2
saboteur,grounded_social,1,1,1,2,2,2,4,5,5
sage,mythic_spiritual,4,5,5,4,6,6,3,1,1
scheduler,procedural_professional,0,0,0,2,2,2,4,5,5
scholar,procedural_professional,0,0,0,3,3,3,1,1,1
scientist,procedural_professional,2,2,2,3,3,3,1,1,1
scout,procedural_professional,2,2,2,0,0,0,4,5,5
screener,editorial,2,6,8,3,5,5,4,5,7
secretary,procedural_professional,0,0,0,2,2,2,4,5,8
shaman,mythic_spiritual,1,1,9,4,4,4,1,6,1
shapeshifter,grounded_social,2,6,6,4,4,8,3,3,8
simulacrum,mythic_spiritual,0,6,6,3,3,3,0,2,9
skeptic,procedural_professional,4,6,6,3,3,3,1,2,7
smuggler,grounded_social,0,4,4,2,2,2,4,5,5
sociologist,procedural_professional,2,2,4,2,2,8,1,1,9
soldier,grounded_social,2,2,3,1,1,1,3,3,3
sommelier,grounded_social,2,2,2,2,2,2,4,5,5
specialist,procedural_professional,0,0,0,1,1,1,1,1,1
spirit,mythic_spiritual,3,3,9,4,4,4,3,3,0
spy,grounded_social,2,2,8,3,3,3,4,4,4
statistician,procedural_professional,3,5,3,3,3,3,1,1,5
stoic,mythic_spiritual,4,4,4,1,1,7,0,0,2
strategist,procedural_professional,1,5,5,2,2,9,1,1,5
student,grounded_social,2,4,4,4,4,9,1,1,1
summarizer,procedural_professional,2,2,2,3,6,6,4,4,4
supervisor,procedural_professional,0,0,0,2,5,5,4,5,7
surfer,grounded_social,2,2,2,1,1,4,3,3,0
survivor,grounded_social,3,2,3,1,1,1,3,3,3
swarm,procedural_professional,4,4,4,0,0,0,0,0,0
symbiont,procedural_professional,1,4,4,0,0,0,0,0,0
synthesizer,procedural_professional,2,2,2,0,3,8,4,4,4
teacher,procedural_professional,0,4,4,4,6,9,1,1,1
technologist,procedural_professional,2,1,1,0,3,0,2,2,1
teenager,other,2,5,5,1,1,1,3,3,1
