reference_a,reference_b,distance_correlation
role_name,role_name_description,0.7957583576715398
role_name,original_prompt,0.8104324352795143
role_name,no_label_prompt,0.6713938804875279
role_name_description,original_prompt,0.7003491555061377
role_name_description,no_label_prompt,0.6100489754277225
original_prompt,no_label_prompt,0.9560896844971964
role_name,gemma_cluster_directionality,0.0445434778336093
role_name_description,gemma_cluster_directionality,0.08554290543187272
original_prompt,gemma_cluster_directionality,0.17153036230810959
no_label_prompt,gemma_cluster_directionality,0.2303883956827523
role_name,qwen_cluster_directionality,0.06300728715957707
role_name_description,qwen_cluster_directionality,0.1197377912903968
original_prompt,qwen_cluster_directionality,0.20205272699783447
no_label_prompt,qwen_cluster_directionality,0.2542791596923609
