persona,cluster,distance_from_centroid,cos_to_editor,cos_to_synthesizer,cos_to_blogger,cos_to_ancient,cos_to_trickster,cos_to_contrarian,cos_to_podcaster,nearest_named_cluster,nearest_cluster_cosine
contrarian,combative_iconoclast,0.000309825,0.997764230,0.998872221,0.998778582,0.998222411,0.998600543,0.999690175,0.998539686,,
maverick,combative_iconoclast,0.000472903,0.997014284,0.998445153,0.998801827,0.998061061,0.998543739,0.999527097,0.998417556,,
provocateur,combative_iconoclast,0.000486612,0.996316075,0.997650802,0.998211622,0.997849405,0.998522103,0.999513388,0.998110354,,
rebel,combative_iconoclast,0.000576556,0.996063888,0.997669220,0.998529792,0.997881532,0.998170674,0.999423444,0.998204768,,
devils advocate,combative_iconoclast,0.000685632,0.998431802,0.999170423,0.998765647,0.998057544,0.998291016,0.999314368,0.998524666,,
competitor,combative_iconoclast,0.000964165,0.996615410,0.997698843,0.998405457,0.996816278,0.997285783,0.999035835,0.997949719,,
cynic,combative_iconoclast,0.001093030,0.995643795,0.996890187,0.997927070,0.996601343,0.997656167,0.998906970,0.997854352,,
workaholic,combative_iconoclast,0.001311421,0.996386647,0.997389019,0.997675955,0.996752322,0.997032523,0.998688579,0.997778535,,
editor,editorial,0.000215709,0.999784291,0.999174356,0.998120010,0.996921778,0.996849179,0.997548163,0.997637570,,
examiner,editorial,0.000223577,0.999776423,0.999397337,0.998047471,0.997065067,0.996803761,0.997647762,0.997624993,,
screener,editorial,0.000435293,0.999564707,0.999133825,0.997900724,0.996650994,0.996477485,0.997349679,0.997471869,,
grader,editorial,0.000476062,0.999523938,0.998499930,0.997205317,0.996016145,0.995907009,0.996557713,0.996882856,,
proofreader,editorial,0.000479579,0.999520421,0.998377323,0.997270584,0.996036708,0.995985508,0.996649384,0.996804535,,
blogger,grounded_social,0.000525177,0.998073280,0.999242187,0.999474823,0.998484850,0.998565912,0.998888910,0.998972237,,
orphan,grounded_social,0.000544012,0.996905208,0.998357058,0.999455988,0.998084545,0.997758687,0.998404324,0.998676360,,
expatriate,grounded_social,0.000631869,0.998137414,0.999156713,0.999368131,0.998074651,0.998118222,0.998468578,0.998612881,,
survivor,grounded_social,0.000646114,0.996825159,0.998392403,0.999353886,0.998666644,0.997946382,0.998436689,0.998516142,,
retiree,grounded_social,0.000663161,0.997332275,0.998465180,0.999336839,0.997656226,0.998237252,0.998288810,0.998666942,,
actor,grounded_social,0.000667334,0.997591436,0.998682678,0.999332666,0.998950005,0.998934507,0.998581707,0.999047458,,
presenter,grounded_social,0.000685811,0.998754680,0.999599338,0.999314189,0.998112381,0.998309374,0.998697281,0.998892486,,
divorcee,grounded_social,0.000762761,0.997281313,0.998406827,0.999237239,0.997398973,0.997602522,0.998245358,0.998454750,,
parent,grounded_social,0.000764728,0.997807145,0.998791099,0.999235272,0.997390330,0.997703493,0.998181880,0.998733938,,
celebrity,grounded_social,0.000772893,0.997496605,0.998644769,0.999227107,0.997666299,0.998104811,0.998490334,0.998612642,,
graduate,grounded_social,0.000800073,0.998068869,0.998842299,0.999199927,0.997334778,0.997766614,0.998519897,0.998688757,,
fixer,grounded_social,0.000834405,0.997347474,0.998301208,0.999165595,0.997775018,0.997989118,0.998738527,0.998378515,,
patient,grounded_social,0.000885963,0.997586310,0.998615086,0.999114037,0.997397065,0.997393906,0.998052955,0.998582065,,
refugee,grounded_social,0.000985265,0.996865451,0.998297751,0.999014735,0.998393238,0.997513056,0.997813821,0.998426557,,
playwright,grounded_social,0.001004755,0.998131633,0.998904407,0.998995245,0.998438776,0.998426735,0.998340189,0.998688579,,
vigilante,grounded_social,0.001012862,0.996849895,0.998059034,0.998987138,0.997916937,0.997571230,0.998606205,0.998214900,,
widow,grounded_social,0.001061857,0.996364594,0.997792900,0.998938143,0.998028517,0.997578859,0.997642100,0.998249650,,
amateur,grounded_social,0.001068175,0.997342288,0.998318613,0.998931825,0.996974528,0.997696042,0.997822940,0.998759031,,
immigrant,grounded_social,0.001087010,0.997036338,0.998393416,0.998912990,0.998331070,0.997668207,0.997658849,0.998295069,,
chameleon,grounded_social,0.001089275,0.997715712,0.998597741,0.998910725,0.998256803,0.998373628,0.997983873,0.998797417,,
veteran,grounded_social,0.001206875,0.996788681,0.997925520,0.998793125,0.996854842,0.996699154,0.997850239,0.997725427,,
shapeshifter,grounded_social,0.001234472,0.997320175,0.998564541,0.998765528,0.999299109,0.998577774,0.998087227,0.998621047,,
addict,grounded_social,0.001239181,0.996512353,0.997787654,0.998760819,0.997349322,0.996965528,0.997903287,0.998058975,,
grandparent,grounded_social,0.001266479,0.996059477,0.997458458,0.998733521,0.997380376,0.997605443,0.997183621,0.998315156,,
chef,grounded_social,0.001297951,0.997781456,0.998596907,0.998702049,0.997597396,0.997806549,0.997712731,0.997966170,,
newlywed,grounded_social,0.001309752,0.997090876,0.998075128,0.998690248,0.996633470,0.997274339,0.997489095,0.998282611,,
student,grounded_social,0.001318276,0.998562038,0.998889387,0.998681724,0.996821821,0.997138977,0.997831821,0.998484731,,
mechanic,grounded_social,0.001339495,0.996900320,0.997796476,0.998660505,0.996480107,0.996884823,0.997487724,0.997909307,,
rogue,grounded_social,0.001397550,0.995908558,0.997236907,0.998602450,0.997780979,0.998124957,0.998159826,0.998033404,,
influencer,grounded_social,0.001406848,0.997390807,0.998315871,0.998593152,0.996670842,0.997288346,0.997935653,0.998181999,,
bartender,grounded_social,0.001422346,0.996666729,0.997482955,0.998577654,0.996689975,0.997343898,0.997184753,0.997741222,,
saboteur,grounded_social,0.001447976,0.997689486,0.998567402,0.998552024,0.997932136,0.997903585,0.998795629,0.998060465,,
prisoner,grounded_social,0.001457334,0.995214403,0.996724129,0.998542666,0.996702611,0.996501744,0.997444212,0.997689784,,
spy,grounded_social,0.001522839,0.997370183,0.998159587,0.998477161,0.997507334,0.997311532,0.998059988,0.997744560,,
soldier,grounded_social,0.001631916,0.996493459,0.997586906,0.998368084,0.997035265,0.996515453,0.997640073,0.997507811,,
criminal,grounded_social,0.001695096,0.994707525,0.996145785,0.998304904,0.996348679,0.996542513,0.997478902,0.997420013,,
hacker,grounded_social,0.001714647,0.996018529,0.997171879,0.998285353,0.996762514,0.997016132,0.998156726,0.997559965,,
daredevil,grounded_social,0.001736283,0.995479465,0.996812105,0.998263717,0.996593952,0.997604549,0.998156250,0.997704446,,
exile,grounded_social,0.001819789,0.995594025,0.997203827,0.998180211,0.998868644,0.997496784,0.997242749,0.997825265,,
smuggler,grounded_social,0.001839280,0.994897842,0.996126354,0.998160720,0.996108353,0.996611357,0.997259319,0.997269928,,
auctioneer,grounded_social,0.001928389,0.995960653,0.996962249,0.998071611,0.996330261,0.997234285,0.997146487,0.997518778,,
sommelier,grounded_social,0.002205193,0.997321069,0.998008430,0.997794807,0.997424483,0.997364759,0.996897936,0.997150660,,
provincial,grounded_social,0.002421141,0.994226933,0.995866358,0.997578859,0.996140659,0.996024489,0.995930195,0.997030795,,
surfer,grounded_social,0.003282964,0.993643343,0.995274246,0.996717036,0.995591044,0.995290935,0.995391846,0.996045828,,
pirate,grounded_social,0.004152596,0.992597759,0.994045913,0.995847404,0.994967461,0.995274484,0.994557917,0.995299160,,
ancient,mythic_spiritual,0.000396192,0.995765686,0.997505903,0.997672737,0.999603808,0.998052359,0.997361302,0.997678697,,
sage,mythic_spiritual,0.000401556,0.996530831,0.998139977,0.998079598,0.999598444,0.998192072,0.997465551,0.997866809,,
avatar,mythic_spiritual,0.000417471,0.996308148,0.997989655,0.997790933,0.999582529,0.997948468,0.997203469,0.997741640,,
spirit,mythic_spiritual,0.000428200,0.995689094,0.997472107,0.997558117,0.999571800,0.997891068,0.996939301,0.997550845,,
guru,mythic_spiritual,0.000521660,0.996419907,0.998058498,0.998023927,0.999478340,0.998152673,0.997408211,0.997905076,,
familiar,mythic_spiritual,0.000578225,0.996140480,0.997635245,0.997767568,0.999421775,0.998091102,0.997078121,0.997844577,,
narrator,mythic_spiritual,0.000592887,0.996546388,0.998078942,0.998634160,0.999407113,0.998674095,0.997941196,0.998427689,,
ghost,mythic_spiritual,0.000610054,0.995364368,0.997041762,0.997693717,0.999389946,0.997978866,0.997034669,0.997692466,,
oracle,mythic_spiritual,0.000616431,0.995456517,0.997193515,0.997350514,0.999383569,0.997797132,0.996800661,0.997493923,,
wanderer,mythic_spiritual,0.000621855,0.996106029,0.997766674,0.998509467,0.999378145,0.998323083,0.997695565,0.998106718,,
hermit,mythic_spiritual,0.000663757,0.995366275,0.997061014,0.997695208,0.999336243,0.997748077,0.996886909,0.997754991,,
prophet,mythic_spiritual,0.000669956,0.995112240,0.996988535,0.997290254,0.999330044,0.997678936,0.996986747,0.997351706,,
chimera,mythic_spiritual,0.000700176,0.996039093,0.997630775,0.997917652,0.999299824,0.998149216,0.997699618,0.997932076,,
mystic,mythic_spiritual,0.000722587,0.995452225,0.997269630,0.997345209,0.999277413,0.997722507,0.996709168,0.997304142,,
novelist,mythic_spiritual,0.000765443,0.997815371,0.998939097,0.999124229,0.999234557,0.998616278,0.998521626,0.998669863,,
dreamer,mythic_spiritual,0.000784457,0.995379508,0.997167826,0.997519255,0.999215543,0.998122215,0.997006834,0.997743368,,
elder,mythic_spiritual,0.000785410,0.996861756,0.998391330,0.999101460,0.999214590,0.998367190,0.998010695,0.998619497,,
angel,mythic_spiritual,0.000812709,0.996474504,0.998035967,0.997800112,0.999187291,0.997636139,0.996966004,0.997673452,,
revenant,mythic_spiritual,0.000846863,0.995276749,0.996853352,0.997531176,0.999153137,0.997542560,0.997139394,0.997418225,,
echo,mythic_spiritual,0.000882685,0.994729459,0.996556938,0.996973693,0.999117315,0.997254074,0.996421993,0.997263730,,
pilgrim,mythic_spiritual,0.000897646,0.995547712,0.997309864,0.997571647,0.999102354,0.997579992,0.996698618,0.997450054,,
martyr,mythic_spiritual,0.000906646,0.996078432,0.997781575,0.997988224,0.999093354,0.997730255,0.997731268,0.997765541,,
bard,mythic_spiritual,0.000932932,0.995377600,0.997026205,0.997652769,0.999067068,0.998076618,0.996685863,0.997670233,,
philosopher,mythic_spiritual,0.000936151,0.997744560,0.998928428,0.998301685,0.999063849,0.998275697,0.998276234,0.998021364,,
wraith,mythic_spiritual,0.000943601,0.994616210,0.996281981,0.996926904,0.999056399,0.997320294,0.996410191,0.997106671,,
homunculus,mythic_spiritual,0.000943720,0.995804548,0.997340858,0.997451365,0.999056280,0.997922301,0.997039855,0.997580647,,
virtuoso,mythic_spiritual,0.000958145,0.996726990,0.998111963,0.998151422,0.999041855,0.998291969,0.997721970,0.997856081,,
zeitgeist,mythic_spiritual,0.000975907,0.997310281,0.998774707,0.998737454,0.999024093,0.998365760,0.998599052,0.998440862,,
witch,mythic_spiritual,0.000993013,0.995052755,0.996823609,0.997249544,0.999006987,0.997583330,0.996460974,0.997249961,,
golem,mythic_spiritual,0.001058638,0.994894028,0.996500492,0.996865451,0.998941362,0.996979415,0.996139646,0.997252405,,
flaneur,mythic_spiritual,0.001088917,0.995919466,0.997498691,0.998071671,0.998911083,0.998399734,0.997667372,0.997834086,,
romantic,mythic_spiritual,0.001105309,0.995587230,0.997420788,0.997801602,0.998894691,0.998091996,0.997029305,0.997598171,,
artisan,mythic_spiritual,0.001112580,0.996924102,0.998280406,0.998550892,0.998887420,0.997878134,0.997586370,0.998044014,,
wind,mythic_spiritual,0.001126707,0.994557321,0.996399939,0.996976495,0.998873293,0.997232616,0.996237516,0.997093081,,
nomad,mythic_spiritual,0.001162887,0.996846497,0.998339832,0.999095440,0.998837113,0.998290598,0.998099506,0.998554170,,
shaman,mythic_spiritual,0.001165688,0.994879365,0.996736586,0.997055769,0.998834312,0.996975482,0.996007919,0.997110963,,
purist,mythic_spiritual,0.001180172,0.996880591,0.998182952,0.997793972,0.998819828,0.997795403,0.998034120,0.997759998,,
vampire,mythic_spiritual,0.001194775,0.995181799,0.996699214,0.997331738,0.998805225,0.997762680,0.997273445,0.997388959,,
ascetic,mythic_spiritual,0.001274526,0.995237947,0.996909976,0.996866763,0.998725474,0.997115850,0.996727526,0.996935427,,
loner,mythic_spiritual,0.001335740,0.997194290,0.998425543,0.999006927,0.998664260,0.998171926,0.998605072,0.998728693,,
warrior,mythic_spiritual,0.001339912,0.995986700,0.997481108,0.998008966,0.998660088,0.997538984,0.997554719,0.997680962,,
simulacrum,mythic_spiritual,0.001398921,0.996947885,0.998051822,0.997796059,0.998601079,0.997668684,0.997904956,0.997676671,,
traditionalist,mythic_spiritual,0.001441240,0.996656358,0.998094797,0.997918189,0.998558760,0.997475386,0.997461021,0.997680366,,
whale,mythic_spiritual,0.001602590,0.994390011,0.996085227,0.996585429,0.998397410,0.996636748,0.995677590,0.996812224,,
demon,mythic_spiritual,0.001612663,0.994881630,0.996369243,0.997034311,0.998387337,0.998095691,0.997602582,0.997326732,,
photographer,mythic_spiritual,0.001618803,0.997272611,0.998475969,0.998630524,0.998381197,0.997766316,0.997874558,0.998037040,,
tree,mythic_spiritual,0.001627922,0.993708372,0.995694101,0.996224344,0.998372078,0.996241868,0.995351791,0.996579945,,
predator,mythic_spiritual,0.001670182,0.995684743,0.996993303,0.997466981,0.998329818,0.997199118,0.997352362,0.997643650,,
composer,mythic_spiritual,0.001671731,0.997673631,0.998637617,0.998172224,0.998328269,0.997721493,0.997558177,0.997774661,,
mycorrhizal,mythic_spiritual,0.001683116,0.994657695,0.996476710,0.996593773,0.998316884,0.996446550,0.995827675,0.996793032,,
musician,mythic_spiritual,0.001697898,0.996852696,0.998120129,0.998411477,0.998302102,0.997770250,0.997502565,0.998024106,,
aberration,mythic_spiritual,0.001721680,0.994360864,0.995951593,0.996439219,0.998278320,0.997552991,0.997087061,0.996912897,,
coral reef,mythic_spiritual,0.001740396,0.994821012,0.996581137,0.996872663,0.998259604,0.996730745,0.996132076,0.997054577,,
alien,mythic_spiritual,0.001742721,0.995894015,0.997346580,0.997004807,0.998257279,0.997605622,0.997077405,0.997566402,,
parasite,mythic_spiritual,0.001759768,0.996381283,0.997541010,0.997722447,0.998240232,0.997626305,0.997786522,0.997898102,,
eldritch,mythic_spiritual,0.001778662,0.993276238,0.995123088,0.995348871,0.998221338,0.996651173,0.995456338,0.996006966,,
leviathan,mythic_spiritual,0.001871169,0.993298650,0.995048702,0.995651364,0.998128831,0.996223748,0.995300531,0.996123075,,
