response_id,role,instruction_id,question_id,status
amateur_i00_q000,amateur,0,0,ok
amateur_i00_q021,amateur,0,21,ok
amateur_i00_q043,amateur,0,43,ok
amateur_i00_q065,amateur,0,65,ok
amateur_i00_q086,amateur,0,86,ok
amateur_i00_q108,amateur,0,108,ok
amateur_i00_q130,amateur,0,130,ok
amateur_i00_q152,amateur,0,152,ok
amateur_i00_q173,amateur,0,173,ok
amateur_i00_q195,amateur,0,195,ok
amateur_i00_q217,amateur,0,217,ok
amateur_i00_q239,amateur,0,239,ok
amateur_i01_q000,amateur,1,0,ok
amateur_i01_q021,amateur,1,21,ok
amateur_i01_q043,amateur,1,43,ok
amateur_i01_q065,amateur,1,65,ok
amateur_i01_q086,amateur,1,86,ok
amateur_i01_q108,amateur,1,108,ok
amateur_i01_q130,amateur,1,130,ok
amateur_i01_q152,amateur,1,152,ok
amateur_i01_q173,amateur,1,173,ok
amateur_i01_q195,amateur,1,195,ok
amateur_i01_q217,amateur,1,217,ok
amateur_i01_q239,amateur,1,239,ok
amateur_i02_q000,amateur,2,0,ok
amateur_i02_q021,amateur,2,21,ok
amateur_i02_q043,amateur,2,43,ok
amateur_i02_q065,amateur,2,65,ok
amateur_i02_q086,amateur,2,86,ok
amateur_i02_q108,amateur,2,108,ok
amateur_i02_q130,amateur,2,130,ok
amateur_i02_q152,amateur,2,152,ok
amateur_i02_q173,amateur,2,173,ok
amateur_i02_q195,amateur,2,195,ok
amateur_i02_q217,amateur,2,217,ok
amateur_i02_q239,amateur,2,239,ok
amateur_i03_q000,amateur,3,0,ok
amateur_i03_q021,amateur,3,21,ok
amateur_i03_q043,amateur,3,43,ok
amateur_i03_q065,amateur,3,65,ok
amateur_i03_q086,amateur,3,86,ok
amateur_i03_q108,amateur,3,108,ok
amateur_i03_q130,amateur,3,130,ok
amateur_i03_q152,amateur,3,152,ok
amateur_i03_q173,amateur,3,173,ok
amateur_i03_q195,amateur,3,195,ok
amateur_i03_q217,amateur,3,217,ok
amateur_i03_q239,amateur,3,239,ok
amateur_i04_q000,amateur,4,0,ok
amateur_i04_q021,amateur,4,21,ok
amateur_i04_q043,amateur,4,43,ok
amateur_i04_q065,amateur,4,65,ok
amateur_i04_q086,amateur,4,86,ok
amateur_i04_q108,amateur,4,108,ok
amateur_i04_q130,amateur,4,130,ok
amateur_i04_q152,amateur,4,152,ok
amateur_i04_q173,amateur,4,173,ok
amateur_i04_q195,amateur,4,195,ok
amateur_i04_q217,amateur,4,217,ok
amateur_i04_q239,amateur,4,239,ok
playwright_i00_q000,playwright,0,0,ok
playwright_i00_q021,playwright,0,21,ok
playwright_i00_q043,playwright,0,43,ok
playwright_i00_q065,playwright,0,65,ok
playwright_i00_q086,playwright,0,86,ok
playwright_i00_q108,playwright,0,108,ok
playwright_i00_q130,playwright,0,130,ok
playwright_i00_q152,playwright,0,152,ok
playwright_i00_q173,playwright,0,173,ok
playwright_i00_q195,playwright,0,195,ok
playwright_i00_q217,playwright,0,217,ok
playwright_i00_q239,playwright,0,239,ok
playwright_i01_q000,playwright,1,0,ok
playwright_i01_q021,playwright,1,21,ok
playwright_i01_q043,playwright,1,43,ok
playwright_i01_q065,playwright,1,65,ok
playwright_i01_q086,playwright,1,86,ok
playwright_i01_q108,playwright,1,108,ok
playwright_i01_q130,playwright,1,130,ok
playwright_i01_q152,playwright,1,152,ok
playwright_i01_q173,playwright,1,173,ok
playwright_i01_q195,playwright,1,195,ok
playwright_i01_q217,playwright,1,217,ok
playwright_i01_q239,playwright,1,239,ok
playwright_i02_q000,playwright,2,0,ok
playwright_i02_q021,playwright,2,21,ok
playwright_i02_q043,playwright,2,43,ok
playwright_i02_q065,playwright,2,65,ok
playwright_i02_q086,playwright,2,86,ok
playwright_i02_q108,playwright,2,108,ok
playwright_i02_q130,playwright,2,130,ok
playwright_i02_q152,playwright,2,152,ok
playwright_i02_q173,playwright,2,173,ok
playwright_i02_q195,playwright,2,195,ok
playwright_i02_q217,playwright,2,217,ok
playwright_i02_q239,playwright,2,239,ok
playwright_i03_q000,playwright,3,0,ok
playwright_i03_q021,playwright,3,21,ok
playwright_i03_q043,playwright,3,43,ok
playwright_i03_q065,playwright,3,65,ok
playwright_i03_q086,playwright,3,86,ok
playwright_i03_q108,playwright,3,108,ok
playwright_i03_q130,playwright,3,130,ok
playwright_i03_q152,playwright,3,152,ok
playwright_i03_q173,playwright,3,173,ok
playwright_i03_q195,playwright,3,195,ok
playwright_i03_q217,playwright,3,217,ok
playwright_i03_q239,playwright,3,239,ok
playwright_i04_q000,playwright,4,0,ok
playwright_i04_q021,playwright,4,21,ok
playwright_i04_q043,playwright,4,43,ok
playwright_i04_q065,playwright,4,65,ok
playwright_i04_q086,playwright,4,86,ok
playwright_i04_q108,playwright,4,108,ok
playwright_i04_q130,playwright,4,130,ok
playwright_i04_q152,playwright,4,152,ok
playwright_i04_q173,playwright,4,173,ok
playwright_i04_q195,playwright,4,195,ok
playwright_i04_q217,playwright,4,217,ok
playwright_i04_q239,playwright,4,239,ok
