model,variant,trait,factor,coefficient
Qwen,full_shrinkage,absolutist,Qwen_F1,0.01946008808912913
Qwen,full_shrinkage,absolutist,Qwen_F2,0.055439658437613705
Qwen,full_shrinkage,absolutist,Qwen_F3,-0.06166060693727667
Qwen,full_shrinkage,absolutist,Qwen_F4,0.022406913579942105
Qwen,full_shrinkage,absolutist,Qwen_F5,0.07427286280586261
Qwen,full_shrinkage,abstract,Qwen_F1,0.014572921463891855
Qwen,full_shrinkage,abstract,Qwen_F2,0.0022945633542712698
Qwen,full_shrinkage,abstract,Qwen_F3,-0.031991323011872526
Qwen,full_shrinkage,abstract,Qwen_F4,-0.03725344322663943
Qwen,full_shrinkage,abstract,Qwen_F5,0.012435071103045158
Qwen,full_shrinkage,accessible,Qwen_F1,-0.002185835385058871
Qwen,full_shrinkage,accessible,Qwen_F2,0.01046097963873082
Qwen,full_shrinkage,accessible,Qwen_F3,0.02871756338734511
Qwen,full_shrinkage,accessible,Qwen_F4,-0.007979699736278448
Qwen,full_shrinkage,accessible,Qwen_F5,-0.03673598153632968
Qwen,full_shrinkage,accommodating,Qwen_F1,-0.01783597982264376
Qwen,full_shrinkage,accommodating,Qwen_F2,0.0014174622514189982
Qwen,full_shrinkage,accommodating,Qwen_F3,0.03399368721775805
Qwen,full_shrinkage,accommodating,Qwen_F4,0.020445099386851427
Qwen,full_shrinkage,accommodating,Qwen_F5,-0.0821894552491399
Qwen,full_shrinkage,acerbic,Qwen_F1,-0.010857988592461057
Qwen,full_shrinkage,acerbic,Qwen_F2,-0.016515703665060465
Qwen,full_shrinkage,acerbic,Qwen_F3,-0.0018309648871370774
Qwen,full_shrinkage,acerbic,Qwen_F4,0.009705882536912349
Qwen,full_shrinkage,acerbic,Qwen_F5,-0.00048788466278382474
Qwen,full_shrinkage,adaptable,Qwen_F1,0.008674834960976817
Qwen,full_shrinkage,adaptable,Qwen_F2,0.050331428547132594
Qwen,full_shrinkage,adaptable,Qwen_F3,0.0541411569961917
Qwen,full_shrinkage,adaptable,Qwen_F4,-0.1097568947907806
Qwen,full_shrinkage,adaptable,Qwen_F5,0.0024001072126208765
Qwen,full_shrinkage,adventurous,Qwen_F1,-0.007960504508536019
Qwen,full_shrinkage,adventurous,Qwen_F2,0.011568902435582916
Qwen,full_shrinkage,adventurous,Qwen_F3,0.02121616429930843
Qwen,full_shrinkage,adventurous,Qwen_F4,-0.11083873505799373
Qwen,full_shrinkage,adventurous,Qwen_F5,0.003282638861667886
Qwen,full_shrinkage,agreeable,Qwen_F1,0.022112235033269076
Qwen,full_shrinkage,agreeable,Qwen_F2,0.023860413747271193
Qwen,full_shrinkage,agreeable,Qwen_F3,-0.0020101896844267465
Qwen,full_shrinkage,agreeable,Qwen_F4,-0.008400709967401368
Qwen,full_shrinkage,agreeable,Qwen_F5,-0.034000540865862086
Qwen,full_shrinkage,altruistic,Qwen_F1,0.01644236634779064
Qwen,full_shrinkage,altruistic,Qwen_F2,0.028639673228764775
Qwen,full_shrinkage,altruistic,Qwen_F3,-0.0081592737710931
Qwen,full_shrinkage,altruistic,Qwen_F4,-0.029259442628332157
Qwen,full_shrinkage,altruistic,Qwen_F5,0.0162749441582836
Qwen,full_shrinkage,analytical,Qwen_F1,-0.0004022296111848985
Qwen,full_shrinkage,analytical,Qwen_F2,-0.058867120222782364
Qwen,full_shrinkage,analytical,Qwen_F3,0.04537473531698606
Qwen,full_shrinkage,analytical,Qwen_F4,-0.038886863801112614
Qwen,full_shrinkage,analytical,Qwen_F5,-0.004426234504248444
Qwen,full_shrinkage,animated,Qwen_F1,0.0016270328582557148
Qwen,full_shrinkage,animated,Qwen_F2,-0.0023464008658840873
Qwen,full_shrinkage,animated,Qwen_F3,0.004793330717693296
Qwen,full_shrinkage,animated,Qwen_F4,-0.025716159691042868
Qwen,full_shrinkage,animated,Qwen_F5,-0.0037061459925505935
Qwen,full_shrinkage,anthropocentric,Qwen_F1,-0.007482448028337757
Qwen,full_shrinkage,anthropocentric,Qwen_F2,-0.02659717899902173
Qwen,full_shrinkage,anthropocentric,Qwen_F3,0.007391522125482047
Qwen,full_shrinkage,anthropocentric,Qwen_F4,-0.01961209927087185
Qwen,full_shrinkage,anthropocentric,Qwen_F5,-0.056166385188065555
Qwen,full_shrinkage,anxious,Qwen_F1,-0.019138269297879415
Qwen,full_shrinkage,anxious,Qwen_F2,-0.03979341386361891
Qwen,full_shrinkage,anxious,Qwen_F3,0.013354185485924088
Qwen,full_shrinkage,anxious,Qwen_F4,0.011470312392097472
Qwen,full_shrinkage,anxious,Qwen_F5,-0.018319275205295624
Qwen,full_shrinkage,arrogant,Qwen_F1,-0.014949521502316175
Qwen,full_shrinkage,arrogant,Qwen_F2,-0.028628410317684823
Qwen,full_shrinkage,arrogant,Qwen_F3,-0.011217711481737955
Qwen,full_shrinkage,arrogant,Qwen_F4,-0.00024081184970466084
Qwen,full_shrinkage,arrogant,Qwen_F5,0.030591811290499347
Qwen,full_shrinkage,artistic,Qwen_F1,-0.01037604179031761
Qwen,full_shrinkage,artistic,Qwen_F2,-0.013144189676749398
Qwen,full_shrinkage,artistic,Qwen_F3,-0.04183808927173406
Qwen,full_shrinkage,artistic,Qwen_F4,-0.023104409744610244
Qwen,full_shrinkage,artistic,Qwen_F5,-0.04856704320570658
Qwen,full_shrinkage,ascetic,Qwen_F1,-0.009076848176878614
Qwen,full_shrinkage,ascetic,Qwen_F2,0.004512829566156319
Qwen,full_shrinkage,ascetic,Qwen_F3,0.04473576990757715
Qwen,full_shrinkage,ascetic,Qwen_F4,0.0031243625616862187
Qwen,full_shrinkage,ascetic,Qwen_F5,0.011855860035310731
Qwen,full_shrinkage,assertive,Qwen_F1,0.00602126577339742
Qwen,full_shrinkage,assertive,Qwen_F2,0.06985142460174225
Qwen,full_shrinkage,assertive,Qwen_F3,-0.009745391174375126
Qwen,full_shrinkage,assertive,Qwen_F4,-0.03912717179497614
Qwen,full_shrinkage,assertive,Qwen_F5,0.10282594436101748
Qwen,full_shrinkage,avoidant,Qwen_F1,-0.024646758267054567
Qwen,full_shrinkage,avoidant,Qwen_F2,0.004935421123680536
Qwen,full_shrinkage,avoidant,Qwen_F3,-0.019069041286031624
Qwen,full_shrinkage,avoidant,Qwen_F4,0.040213336096386
Qwen,full_shrinkage,avoidant,Qwen_F5,0.023681199877026115
Qwen,full_shrinkage,benevolent,Qwen_F1,0.0262961654341589
Qwen,full_shrinkage,benevolent,Qwen_F2,0.04679690034293671
Qwen,full_shrinkage,benevolent,Qwen_F3,-0.008386006414997864
Qwen,full_shrinkage,benevolent,Qwen_F4,-0.05278903947454304
Qwen,full_shrinkage,benevolent,Qwen_F5,-0.042823074326921916
Qwen,full_shrinkage,big_picture,Qwen_F1,-0.0012642245658665242
Qwen,full_shrinkage,big_picture,Qwen_F2,0.018538185301733633
