model,replicate,factor,congruence,min_subspace_canonical,matched_other_axis,sign_correction,procrustes_relative_error
Qwen,0,Qwen_F1,0.9895845552851595,0.9396005467333595,1,1,0.1181162218704056
Qwen,0,Qwen_F2,0.9803997974205814,0.9396005467333595,2,1,0.1181162218704056
Qwen,0,Qwen_F3,0.9949619835817914,0.9396005467333595,3,1,0.1181162218704056
Qwen,0,Qwen_F4,0.9748654949549738,0.9396005467333595,4,1,0.1181162218704056
Qwen,0,Qwen_F5,0.9356005038932781,0.9396005467333595,5,1,0.1181162218704056
Qwen,1,Qwen_F1,0.9743871253887048,0.9799252613676069,1,1,0.11824787153326939
Qwen,1,Qwen_F2,0.9885156608600257,0.9799252613676069,5,-1,0.11824787153326939
Qwen,1,Qwen_F3,0.9937248164066922,0.9799252613676069,3,1,0.11824787153326939
Qwen,1,Qwen_F4,0.9410537556368475,0.9799252613676069,4,1,0.11824787153326939
Qwen,1,Qwen_F5,0.928398383205867,0.9799252613676069,2,-1,0.11824787153326939
Qwen,2,Qwen_F1,0.9755593664420273,0.737395040384599,1,1,0.21645561081062817
Qwen,2,Qwen_F2,0.9903861551660322,0.737395040384599,3,-1,0.21645561081062817
Qwen,2,Qwen_F3,0.9002009622212063,0.737395040384599,5,-1,0.21645561081062817
Qwen,2,Qwen_F4,0.9344052127017172,0.737395040384599,4,1,0.21645561081062817
Qwen,2,Qwen_F5,0.9032674488360233,0.737395040384599,2,1,0.21645561081062817
Qwen,3,Qwen_F1,0.991701247098606,0.9616186675969601,1,1,0.12373389614667941
Qwen,3,Qwen_F2,0.9870847447223007,0.9616186675969601,5,-1,0.12373389614667941
Qwen,3,Qwen_F3,0.9944206948296065,0.9616186675969601,3,1,0.12373389614667941
Qwen,3,Qwen_F4,0.9633146699664966,0.9616186675969601,4,1,0.12373389614667941
Qwen,3,Qwen_F5,0.9769870981358995,0.9616186675969601,2,1,0.12373389614667941
Qwen,4,Qwen_F1,0.99803927243131,0.9469037068533029,1,1,0.10736810673142966
Qwen,4,Qwen_F2,0.9843750940082151,0.9469037068533029,5,-1,0.10736810673142966
Qwen,4,Qwen_F3,0.9936290474784976,0.9469037068533029,3,1,0.10736810673142966
Qwen,4,Qwen_F4,0.988794660925544,0.9469037068533029,4,1,0.10736810673142966
Qwen,4,Qwen_F5,0.9741545962777813,0.9469037068533029,2,1,0.10736810673142966
Qwen,5,Qwen_F1,0.9570843548943335,0.794904220266909,1,1,0.2077703655249352
Qwen,5,Qwen_F2,0.9234854884319993,0.794904220266909,5,-1,0.2077703655249352
Qwen,5,Qwen_F3,0.9822225110936054,0.794904220266909,3,1,0.2077703655249352
Qwen,5,Qwen_F4,0.8750362090694449,0.794904220266909,4,1,0.2077703655249352
Qwen,5,Qwen_F5,0.7445253735601787,0.794904220266909,2,1,0.2077703655249352
Qwen,6,Qwen_F1,0.990569889993834,0.9223529998797413,1,1,0.16022350231374727
Qwen,6,Qwen_F2,0.9765203408872831,0.9223529998797413,5,-1,0.16022350231374727
Qwen,6,Qwen_F3,0.9915969909219101,0.9223529998797413,2,1,0.16022350231374727
Qwen,6,Qwen_F4,0.9838195548334493,0.9223529998797413,4,1,0.16022350231374727
Qwen,6,Qwen_F5,0.9610732963947358,0.9223529998797413,3,-1,0.16022350231374727
Qwen,7,Qwen_F1,0.9915347619931291,0.9056299116307006,1,1,0.1530448458366344
Qwen,7,Qwen_F2,0.9933728136779373,0.9056299116307006,3,1,0.1530448458366344
Qwen,7,Qwen_F3,0.9650170403409698,0.9056299116307006,5,-1,0.1530448458366344
Qwen,7,Qwen_F4,0.9686028845688996,0.9056299116307006,4,1,0.1530448458366344
Qwen,7,Qwen_F5,0.9555578285840002,0.9056299116307006,2,-1,0.1530448458366344
Qwen,8,Qwen_F1,0.9934885847824865,0.8600931693519819,1,1,0.1525939711169979
Qwen,8,Qwen_F2,0.9528128522601699,0.8600931693519819,5,-1,0.1525939711169979
Qwen,8,Qwen_F3,0.9871487711412134,0.8600931693519819,3,1,0.1525939711169979
Qwen,8,Qwen_F4,0.9763679577332576,0.8600931693519819,4,1,0.1525939711169979
Qwen,8,Qwen_F5,0.9471624647555913,0.8600931693519819,2,1,0.1525939711169979
Qwen,9,Qwen_F1,0.9532349551205218,0.5961358661459472,1,1,0.2435899668703491
Qwen,9,Qwen_F2,0.6604746400611717,0.5961358661459472,5,-1,0.2435899668703491
Qwen,9,Qwen_F3,0.9746444685159468,0.5961358661459472,3,1,0.2435899668703491
Qwen,9,Qwen_F4,0.93103565900407,0.5961358661459472,4,1,0.2435899668703491
Qwen,9,Qwen_F5,0.8547747957381514,0.5961358661459472,2,1,0.2435899668703491
