component,retained,individually_stable,direct_vocabulary_count,direct_plus_close_vocabulary_count,salient_direct_count,salient_total_count,direct_loading_mass_fraction,total_loading_mass_fraction,direct_positive_pole_mass_fraction,direct_negative_pole_mass_fraction,total_positive_pole_mass_fraction,total_negative_pole_mass_fraction,direct_mapped_score_correlation,total_mapped_score_correlation,direct_mapped_score_r2,total_mapped_score_r2,total_mapping_hifwb_overlap_exclusions,eligible_total_mapping_count,duplicate_exact_source_groups_in_total,likely_coverage_bias
C1,True,True,45,74,38,63,0.19723361644277992,0.3279518618128047,0.19810259019807872,0.1952859071552504,0.3465060582586609,0.28636466712495773,0.9846123738900665,0.9898117069930806,0.9694615268174321,0.9797272153005561,5,69,4,False
C2,True,True,45,74,27,44,0.17612883198090284,0.2841645266270267,0.16888398745564823,0.18934994857097057,0.24717595273743379,0.35166497417837783,0.8934172578041523,0.940630812640261,0.7981943965422911,0.8847863256882779,5,69,4,False
C3,True,True,45,74,20,34,0.2001809342043952,0.3156416389071268,0.20866222592794986,0.19091870217218535,0.3294574079373965,0.30055374161120124,0.9417233757073452,0.9801398283526404,0.8868429163536377,0.9606740831231433,5,69,4,False
C4,True,True,45,74,8,16,0.15920261779785405,0.2639993619558129,0.17038002769049848,0.13343632875390227,0.24875667825587008,0.29913696519220473,0.8942228240075905,0.9271679579381787,0.7996344589761101,0.8596404222272523,5,69,4,False
C5,True,True,45,74,3,6,0.1312575844905089,0.2690673948961824,0.15632747122096582,0.10972562636835759,0.27920684911307725,0.2603588472299333,0.9158683486417248,0.8118090637295218,0.8388148320437201,0.6590339559534028,5,69,4,False
C6,True,True,45,74,1,1,0.18266137416280223,0.2984528048140606,0.169936156932519,0.20151871721967646,0.3041521582492895,0.2900070029872187,0.588295561685499,0.6912864775611728,0.34609166789885676,0.47787699405893386,5,69,4,True
C7,True,True,45,74,1,1,0.17844522934913146,0.27996773720279944,0.12317187462385527,0.21854961671710285,0.22689266265552052,0.31847713037800074,0.880510546797595,0.8112142065342797,0.7752988230217998,0.6580684888830409,5,69,4,False
C8,True,False,45,74,0,0,0.14378254198127882,0.25410392454594183,0.11666203457985956,0.1731398454170226,0.23251719703080329,0.2774710430318399,0.27887095408283014,0.3232611287809221,0.07776900903106795,0.10449775738071591,5,69,4,True
C9,True,False,45,74,0,0,0.15353514294066384,0.26977634788855503,0.16118805601943625,0.14642116301073857,0.2866255147219042,0.25411373243028096,0.2840852377835752,0.5035053916701786,0.08070442232655047,0.25351767944093995,5,69,4,True
C10,True,True,45,74,0,0,0.14610308357301685,0.25945293789825824,0.13608964044692318,0.16142106360507505,0.24787098285424336,0.2771703357865135,0.25161860212284537,0.33315544270764086,0.06331192093425476,0.11099254900572417,5,69,4,True
C11,True,False,45,74,0,0,0.1846323006668336,0.29166645291493165,0.21411127746460884,0.12601170067198925,0.301677314138021,0.2717592934708187,0.15580589046264873,0.23229519727583287,0.024275475502858895,0.05396105867741811,5,69,4,True
C12,True,False,45,74,0,0,0.18222646508257034,0.28725425122204334,0.15557349946904775,0.21911583331293544,0.2658201300537878,0.3169204129518614,0.2283373644309093,0.2908250979566477,0.05213795199525388,0.08457923760149372,5,69,4,True
C13,True,False,45,74,0,0,0.18282296090576058,0.2947230385989584,0.1682796070122456,0.19862231496442348,0.28625583143507505,0.3039214948044346,0.19640433027176749,0.24931893437906594,0.03857466094950152,0.062159931039912984,5,69,4,True
