replicate,component,min_heldout_score_corr,mean_heldout_score_corr
0,1,0.08511806721238457,0.12603580794656566
0,2,0.022862900929416105,0.06884610069112378
0,3,-0.12661609261754941,-0.026398389023390863
0,4,-0.023593702161047628,0.023293225669946325
0,5,-0.017861590189387915,0.048506892729130384
0,6,-0.03826257055025059,0.032338356041742934
0,7,-0.10221288151309199,0.002234997916067146
0,8,-0.04608386743435576,-0.03343973690080545
0,9,-0.06975008885687008,-0.00924167160198913
0,10,-0.15267524698231286,-0.04613993267787301
0,11,-0.03306116890267194,-0.0023514508971867287
0,12,-0.023792003482361913,0.010339141249860987
0,13,-0.09459139343557094,-0.0181201222989935
0,14,-0.08377784222064262,-0.03248715885707503
0,15,-0.08106240076869681,-0.042902887914313216
0,16,0.0069380522040867814,0.023931239877914304
0,17,-0.08248879781053867,-0.010552983953650008
0,18,-0.15359462210888256,-0.09726542956951602
0,19,-0.11112869906629941,-0.08603691413533117
0,20,-0.06965297645669989,-0.02826212312887354
1,1,-0.05381906723740921,-0.008693990016992939
1,2,-0.11116586134478364,-0.08016915936083868
1,3,-0.11458927197895889,-0.04203057687193471
1,4,-0.04059454034975378,-0.02409443926990455
1,5,-0.08402076519381445,-0.03321637597553632
1,6,-0.06059206181148568,-0.022267442084582464
1,7,0.02328585306841974,0.06068155395176652
1,8,0.0009846419457730919,0.038166701697431166
1,9,0.08075563018093414,0.09156999377069265
1,10,-0.008750824082444379,0.025063182243330512
1,11,-0.032292464344905215,0.00418054407007619
1,12,-0.030092781817009227,-0.01816147951895584
1,13,-0.04057561380960949,-0.011596807525583059
1,14,-0.09686223129423785,-0.05354928687819973
1,15,-0.09728629783855806,-0.020007367223039647
1,16,-0.04184185825362072,-0.03624259239577115
1,17,-0.09935784947173777,-0.0366800718387396
1,18,-0.030647048904824017,-0.004463222429925081
1,19,-0.04814892762248441,-0.035712756443925166
1,20,-0.013000459269551042,0.031686012033843164
2,1,-0.045949428283930664,-0.010283657911343945
2,2,-0.12414948886057593,-0.04071337275242895
2,3,-0.16943160097679175,-0.05156970990153711
2,4,-0.04248613403857424,-0.009298100378899846
2,5,-0.0710255890244668,-0.03431042465686803
2,6,-0.010308112828013164,0.03641824086194581
2,7,-0.015975163785425028,0.03662418246226299
2,8,-0.0042260412806868495,0.034723139729735175
2,9,0.08566693780866556,0.11970666782198654
2,10,-0.06499109589913063,-0.01838694450822204
2,11,-0.00012920496557799135,0.02462543851901038
2,12,-0.08164344408242664,-0.03170605401036224
2,13,-0.028909956263836425,0.0018587168278108971
2,14,-0.10638343830299517,-0.04708881363070705
2,15,-0.12125306069819944,0.0041070467144086464
2,16,-0.03937239176102561,0.004616659296279776
2,17,-0.06618611914599981,-0.027247806625847235
2,18,-0.07272308759854694,0.026455234764122783
2,19,0.030596871455019985,0.040104201154612634
2,20,0.012964748297266201,0.035976258851039694
3,1,-0.034308397168417895,-0.009211881639743682
3,2,-0.021781335894048695,0.034865321094872295
3,3,0.014576427999930428,0.029165606934806104
3,4,-0.015647468267934127,0.05649270008367536
3,5,-0.03565571843634264,0.03799787109008381
3,6,0.04615597080909939,0.07875241333800083
3,7,-0.04921894042073133,0.06018529624069898
3,8,-0.0832739657747065,-0.00721652777057851
3,9,-0.10413252546146677,-0.046501400747120336
3,10,-0.05288702103929063,-0.002435439100648732
3,11,-0.07178665500815035,-0.038165359299916525
3,12,-0.11526209730901027,-0.02827236700848951
3,13,-0.06651709754126547,0.012512512248460882
3,14,-0.0685857785277312,-0.0451858264903435
3,15,0.04052924316922793,0.04798396187144254
3,16,-0.04704738165393952,0.01086949053052899
3,17,-0.08463852004214736,-0.042254777689785535
3,18,-0.1423714011879456,-0.053045197658001586
3,19,-0.03334737668931275,0.022465645635680542
3,20,0.000952756716554141,0.031444014624936324
4,1,-0.017008629444949932,0.022902390279061585
4,2,-0.1452918338179741,-0.11026115174157258
4,3,-0.031323815768149084,-0.007934027443853707
4,4,-0.07904403056225344,-0.019350431051073348
4,5,-0.07367821929375515,-0.03804280105845114
4,6,0.027726521953945052,0.03257376666713891
4,7,-0.06220637280644021,0.010279821373488542
4,8,-0.08218017451495989,-0.05817134621689681
4,9,-0.05716450521640736,0.0063166267183681485
4,10,-0.08211809794217266,0.022842061334636534
4,11,-0.024229148587738607,-0.004663820594335586
4,12,-0.020291114531305877,0.01708918627028499
4,13,0.05657042419618001,0.12566078032007066
4,14,-0.14242917994503212,-0.038421756786638624
4,15,-0.0490338296629948,-0.04058940995976524
4,16,-0.06729046180057807,0.013475293117213502
4,17,-0.052597155622556235,0.010035854515127942
4,18,-0.006486451057249314,0.034683009058397385
4,19,0.023276346420930114,0.04243369748910785
4,20,-0.08785701274625328,-0.011846508163164066
5,1,-0.14263207390865312,-0.04714081304874523
5,2,-0.00924543125567683,0.019938480037211312
5,3,-0.05231946050461882,0.020237501221728318
5,4,0.06315375377344315,0.09799017073857692
5,5,-0.10495120963329467,-0.011085860777813745
5,6,-0.06218345274134628,-0.027923554141606837
5,7,-0.05009214284394288,-0.03526041699303112
5,8,-0.03459814594316297,-0.0007561688342532027
5,9,-0.029990833684827047,-0.00011608601386353205
5,10,-0.070452712197473,-0.061092532750998484
5,11,-0.1627176597937213,-0.0943895189677003
5,12,-0.09996785105802984,-0.039525096020853405
5,13,-0.08089510047553974,-0.027209746915252565
5,14,-0.07139872046220934,-0.012784050003591651
5,15,-0.08589619310097009,-0.007087943870000908
5,16,0.01147034432062968,0.05957357647877947
5,17,-0.09497862899382317,-0.02242823615795232
5,18,0.024467797666583833,0.043243851637479756
5,19,-0.129846679383391,-0.04359865592410284
5,20,0.005310784327740018,0.045483269550056625
6,1,-0.08161659382842577,-0.029659201394744438
6,2,-0.10072236816828023,0.03246650682494714
6,3,0.012981071026109072,0.07416813794392285
6,4,-0.08493119331882366,-0.027448052135492198
6,5,-0.03859206589627384,-0.02263260542315298
6,6,-0.01488169308600423,0.014892307471000418
6,7,-0.04402478549814399,-0.0010670477404456993
6,8,-0.07645976143828623,0.022387218848359248
6,9,-0.035995857839413295,-0.028668079996264795
6,10,0.016751362693335436,0.023781883173045564
6,11,-0.07315353863954349,-0.047476976877852274
6,12,-0.026466042661660878,0.020209438170579293
6,13,-0.00563141656362,0.0146071060393445
6,14,0.0673308982405658,0.07700790214367896
6,15,-0.0636755185154905,-0.045231648438647985
6,16,-0.053305114274349474,-0.002331975646929963
6,17,-0.07149986913564298,-0.030542932466706276
6,18,-0.0682957678042152,-0.04215189050735072
6,19,-0.05190495662814281,-0.012453282466696797
6,20,-0.10796271630365743,-0.05159487499557172
7,1,-0.07338870446136882,-0.02196785297163541
7,2,-0.1484986666971135,-0.07886037603977909
7,3,-0.11717806153011803,-0.06021168141944933
7,4,-0.0846169226831986,-0.04102132509339248
7,5,-0.014851613444548955,0.004637921089127017
7,6,-0.10823179766430761,-0.05935919798796482
7,7,0.008082883118585963,0.06881457845885218
7,8,-0.055329904836859005,0.02516314592883469
7,9,-0.02223890047256986,0.05374083237084176
7,10,-0.13025134515237902,-0.05349101427404348
7,11,-0.04766820252945357,-0.0013733109402043707
7,12,-0.1392400645774525,-0.016142832065404622
7,13,-0.0060865327920187695,0.017568206777482203
7,14,-0.06584100715878695,-0.015767907745505638
7,15,-0.07585098590531629,-0.026841307235337345
7,16,-0.00024234481175024658,0.01793727589524158
7,17,0.008770940290513472,0.03730888582675886
7,18,-0.07332578108803893,0.01648027061921309
7,19,-0.0984614795431499,0.018096290225504918
7,20,0.01198288699485511,0.028169797201101077
8,1,-0.11388564591633533,-0.06776290296850705
8,2,-0.0867671465776641,-0.06357923338634379
8,3,-0.0021120105001191797,0.04498248884060841
8,4,-0.10256129012854409,-0.024897525845556056
8,5,0.03491005397480787,0.06638780106768945
8,6,-0.1185001029444139,-0.050205243806747235
8,7,-0.08226527453656916,-0.007239967355812065
8,8,-0.06091541368924386,-0.008199261694830354
8,9,-0.07951156760646652,0.0016978143499328292
8,10,-0.11747341595444961,-0.06478432780382586
8,11,-0.008315055120482093,0.03038937916976976
8,12,0.023195397445185662,0.037929415638562496
8,13,-0.09848189928590198,-0.027636961449922448
8,14,0.013825867734340174,0.023129742360758033
8,15,-0.03732680640681896,0.023394241217711404
8,16,-0.04906152915780558,0.020194444155730278
8,17,-0.08459965188528364,-0.0476894753719962
8,18,-0.13307446375877433,-0.0665415162965719
8,19,0.012733396593336483,0.06265570807196341
8,20,-0.015296773381724053,0.0411548201718589
9,1,-0.07750676353294689,0.00904894814308383
9,2,-0.032353995569731404,0.022933082262417415
9,3,-0.11289714132840295,-0.05114857375961864
9,4,0.008159639464577694,0.04275344394062
9,5,-0.09498454368587171,-0.032002941653480645
9,6,-0.10063107460786543,-0.033922320211022754
9,7,-0.013971899061327004,0.009327217376128868
9,8,0.016733886524538884,0.0356563655096042
9,9,-0.03889303508066693,-0.019468254959171618
9,10,-0.006476298085366238,0.011301846057630979
9,11,0.01783730249542663,0.039935636562698475
9,12,-0.018991832652468395,0.03557010057563285
9,13,-0.006772590886809198,0.04573293404766474
9,14,0.08470508129715171,0.1022543496221696
9,15,-0.11198687713607755,-0.03858301936864403
9,16,-0.03030093684629079,0.036785793196674216
9,17,-0.05780443930329882,0.013939547100807852
9,18,-0.08605926755019044,-0.050093235426311084
9,19,-0.010208604362483482,0.006857272593261928
9,20,-0.11811574134826805,-0.034778784016509814
10,1,-0.023933724169140067,0.011993200238606214
10,2,-0.07289541296918087,-0.05804703570209871
