persona,pearson_qwen_llama,pearson_qwen_gemma,pearson_llama_gemma,pearson_mean,pearson_min,pearson_max,raw_profile_pearson_mean,standardized_rmse_mean,category,mean_trait_score_influence,max_trait_score_influence
aberration,0.8584104984594776,0.9465921662135689,0.8911276366553179,0.8987101004427881,0.8584104984594776,0.9465921662135689,0.7028129742021756,0.6666066675761626,all_three_strong,0.0016679360434878536,0.008002374894053976
absurdist,0.887619770757347,0.931908769229796,0.928864178163339,0.9161309060501607,0.887619770757347,0.931908769229796,0.6725850894277094,0.63914733189466,all_three_strong,0.0018970507454482658,0.010480955456407814
accountant,0.8368685271020969,0.8618711422572979,0.9089172349532518,0.8692189681042155,0.8368685271020969,0.9089172349532518,0.7951945024875392,0.5307240269785353,all_three_strong,0.0007151236947594453,0.004700068968853666
activist,0.8598652766307728,0.8978030116565063,0.8713791211681581,0.8763491364851458,0.8598652766307728,0.8978030116565063,0.7978727148255628,0.31772543441084905,all_three_strong,0.0004209184197327342,0.01982575050455912
actor,0.7432289109932879,0.8655994285795664,0.8934219239428534,0.8340834211719025,0.7432289109932879,0.8934219239428534,0.7575479124100672,0.4102116461031297,all_three_strong,0.0006476420315681127,0.003079670446729632
addict,0.8368417542486448,0.8685432948230362,0.7928206401062872,0.8327352297259895,0.7928206401062872,0.8685432948230362,0.767988809439554,0.6201547363074907,all_three_strong,0.001026041440758313,0.009345481889623114
adolescent,0.8323639590162542,0.944371863692798,0.854914404602785,0.8772167424372791,0.8323639590162542,0.944371863692798,0.7169379775462702,1.0085169391253128,all_three_strong,0.0036400911602963814,0.018366466697151806
advocate,0.8819947917192854,0.859360467839854,0.9211275292036238,0.8874942629209212,0.859360467839854,0.9211275292036238,0.8098250813011233,0.3188052869473097,all_three_strong,0.00031899895802650933,0.006222763702081746
alien,0.7016548445441996,0.7335257952433476,0.5909879672532194,0.6753895356802556,0.5909879672532194,0.7335257952433476,0.7667660582992898,0.637361546966328,all_three_strong,0.0009185107936331964,0.00697153069550005
altruist,0.7847433089584749,0.8524804528082851,0.7150681505596012,0.7840973041087871,0.7150681505596012,0.8524804528082851,0.8094257526306957,0.48887522667075095,all_three_strong,0.00055530329901029,0.0042318885213991075
amateur,0.8136499075771553,0.9308971535623297,0.9022903418731303,0.8822791343375384,0.8136499075771553,0.9308971535623297,0.7887911712186075,0.6442152948859433,all_three_strong,0.0017012804584729281,0.014241811521473025
ambassador,0.86105588556277,0.9027606904794864,0.9156633659005196,0.893159980647592,0.86105588556277,0.9156633659005196,0.8117559027216205,0.4336405408279791,all_three_strong,0.0004915856111478251,0.002862484498186213
