component,projector_eigenvalue,heldout_min_pairwise_pearson,heldout_mean_pairwise_pearson,heldout_best_pairwise_pearson,best_pair_minus_all_three,heldout_qwen_llama,heldout_qwen_gemma,heldout_llama_gemma,heldout_fold_min_median,persona_null_p,persona_null_p95,trait_loading_min_tucker,trait_label_null_p,trait_label_null_p95,provisional_retained,individually_stable,regularization_sensitivity_min_axis_match,supported_consensus_axis
1,2.924053820088605,0.9718175624228661,0.9759471139567973,0.9824059519905693,0.010588389567703249,0.9718175624228661,0.9824059519905693,0.9736178274569565,0.9694467573045751,0.009900990099009901,0.03765240826515251,0.8785103461708593,0.009900990099009901,0.14082950877136596,True,True,0.9770109407785821,True
2,2.885001482241745,0.9652250574029868,0.9715150435692449,0.9766077783778223,0.011382720974835503,0.9652250574029868,0.9766077783778223,0.9727122949269253,0.9699444095085252,0.009900990099009901,0.06237147982906071,0.8241355709973645,0.009900990099009901,0.07342834455801751,True,True,0.9629897640925328,True
3,2.8156544668327625,0.9471340292991696,0.9575957381181551,0.9648764500323246,0.017742420733155018,0.9471340292991696,0.9607767350229715,0.9648764500323246,0.9631339574172083,0.009900990099009901,0.016454705533584423,0.9080847410927172,0.009900990099009901,0.013654608373186774,True,True,0.9652973088570873,True
4,2.5921379386780607,0.8865216048936363,0.898285454471697,0.9212603319154357,0.034738727021799365,0.8865216048936363,0.8870744266060191,0.9212603319154357,0.8905820723231697,0.009900990099009901,0.024760328598182405,0.7370020801042507,0.009900990099009901,0.07875851144419536,True,True,0.8272016069443913,True
5,2.4043979412288445,0.9154660733200906,0.9273197219205244,0.9439364228116449,0.02847034949155436,0.9154660733200906,0.9439364228116449,0.9225566696298377,0.9062446781707897,0.009900990099009901,0.017905536301453504,0.7491291818155245,0.009900990099009901,0.010494565193160985,True,True,0.8159470697596142,True
6,2.2364478396021688,0.8974959895728805,0.9104532142777968,0.9316432598818787,0.03414727030899822,0.9316432598818787,0.8974959895728805,0.9022203933786315,0.8875162654638178,0.009900990099009901,0.02803321545388199,0.6822315641510552,0.009900990099009901,0.031508003989764465,True,True,0.7793582760256749,False
7,1.9461293225177618,0.8724689278566873,0.8869750826943917,0.9035817953547763,0.03111286749808906,0.8848745248717114,0.8724689278566873,0.9035817953547763,0.850595699603632,0.009900990099009901,0.023703330228978896,0.38312968463406794,0.009900990099009901,0.0017762026539950744,True,True,0.6777032770690573,False
8,1.7379511378346901,0.8856440665556492,0.8926362060273255,0.9039900424687481,0.018345975913098944,0.9039900424687481,0.8882745090575793,0.8856440665556492,0.8733176425913607,0.009900990099009901,0.03166269069329331,0.04422202956489612,0.0297029702970297,0.014736992162365941,True,False,0.8326216366071618,False
9,1.571492952563124,0.8336121927729205,0.8577668551853264,0.8847003105182244,0.05108811774530386,0.8549880622648339,0.8336121927729205,0.8847003105182244,0.8180877492273301,0.009900990099009901,0.0447494446296427,0.40198969417879826,0.009900990099009901,-0.010112573081637849,True,False,0.873574806478652,False
10,1.2378616165562881,0.7982820605103269,0.8438270188065013,0.8864797552375387,0.08819769472721184,0.8467192406716382,0.7982820605103269,0.8864797552375387,0.7997611156742136,0.009900990099009901,0.03579277010523049,-0.10806976071516691,0.693069306930693,0.005598908170441124,True,True,0.8817163096815868,False
