replicate,mean_all_three_score,traits_all_three_strong
0,0.052097877679544595,16
1,0.052864921627868114,14
2,0.04399709151658294,14
3,0.048471507643436426,15
4,0.06588735376276936,19
5,0.049706731101714516,17
6,0.043625066173211026,11
7,0.06773313406486994,17
8,0.05205481628085145,14
9,0.06679694516236252,23
10,0.0445052418653168,8
11,0.049544010774378026,17
12,0.05175854425671789,17
13,0.05452821404911076,15
14,0.0469959093225109,12
15,0.06181859204384202,21
16,0.05645081892165093,18
17,0.0606267493483295,22
18,0.056401563342160385,16
19,0.054838410805226105,14
20,0.0724926814743531,23
21,0.03932507877837515,8
22,0.05082277577407126,14
23,0.05650837512135523,14
24,0.059235434007707206,15
25,0.05072367898233738,18
26,0.0609043501196239,18
27,0.059905063765468454,18
28,0.04470413662199153,13
29,0.04831850552115739,12
30,0.04702407809691748,10
31,0.03702962735061068,8
32,0.058943247765737464,18
33,0.05460040809057895,19
34,0.053326538010597495,16
35,0.04102075499287956,16
36,0.05410731654592348,13
37,0.05710255730219152,18
38,0.04844963434209317,14
39,0.04890517697906321,15
40,0.04617085849311438,15
41,0.06569390147476208,22
42,0.06016335521995772,18
43,0.052928531199765726,16
44,0.05618265879809405,15
45,0.0702850431471123,23
46,0.054216672368895984,15
47,0.05956081224150145,18
48,0.05416862990404502,14
49,0.06483625366030328,20
50,0.05148822386474568,14
51,0.05404479365215489,16
52,0.05819764852685353,20
53,0.0434597475944998,13
54,0.056265193942179596,20
55,0.052832947061999466,17
56,0.05699620188213896,16
57,0.05340580604881635,16
58,0.04692249560707375,17
59,0.05732707730757589,18
60,0.05267811024869973,17
61,0.058605972320176274,18
62,0.044557326415748034,11
63,0.05234463313212777,14
64,0.05060213730521243,17
65,0.04628742261544696,13
66,0.06193688510285489,23
67,0.06628200318651771,19
68,0.05218823691832992,14
69,0.04158417083206659,12
70,0.062149960931068685,16
71,0.0562810068486811,16
72,0.08016346061586045,27
73,0.058163435968077735,18
74,0.05220551653179057,17
75,0.06023700701714509,19
76,0.06432567618028334,18
77,0.06364108737809632,22
78,0.05380660643563064,20
79,0.06024621271540068,18
80,0.050244252434015965,10
81,0.05194492474984095,18
82,0.06349167654739508,22
83,0.04679597926976145,12
84,0.04650379184684434,13
85,0.049264602679910834,13
86,0.049694709677217355,11
87,0.04375321679361762,14
88,0.0491151681587604,12
89,0.05725205029720546,14
90,0.032394614043454326,5
91,0.044599037218138925,15
92,0.06094798689083774,22
93,0.04735937003887409,14
94,0.0645012099377628,21
95,0.04203843083093947,12
96,0.05280479678817896,14
97,0.06678329782163804,22
98,0.05551666568991243,19
99,0.06486913082661036,22
