trait,pearson_qwen_llama,pearson_qwen_gemma,pearson_llama_gemma,pearson_mean,pearson_min,pearson_max,spearman_mean,spearman_min,standardized_rmse_mean,standardized_rmse_max,raw_rmse_mean,standardized_consistency_alpha,all_three_sign_consistent,category,max_leave_one_persona_score_change,most_influential_persona
absolutist,0.8282265287424327,0.9376180394928773,0.8508742509305521,0.8722396063886206,0.8282265287424327,0.9376180394928773,0.8439412211611513,0.795454833963244,0.4942562977257923,0.5850621171345731,0.21389301749571735,0.953448219605171,True,all_three_strong,0.016700898033389144,zealot
abstract,0.9296474427414039,0.9473049258162818,0.9429293533266275,0.9399605739614377,0.9296474427414039,0.9473049258162818,0.9343900445265092,0.9232791898675745,0.34523502477455614,0.37442417063447114,0.11427822639773777,0.9791524062796424,True,all_three_strong,0.005561187730279915,toddler
accessible,0.7156488246714373,0.8694004426391868,0.9054165973554336,0.8301552882220191,0.7156488246714373,0.9054165973554336,0.8206008674494868,0.7124018349153227,0.565679710032923,0.7527511820709956,0.1683920309739664,0.9361560588895573,True,all_three_strong,0.011906661735544777,infant
accommodating,0.6846814165418962,0.8354734701171506,0.7071586891120307,0.7424378585903592,0.6846814165418962,0.8354734701171506,0.6937649423463451,0.6258740371022187,0.7097251196684279,0.7926814876447502,0.1264454515316986,0.8963480790492554,True,all_three_strong,0.010710873823738754,teenager
acerbic,0.9275207159006098,0.9582370293288979,0.9423336906611921,0.9426971452969001,0.9275207159006098,0.9582370293288979,0.949539828625833,0.9360364674994951,0.33583750339607726,0.38004137423786255,0.07643139677354806,0.9801403728807866,True,all_three_strong,0.010610543817299756,infant
adaptable,0.3051339431712191,0.8032161478615202,0.631106528673442,0.5798188732353937,0.3051339431712191,0.8032161478615202,0.5881394074031332,0.3647044228383486,0.886771276052463,1.176723647393546,0.27453683191727546,0.8054390707648756,True,weak_or_mixed,0.03568495081287784,toddler
adventurous,0.783559155266713,0.943238298819586,0.8696362327600031,0.8654778956154341,0.783559155266713,0.943238298819586,0.8587145975784503,0.7752874989180923,0.5009149711457649,0.6567401116363688,0.07876024931320792,0.950741749530872,True,all_three_strong,0.01799093153956588,procrastinator
agreeable,0.8447582135379884,0.9484068756187028,0.9029312771669548,0.8986987887745487,0.8447582135379884,0.9484068756187028,0.8927828587365242,0.8342967600473155,0.4388821839393713,0.5561964956287966,0.12256184360604133,0.963787338618415,True,all_three_strong,0.020182590095416786,infant
altruistic,0.7562891016656702,0.9109465246363436,0.9209031315753089,0.8627129192924409,0.7562891016656702,0.9209031315753089,0.7945121798755567,0.6548518507833011,0.5050521952438073,0.6968854667530977,0.1390140304412814,0.9496272917193583,True,all_three_strong,0.021855718627303178,infant
analytical,0.8668242788155148,0.9432417769380763,0.9236227141017024,0.9112295899517644,0.8668242788155148,0.9432417769380763,0.9183518459748229,0.8879074464095092,0.4138630586472783,0.5151532700754673,0.07495561875313973,0.9685485584059821,True,all_three_strong,0.003927288865306244,angel
animated,0.49021236449916417,0.9183453187484149,0.6141790083447793,0.6742455638641195,0.49021236449916417,0.9183453187484149,0.7365167383129935,0.6066507025186809,0.7627052291128732,1.0079026364494073,0.0845502146744635,0.8612920303211912,True,weak_or_mixed,0.03407949925477882,procrastinator
anthropocentric,0.26630548675082977,0.47770181613692186,0.7976143280808766,0.5138738769895427,0.26630548675082977,0.7976143280808766,0.39697815989152074,0.09865612648221343,0.9548024934591913,1.2091538638246098,0.1157295897733555,0.7602630198669814,True,pairwise_only,0.018818432934985294,narcissist
anxious,0.9094271634609115,0.9555326831281761,0.9524013814163721,0.9391204093351533,0.9094271634609115,0.9555326831281761,0.8892757469971052,0.8320227344854447,0.34349765517798225,0.4248375707723028,0.128115996589082,0.9788483332353781,True,all_three_strong,0.008125603168661955,procrastinator
arrogant,0.9279332229867576,0.9270731176806439,0.9520626463730804,0.9356896623468273,0.9270731176806439,0.9520626463730804,0.9407920525470509,0.9281215198638239,0.3564147739312827,0.38121304714392046,0.20056714908759268,0.9776029808739973,True,all_three_strong,0.002824783668651909,demon
artistic,0.8813501371179476,0.955001675794764,0.940243885515231,0.9255318994759808,0.8813501371179476,0.955001675794764,0.9285027360241577,0.886845157381495,0.37692414818013315,0.48624769168646703,0.12017372024464879,0.9738805913247564,True,all_three_strong,0.013704334629998427,infant
ascetic,0.9492888900196148,0.9532979162722207,0.928802275255738,0.9437963605158578,0.928802275255738,0.9532979162722207,0.9198955598511295,0.8894873200426993,0.33320675352555273,0.37666649420146275,0.11992501931571253,0.9805361611162181,True,all_three_strong,0.005941571987583161,ascetic
assertive,0.8079607907891594,0.944510049958671,0.829765418262389,0.8607454196700731,0.8079607907891594,0.944510049958671,0.8544240885529365,0.7900995355009953,0.5111928224793805,0.6186127784223507,0.29854093029764767,0.9488315087021604,True,all_three_strong,0.014326535874376822,procrastinator
avoidant,-0.024660359061269198,0.34590744621282765,0.7671283034362064,0.3627917968625883,-0.024660359061269198,0.7671283034362064,0.20115826625506092,-0.27703643864862526,1.0839431432218816,1.4289396917938528,0.29818172605152665,0.6307288702474207,False,pairwise_only,0.0,aberration
benevolent,0.5278511539727432,0.701885645409577,0.929140181508475,0.7196256602969319,0.5278511539727432,0.929140181508475,0.6897279362972794,0.496337670580768,0.7055020833663717,0.9699813824322737,0.17584493801358206,0.8850572151643611,True,all_three_strong,0.028206433468911662,infant
big_picture,0.82133347869352,0.9292205368928413,0.8832514189760232,0.8779351448541282,0.82133347869352,0.9292205368928413,0.8771931950414972,0.8413790715790082,0.4848600310646473,0.5966855534791594,0.19396496216016249,0.9557073293319643,True,all_three_strong,0.01688693531341212,toddler
bitter,0.927834666372797,0.966256298874606,0.9414271003703695,0.9451726885392575,0.927834666372797,0.966256298874606,0.9559560697421693,0.9406566457978708,0.32672360622586255,0.3792173894541098,0.1121484912453059,0.9810308789061879,True,all_three_strong,0.004677973765754073,cynic
blunt,0.8098136025814582,0.9260833673391896,0.8513917193704055,0.8624295630970177,0.8098136025814582,0.9260833673391896,0.8715713145418,0.8494359654943596,0.5145320399611806,0.615621329258235,0.09351536523738589,0.9495128259730864,True,all_three_strong,0.03951881917994704,infant
bombastic,0.9270505183300422,0.9600276868046498,0.9162161216468321,0.9344314422605079,0.9162161216468321,0.9600276868046498,0.9100502966831115,0.8722137272438764,0.35736927495106746,0.40860545690093525,0.1823560765962361,0.9771447572160845,True,all_three_strong,0.005426563268478235,caveman
calculating,0.844187606228305,0.9243171112535791,0.8913517813657497,0.8866188329492113,0.844187606228305,0.9243171112535791,0.8031887904753662,0.7393652808632181,0.47028986889105723,0.5572177370631498,0.07575810161945927,0.9591159573357166,True,all_three_strong,0.012127073760183293,adolescent
callous,0.7032942172032498,0.8619825684252947,0.8883350411266756,0.8178706089184068,0.7032942172032498,0.8883350411266756,0.8191281267130205,0.7317215314041718,0.588360748003435,0.7689302343873458,0.11934570628468692,0.9309001240906839,True,all_three_strong,0.03970525660194835,infant
calm,0.8915498284073353,0.9696683848385701,0.927500363603374,0.9295728589497597,0.8915498284073353,0.9696683848385701,0.9371354933017897,0.9074146735524076,0.3636078784661512,0.46487806429713996,0.10775588095803701,0.9753677678583029,True,all_three_strong,0.005966939358133638,infant
casual,0.9076707725002374,0.9067805153491959,0.9483546009651344,0.9209352962715225,0.9067805153491959,0.9483546009651344,0.8748064587480645,0.8401113643576353,0.39358033879955706,0.4310000109202301,0.11509622467296954,0.9721786403870957,True,all_three_strong,0.008430009772515845,adolescent
cautious,0.8289862382341272,0.8867573166785284,0.7437061945186009,0.8198165831437522,0.7437061945186009,0.8867573166785284,0.8250421703547696,0.739775540232538,0.591151645387971,0.7146493238042296,0.1076382443807334,0.931739220753289,True,all_three_strong,0.007458213580820661,void
challenging,0.7915894354949349,0.7938903779483711,0.851996146629525,0.8124919866909437,0.7915894354949349,0.851996146629525,0.8017595183828125,0.7885133146764375,0.6094641140384566,0.6444419413831861,0.10574906406694558,0.9285679397625117,True,all_three_strong,0.019391757468356086,fool
chaotic,0.7915052412077019,0.9287838548769651,0.7437368182622806,0.8213419714489826,0.7437368182622806,0.9287838548769651,0.8218314532183145,0.7339995960878221,0.5786313146003761,0.7146066269246453,0.06829839415880469,0.9323952343861821,True,all_three_strong,0.013434299764473856,teenager
