domain,standardized_coefficient,absolute_coefficient,human_fit
agreeableness,0.08532289999755238,0.08532289999755238,full_overlap_primary
conscientiousness,0.1817960222114675,0.1817960222114675,full_overlap_primary
extraversion,0.2764832664128651,0.2764832664128651,full_overlap_primary
openness,0.022097394064998617,0.022097394064998617,full_overlap_primary
emotional_stability,0.3960629230247066,0.3960629230247066,full_overlap_primary
agreeableness,0.08186650804259792,0.08186650804259792,aa20_common_ridge_sensitivity
conscientiousness,0.18269181594101006,0.18269181594101006,aa20_common_ridge_sensitivity
extraversion,0.2699654806035819,0.2699654806035819,aa20_common_ridge_sensitivity
openness,0.040664755938351616,0.040664755938351616,aa20_common_ridge_sensitivity
emotional_stability,0.41422359613126986,0.41422359613126986,aa20_common_ridge_sensitivity
