model,persona,direct_trait_hifwb_score,within_model_percentile
Qwen,aberration,-0.8966334711432817,4.0
Qwen,absurdist,-0.7796692018705008,5.818181818181818
Qwen,accountant,0.0608959818246913,47.63636363636364
Qwen,activist,0.09432444118951933,52.72727272727272
Qwen,actor,-0.20863234526314484,22.90909090909091
Qwen,addict,-0.42604743014176083,16.727272727272727
Qwen,adolescent,-0.6987419571925605,8.363636363636363
Qwen,advocate,0.33198939513035036,83.63636363636363
Qwen,alien,-0.12105264421238526,26.90909090909091
Qwen,altruist,0.5356958675854124,96.36363636363636
Qwen,amateur,0.24778002062941681,72.36363636363636
Qwen,ambassador,0.4568510596487088,92.72727272727272
Qwen,amnesiac,-0.36648699404934715,18.90909090909091
Qwen,analyst,0.08885823547461846,52.0
Qwen,anarchist,-0.3907900936763795,18.181818181818183
Qwen,ancient,-0.030283680926104718,33.45454545454545
Qwen,angel,0.7538231183253273,98.9090909090909
Qwen,anthropologist,0.08512043814823655,50.54545454545455
Qwen,archaeologist,0.0963067193947603,53.090909090909086
Qwen,architect,0.30597582250493305,79.63636363636364
Qwen,archivist,0.21475952181578,68.72727272727272
Qwen,artisan,0.37022273430874064,87.27272727272727
Qwen,ascetic,-0.02817731432841841,33.81818181818182
Qwen,assistant,0.2563131443142067,73.81818181818181
Qwen,auctioneer,-0.05091227112825974,30.909090909090907
Qwen,auditor,-0.0409642650230506,32.0
Qwen,avatar,0.4183972986231466,90.9090909090909
Qwen,bard,0.14908744394711468,60.0
Qwen,bartender,-0.007140785946534774,37.09090909090909
Qwen,biologist,0.12240538035950314,57.09090909090909
Qwen,blogger,0.1267088350052788,57.81818181818181
Qwen,bohemian,0.033490905541294434,43.63636363636363
Qwen,builder,0.22700382131402272,69.45454545454545
Qwen,caregiver,0.7766289294035261,99.63636363636364
Qwen,cartographer,0.19651965590335202,66.18181818181819
Qwen,caveman,-0.30990575937730935,20.363636363636363
Qwen,celebrity,-0.030928672253496367,33.09090909090909
Qwen,chameleon,0.1393028135182857,59.27272727272728
Qwen,chef,0.3290466131742038,83.27272727272728
Qwen,chemist,0.05767380153413799,47.27272727272727
Qwen,chimera,-0.25010128445273855,22.181818181818183
Qwen,coach,0.4780425302922959,93.0909090909091
