model,seed,train_n,validation_n,test_n,alpha,r2,rmse,mae,calibration_slope,calibration_intercept
Intercept,20260915,707,229,243,0.0,-0.016413979724321903,0.7885219885014542,0.6330307249319944,0.9388719473192855,-0.10718252539487594
BigFive,20260915,707,229,243,100.0,0.5458807957559182,0.5270640898424812,0.4116390144407062,1.1679409604893838,-0.08925922354421162
C1_C3,20260915,707,229,243,100.0,0.13915543056928603,0.7256728345695038,0.5736203772078375,0.9952212923523623,-0.09173129040735117
BigFive_plus_C1_C3,20260915,707,229,243,100.0,0.5468591687977646,0.5264960194611629,0.40757464370175484,1.1582245329527967,-0.08800607853948
HumanFactors5,20260915,707,229,243,100.0,0.47742984734263083,0.565393477379077,0.4398954947603255,1.0688453124659703,-0.07665856950363842
BigFive_plus_HumanFactors5,20260915,707,229,243,100.0,0.5884524999327897,0.5017512667010623,0.3833562585825784,1.1014720436826777,-0.08339067168737088
Intercept,20260916,713,237,229,0.0,-0.0009481649486706711,0.8107987611620849,0.650973358596018,,
BigFive,20260916,713,237,229,100.0,0.607684591506238,0.5076039178477114,0.41183128122655327,1.1118392036877596,0.05675720392698705
C1_C3,20260916,713,237,229,0.0,0.1992143681693701,0.7252127296979007,0.5876328567929079,1.0322689093291673,-0.05068065975514455
BigFive_plus_C1_C3,20260916,713,237,229,100.0,0.6078228756685764,0.5075144493134081,0.41356010696151624,1.096717174645039,0.039193821199898754
HumanFactors5,20260916,713,237,229,10.0,0.5252803211732748,0.5583749160345626,0.4474137702360751,1.041110712829527,0.012105655156643469
BigFive_plus_HumanFactors5,20260916,713,237,229,100.0,0.6486032482020548,0.4804034901911684,0.3901723918968067,1.0939803744568082,0.044361816763186346
Intercept,20260917,713,233,233,0.0,-0.004643927027786043,0.8154035441001112,0.6797382231899491,0.7237979426162865,-0.0896479711637924
BigFive,20260917,713,233,233,10.0,0.5000913310209746,0.5751906888229726,0.4643162238517764,0.9228168238839246,-0.05897788617207732
C1_C3,20260917,713,233,233,0.0,0.17584821542726736,0.7385333554735365,0.6073476237475646,0.989661358078381,-0.042201887239048025
BigFive_plus_C1_C3,20260917,713,233,233,10.0,0.5112895388517911,0.5687119197668675,0.45807151441133814,0.9396181554347041,-0.05699165986318655
HumanFactors5,20260917,713,233,233,0.0,0.4178225736033542,0.620717792061568,0.4912833936974305,0.893757139817153,-0.05912684243724245
BigFive_plus_HumanFactors5,20260917,713,233,233,100.0,0.5399754331557794,0.5517686553638365,0.4396472511946961,0.9691917513161389,-0.04989314470932646
Intercept,20260918,679,240,260,0.0,-0.0008601235626737314,0.7788083000086384,0.6458383606778497,0.587961015214494,-0.07630493081677069
BigFive,20260918,679,240,260,0.0,0.5501456930965757,0.5221314094286378,0.41354425702221065,0.9552725595046829,-0.05875570121171263
C1_C3,20260918,679,240,260,0.0,0.23569741415047207,0.6805758630505264,0.5664934806089493,1.099835030015441,-0.02133932447218964
BigFive_plus_C1_C3,20260918,679,240,260,0.0,0.5628276738955873,0.5147190112733024,0.4095019695237638,0.9654306626874318,-0.05329070760436806
HumanFactors5,20260918,679,240,260,10.0,0.4455231037177758,0.5796763812630294,0.46262803523466994,0.9457614905774061,-0.06303953985177398
BigFive_plus_HumanFactors5,20260918,679,240,260,100.0,0.5701594277021256,0.5103846225627586,0.3977058890349943,0.992288950759573,-0.05821638289039607
Intercept,20260919,703,243,233,0.0,-0.014644098912261372,0.8487356301816297,0.7057466402859502,,
BigFive,20260919,703,243,233,100.0,0.5696696492976394,0.552734478861432,0.43760903363014364,1.137759975107153,-0.00402825828552647
C1_C3,20260919,703,243,233,0.0,0.21102853140661093,0.7484214336292029,0.6034183365211746,1.1356375305377988,-0.0474251146253048
BigFive_plus_C1_C3,20260919,703,243,233,0.0,0.5918877112017729,0.5382764797248406,0.42103018967534817,1.059938627074541,-0.0036893600987729647
HumanFactors5,20260919,703,243,233,100.0,0.5194006754738352,0.5841268176785902,0.45337252583116505,1.0394553960273345,-0.0036348561404773994
BigFive_plus_HumanFactors5,20260919,703,243,233,100.0,0.6274633941980685,0.5142804841880302,0.4022969452401648,1.08186381961343,0.005958093267254355
