trait,n,r,p,weight
adventurous,147,0.22600107046752854,0.0059154735514568525,0.22600107046752854
agreeable,317,0.10197615029272723,0.06980239776655497,0.10197615029272723
altruistic,399,0.19759018706496115,7.075786158997753e-05,0.19759018706496115
anxious,381,-0.5520819221929731,8.876165988400462e-32,-0.5520819221929731
artistic,230,0.0980400949114064,0.13825411431130363,0.0980400949114064
assertive,351,0.38111794447534736,1.4060557523659697e-13,0.38111794447534736
bitter,370,-0.47921414165570586,1.2171437526935756e-22,-0.47921414165570586
callous,323,-0.09302673557371513,0.09511054819495797,-0.09302673557371513
calm,161,0.37084430138229474,1.28132470481704e-06,0.37084430138229474
conscientious,256,0.3078050314433341,5.080011278333417e-07,0.3078050314433341
creative,395,0.12558505228423938,0.012491720849581354,0.12558505228423938
curious,331,0.12488533332721032,0.023062523293505395,0.12488533332721032
cynical,379,-0.3249555475809156,9.047701536170452e-11,-0.3249555475809156
dramatic,448,0.048590723739546815,0.30479509693409557,0.048590723739546815
emotional,393,-0.02265463681433111,0.6543425959097032,-0.02265463681433111
empathetic,343,0.0186400708768476,0.7308548353271176,0.0186400708768476
extroverted,330,0.3647992725369939,7.981996905176594e-12,0.3647992725369939
forgiving,234,0.23303371457968858,0.0003240612830693385,0.23303371457968858
grandiose,394,0.4186280662360774,3.77903957816017e-18,0.4186280662360774
gregarious,271,0.2393056095313741,6.913956734000317e-05,0.2393056095313741
impulsive,342,-0.25826782567657897,1.2912200135140258e-06,-0.25826782567657897
innovative,372,0.22064861276586809,1.7513661439311444e-05,0.22064861276586809
introspective,209,-0.0031421751645835886,0.9639848992833513,-0.0031421751645835886
judgmental,107,-0.25061230395918255,0.0092251979605322,-0.25061230395918255
manipulative,293,-0.03307030375199878,0.5728855407565436,-0.03307030375199878
meticulous,308,0.12720626610606375,0.02558456300247776,0.12720626610606375
optimistic,436,0.7019464254843595,5.925830192771672e-66,0.7019464254843595
paranoid,406,-0.43423336470495344,4.228775398548221e-20,-0.43423336470495344
patient,308,0.21735657319914917,0.00012047786712170589,0.21735657319914917
perfectionist,337,0.13999853874137924,0.010077265122826147,0.13999853874137924
pessimistic,213,-0.6663918703823508,1.027993199548911e-28,-0.6663918703823508
rebellious,129,0.0331582333920548,0.7091171090287295,0.0331582333920548
reserved,252,-0.3923458927585477,1.0600000618073306e-10,-0.3923458927585477
resilient,160,0.48427304391527254,8.692367599724759e-11,0.48427304391527254
secular,238,-0.21994122427293072,0.000632773983566925,-0.21994122427293072
serene,320,0.3896826877746298,4.77902833909892e-13,0.3896826877746298
stoic,253,0.40757461999077294,1.5202743545564837e-11,0.40757461999077294
temperamental,243,-0.5031398974080638,5.3494536096448993e-17,-0.5031398974080638
theatrical,160,0.08768412602777637,0.27022047605162397,0.08768412602777637
traditional,377,-0.024272237734182005,0.6385080362791962,-0.024272237734182005
vindictive,161,-0.37402442828986937,1.0215887232930719e-06,-0.37402442828986937
