trait,n,r,p,weight
adventurous,147,0.19697699661838464,0.01678844239869685,0.19697699661838464
agreeable,317,-0.05205786307451013,0.3555753619509833,-0.05205786307451013
altruistic,399,0.08580829705395035,0.08693346220574488,0.08580829705395035
anxious,381,-0.08587397996173184,0.09417410543489309,-0.08587397996173184
artistic,230,0.13157050268410186,0.04624318335119028,0.13157050268410186
assertive,351,0.08807474514728715,0.09947655010168191,0.08807474514728715
bitter,370,-0.2536043736572048,7.704521445690717e-07,-0.2536043736572048
callous,323,0.01563667394110363,0.7795135185622525,0.01563667394110363
calm,161,0.00539793527043323,0.9458183254075312,0.00539793527043323
conscientious,256,0.1398772765144935,0.02521465965389439,0.1398772765144935
creative,395,0.07552906137495127,0.13400488903328622,0.07552906137495127
curious,331,0.016079967380739423,0.7706983900732486,0.016079967380739423
cynical,379,-0.127449565561248,0.013023849275969598,-0.127449565561248
dramatic,448,-0.036486213724348536,0.44108247199559963,-0.036486213724348536
emotional,393,0.03131065522005763,0.5359926808919321,0.03131065522005763
empathetic,343,-0.04234833943281798,0.4343380264723113,-0.04234833943281798
extroverted,330,-0.06352094999480448,0.24985599095454875,-0.06352094999480448
forgiving,234,0.02112085327196478,0.7479128618038174,0.02112085327196478
grandiose,394,0.31740504097134986,1.1350582374976954e-10,0.31740504097134986
gregarious,271,-0.09650634042544683,0.11295426032382325,-0.09650634042544683
impulsive,342,0.08487503120901138,0.11718574327980558,0.08487503120901138
innovative,372,0.061651257067522815,0.2355380852540206,0.061651257067522815
introspective,209,-0.07692378073500102,0.26827412041450155,-0.07692378073500102
judgmental,107,-0.01579948642864932,0.8716825652629177,-0.01579948642864932
manipulative,293,0.09863904442177922,0.09192619917557301,0.09863904442177922
meticulous,308,-0.0661507674411166,0.247072608066636,-0.0661507674411166
optimistic,436,0.4916008025673535,6.566451721136445e-28,0.4916008025673535
paranoid,406,-0.12432729143958031,0.012171381638496834,-0.12432729143958031
patient,308,0.007076636653390479,0.9015599077169153,0.007076636653390479
perfectionist,337,0.007100610551002541,0.896671496110963,0.007100610551002541
pessimistic,213,-0.3085482828042438,4.452034580955328e-06,-0.3085482828042438
rebellious,129,0.012857729625090006,0.8850106811441351,0.012857729625090006
reserved,252,-0.11101685620606332,0.07857454292594099,-0.11101685620606332
resilient,160,0.05324879195726346,0.5036591729331165,0.05324879195726346
secular,238,-0.11697112773845415,0.07166660320078562,-0.11697112773845415
serene,320,0.01498629498789993,0.7894315059345276,0.01498629498789993
stoic,253,-0.013114088407956878,0.8355660371672228,-0.013114088407956878
temperamental,243,-0.0760206222760629,0.23774454243497484,-0.0760206222760629
theatrical,160,-0.06111698665386709,0.44264635262735297,-0.06111698665386709
traditional,377,-0.057327830043648574,0.2668602334837902,-0.057327830043648574
vindictive,161,-0.11290996547003955,0.15384865436568168,-0.11290996547003955
