trait,n,r,p,weight
adventurous,291,0.1204360820452802,0.040060746371212964,0.1204360820452802
agreeable,654,-0.0402600858797292,0.3039331460013238,-0.0402600858797292
altruistic,819,0.041456501721699984,0.23597517016539366,0.041456501721699984
anxious,762,-0.11297680815491937,0.0017869152887566755,-0.11297680815491937
artistic,494,0.06279769285017944,0.1634419503514112,0.06279769285017944
assertive,758,0.09034038609445451,0.012838493861370155,0.09034038609445451
bitter,733,-0.21034593131417798,8.944027356556938e-09,-0.21034593131417798
callous,688,0.02915755371591227,0.4451252474882577,0.02915755371591227
calm,298,-0.026181569872983895,0.6526083025190615,-0.026181569872983895
conscientious,583,0.10520276813888685,0.011029362116748306,0.10520276813888685
creative,748,0.09342275399894781,0.010576341516843763,0.09342275399894781
curious,853,-0.016867540589972845,0.6227555770486846,-0.016867540589972845
cynical,724,-0.13459736563210678,0.0002813138208541266,-0.13459736563210678
dramatic,994,0.04006844320572319,0.20688192656201115,0.04006844320572319
emotional,780,0.012134784825374494,0.7350805847143747,0.012134784825374494
empathetic,717,-0.04689519397806873,0.20976750697170107,-0.04689519397806873
extroverted,635,-0.04157983714689028,0.2954839678189073,-0.04157983714689028
forgiving,477,0.015567716024556968,0.734509893271398,0.015567716024556968
grandiose,794,0.2913257238822069,5.363025413673211e-17,0.2913257238822069
gregarious,571,-0.08765980976458208,0.03624869489621303,-0.08765980976458208
impulsive,633,-0.03495515313035695,0.3799524363937505,-0.03495515313035695
innovative,789,0.09029096969906752,0.011169223109831442,0.09029096969906752
introspective,394,-0.04152068733699851,0.41113492684408204,-0.04152068733699851
judgmental,195,-0.005311929679339834,0.9412485595180348,-0.005311929679339834
manipulative,625,0.08714605867942497,0.029373599583266033,0.08714605867942497
meticulous,735,0.0029671952776810177,0.935993451629229,0.0029671952776810177
optimistic,871,0.4873989579301903,3.645506297852995e-53,0.4873989579301903
paranoid,775,-0.15268964396689466,1.9644445317636868e-05,-0.15268964396689466
patient,810,0.0015655056252830357,0.9645167787560623,0.0015655056252830357
perfectionist,802,0.011674455127440897,0.7413156894532097,0.011674455127440897
pessimistic,384,-0.39350675779979816,1.1331750485691255e-15,-0.39350675779979816
rebellious,263,-0.07977423949050193,0.19718449264738586,-0.07977423949050193
reserved,518,-0.034734767535504835,0.4301832403226812,-0.034734767535504835
resilient,281,0.1038333728010673,0.08229802619813426,0.1038333728010673
secular,426,-0.06421519346783007,0.18588260623296407,-0.06421519346783007
serene,614,-0.05057067780544037,0.21081072013430077,-0.05057067780544037
stoic,466,-0.014665071198814899,0.7521982496462284,-0.014665071198814899
temperamental,479,-0.06640184219917114,0.14675755425344528,-0.06640184219917114
theatrical,308,-0.06159185121507457,0.2812297852637212,-0.06159185121507457
traditional,741,-0.004831286064103036,0.8955437645102238,-0.004831286064103036
vindictive,299,-0.027502204573952683,0.6357457840597698,-0.027502204573952683
