replicate,k,family
1,1,EPQr:EPQ:N
1,2,PS:PS:S
1,3,HEXACO:H:X:L
1,4,IPIPneo:N6:VU
1,5,IPIPneo:E6:CH
1,6,MPQ:MPQ:WB
1,7,BFAS:BFAS:N:W
1,8,HEXACO:H:E:A
2,1,EPQr:EPQ:N
2,2,PS:PS:S
2,3,HEXACO:H:X:L
2,4,IPIPneo:N6:VU
2,5,MPQ:MPQ:WB
2,6,IPIPneo:E6:CH
2,7,HEXACO:H:E:A
2,8,BFAS:BFAS:N:W
3,1,PS:PS:S
3,2,HEXACO:H:X:L
3,3,EPQr:EPQ:N
3,4,IPIPneo:E6:CH
3,5,IPIPneo:N6:VU
3,6,HEXACO:H:E:A
3,7,MPQ:MPQ:WB
3,8,BFAS:BFAS:N:W
4,1,EPQr:EPQ:N
4,2,PS:PS:S
4,3,HEXACO:H:X:L
4,4,IPIPneo:E6:CH
4,5,IPIPneo:N6:VU
4,6,BFAS:BFAS:N:W
4,7,MPQ:MPQ:WB
4,8,HEXACO:H:E:A
5,1,EPQr:EPQ:N
5,2,HEXACO:H:X:L
5,3,PS:PS:S
5,4,BFAS:BFAS:N:W
5,5,IPIPneo:N6:VU
5,6,IPIPneo:E6:CH
5,7,HEXACO:H:E:A
5,8,MPQ:MPQ:WB
6,1,EPQr:EPQ:N
6,2,PS:PS:S
6,3,HEXACO:H:X:L
6,4,IPIPneo:N6:VU
6,5,MPQ:MPQ:WB
6,6,IPIPneo:E6:CH
6,7,BFAS:BFAS:N:W
6,8,HEXACO:H:E:A
7,1,PS:PS:S
7,2,EPQr:EPQ:N
7,3,HEXACO:H:X:L
7,4,IPIPneo:E6:CH
7,5,BFAS:BFAS:N:W
7,6,IPIPneo:N6:VU
7,7,MPQ:MPQ:WB
7,8,HEXACO:H:E:A
8,1,EPQr:EPQ:N
8,2,PS:PS:S
8,3,HEXACO:H:X:L
8,4,IPIPneo:N6:VU
8,5,IPIPneo:E6:CH
8,6,HEXACO:H:E:A
8,7,MPQ:MPQ:WB
8,8,BFAS:BFAS:N:W
9,1,EPQr:EPQ:N
9,2,PS:PS:S
9,3,HEXACO:H:X:L
9,4,IPIPneo:E6:CH
9,5,MPQ:MPQ:WB
9,6,HEXACO:H:E:A
9,7,IPIPneo:N6:VU
9,8,BFAS:BFAS:N:W
10,1,EPQr:EPQ:N
10,2,PS:PS:S
10,3,HEXACO:H:X:L
10,4,IPIPneo:N6:VU
10,5,BFAS:BFAS:N:W
10,6,IPIPneo:E6:CH
10,7,HEXACO:H:E:A
10,8,MPQ:MPQ:WB
11,1,EPQr:EPQ:N
11,2,PS:PS:S
11,3,HEXACO:H:X:L
11,4,IPIPneo:N6:VU
11,5,IPIPneo:E6:CH
11,6,BFAS:BFAS:N:W
11,7,MPQ:MPQ:WB
11,8,HEXACO:H:E:A
12,1,PS:PS:S
12,2,EPQr:EPQ:N
12,3,HEXACO:H:X:L
12,4,IPIPneo:E6:CH
12,5,IPIPneo:N6:VU
12,6,BFAS:BFAS:N:W
12,7,MPQ:MPQ:WB
12,8,HEXACO:H:E:A
13,1,EPQr:EPQ:N
13,2,PS:PS:S
13,3,HEXACO:H:X:L
13,4,IPIPneo:N6:VU
13,5,IPIPneo:E6:CH
13,6,HEXACO:H:E:A
13,7,MPQ:MPQ:WB
13,8,BFAS:BFAS:N:W
14,1,EPQr:EPQ:N
14,2,PS:PS:S
14,3,HEXACO:H:X:L
14,4,IPIPneo:E6:CH
14,5,IPIPneo:N6:VU
14,6,HEXACO:H:E:A
14,7,MPQ:MPQ:WB
14,8,BFAS:BFAS:N:W
15,1,EPQr:EPQ:N
15,2,HEXACO:H:X:L
15,3,PS:PS:S
15,4,IPIPneo:E6:CH
15,5,IPIPneo:N6:VU
15,6,MPQ:MPQ:WB
15,7,BFAS:BFAS:N:W
15,8,HEXACO:H:E:A
16,1,EPQr:EPQ:N
16,2,PS:PS:S
16,3,HEXACO:H:X:L
16,4,IPIPneo:N6:VU
16,5,IPIPneo:E6:CH
16,6,MPQ:MPQ:WB
16,7,BFAS:BFAS:N:W
16,8,HEXACO:H:E:A
17,1,PS:PS:S
17,2,EPQr:EPQ:N
17,3,HEXACO:H:X:L
17,4,IPIPneo:E6:CH
17,5,IPIPneo:N6:VU
17,6,MPQ:MPQ:WB
17,7,BFAS:BFAS:N:W
17,8,HEXACO:H:E:A
18,1,PS:PS:S
18,2,EPQr:EPQ:N
18,3,HEXACO:H:X:L
18,4,IPIPneo:E6:CH
18,5,IPIPneo:N6:VU
18,6,HEXACO:H:E:A
18,7,BFAS:BFAS:N:W
18,8,MPQ:MPQ:WB
19,1,EPQr:EPQ:N
19,2,PS:PS:S
19,3,HEXACO:H:X:L
19,4,IPIPneo:E6:CH
19,5,IPIPneo:N6:VU
19,6,MPQ:MPQ:WB
19,7,BFAS:BFAS:N:W
19,8,HEXACO:H:E:A
20,1,EPQr:EPQ:N
20,2,PS:PS:S
20,3,HEXACO:H:X:L
20,4,IPIPneo:E6:CH
20,5,IPIPneo:N6:VU
20,6,MPQ:MPQ:WB
20,7,HEXACO:H:E:A
20,8,BFAS:BFAS:N:W
