item_number,observed_n,missing_n,missing_fraction
1,306979,334,0.0010868398017656266
2,306935,378,0.0012300163025970264
3,306572,741,0.002411222434456076
4,306408,905,0.0029448803011912937
5,306228,1085,0.0035306023500470203
6,306243,1070,0.0034817921793090434
7,305883,1430,0.004653236277020497
8,305998,1315,0.004279024968029338
9,306325,988,0.0032149632459414343
10,305774,1539,0.005007923517716465
11,305797,1516,0.004933081255918233
12,305489,1824,0.005935316761738032
13,305841,1472,0.0047899047550868335
14,305960,1353,0.0044026774005655476
15,305743,1570,0.0051087978705749515
16,305677,1636,0.005323562621822051
17,305626,1687,0.005489517202331174
18,305748,1565,0.005092527813662292
19,305763,1550,0.005043717642924315
20,305665,1648,0.005362610758412433
21,306107,1206,0.003924337727333371
22,305840,1473,0.004793158766469365
23,305664,1649,0.0053658647697949645
24,305872,1441,0.004689030402228347
25,305964,1349,0.00438966135503542
26,306041,1272,0.00413910247858047
27,305405,1908,0.006208653717870705
28,305923,1390,0.0045230758217192244
29,306222,1091,0.0035501264183422114
30,305970,1343,0.004370137286740229
31,305870,1443,0.00469553842499341
32,305744,1569,0.005105543859192419
33,305795,1518,0.004939589278683297
34,306027,1286,0.004184658637935916
35,305982,1331,0.004331089150149847
36,305555,1758,0.005720552010490933
37,306126,1187,0.0038625115110652655
38,305940,1373,0.004467757628216183
39,305861,1452,0.004724824527436197
40,305779,1534,0.004991653460803806
41,305867,1446,0.004705300459141006
42,305889,1424,0.004633712208725306
43,305948,1365,0.004441725537155929
44,306045,1268,0.004126086433050343
45,305754,1559,0.005073003745367101
46,305803,1510,0.004913557187623042
47,305898,1415,0.00460442610628252
48,305871,1442,0.004692284413610879
49,306187,1126,0.003664016816730825
50,305589,1724,0.005609915623484851
51,306049,1264,0.0041130703875202155
52,305640,1673,0.005443961042975729
53,305811,1502,0.0048875250965627875
54,305884,1429,0.004649982265637965
55,305628,1685,0.00548300917956611
56,305755,1558,0.0050697497339845694
57,305544,1769,0.005756346135698783
58,305537,1776,0.005779124215376506
59,305978,1335,0.004344105195679975
60,306257,1056,0.003436236019953598
61,306709,604,0.0019654228750492168
62,306796,517,0.001682323884768949
63,306630,683,0.0022224897742692306
64,306730,583,0.0018970886360160488
65,306493,820,0.0026682893336760893
66,306481,832,0.002707337470266471
67,306461,852,0.0027724176979171075
68,306450,863,0.002808211823124957
69,306266,1047,0.0034069499175108115
70,306217,1096,0.0035663964752548705
71,306235,1078,0.003507824270369298
72,306508,805,0.002619479162938112
73,306505,808,0.0026292411970857076
74,306381,932,0.0030327386085196527
75,306186,1127,0.003667270828113357
76,306092,1221,0.003973147898071347
77,306258,1055,0.003432982008571066
78,306147,1166,0.0037941772720320975
79,306356,957,0.003114088893082948
80,305867,1446,0.004705300459141006
81,306377,936,0.00304575465404978
82,305995,1318,0.004288787002176934
83,306005,1308,0.004256246888351615
84,306165,1148,0.003735605067146525
85,305742,1571,0.005112051881957483
86,306150,1163,0.003784415237884502
87,306041,1272,0.00413910247858047
88,306148,1165,0.0037909232606495656
89,306294,1019,0.0033158375987999205
90,306238,1075,0.0034980622362217025
91,306114,1199,0.0039015596476556476
92,306005,1308,0.004256246888351615
93,306036,1277,0.004155372535493129
94,306092,1221,0.003973147898071347
95,305717,1596,0.005193402166520779
96,305915,1398,0.004549107912779479
97,306215,1098,0.003572904498019934
98,305924,1389,0.004519821810336693
99,305765,1548,0.005037209620159251
100,305936,1377,0.004480773673746311
101,306138,1175,0.003823463374474884
102,305892,1421,0.004623950174577711
103,306165,1148,0.003735605067146525
104,306347,966,0.0031433749955257343
105,306130,1183,0.0038494954655351383
106,305812,1501,0.004884271085180256
107,306206,1107,0.0036021906004627203
108,306138,1175,0.003823463374474884
109,305990,1323,0.004305057059089593
110,305957,1356,0.004412439434713143
111,305729,1584,0.005154354029930397
112,305987,1326,0.004314819093237188
113,305920,1393,0.00453283785586682
114,305523,1790,0.005824680374731951
115,305694,1619,0.0052682444283190105
116,305832,1481,0.0048191908575296195
117,305623,1690,0.005499279236478769
118,305925,1388,0.004516567798954161
119,305911,1402,0.0045621239583096065
120,306209,1104,0.003592428566315125
121,306671,642,0.002089075307585426
122,306585,728,0.0023689202864831623
123,306489,824,0.0026813053792062165
124,306630,683,0.0022224897742692306
125,306537,776,0.0025251128328446894
126,306590,723,0.002352650229570503
127,306538,775,0.0025218588214621575
128,306311,1002,0.0032605194052968797
129,306380,933,0.003035992619902184
130,306237,1076,0.003501316247604234
131,306425,888,0.002889562107688253
132,306316,997,0.0032442493483842206
133,306254,1059,0.003445998054101193
134,306465,848,0.0027594016523869802
135,306104,1209,0.003934099761480966
136,306453,860,0.002798449788977362
137,306072,1241,0.004038228125721984
138,306302,1011,0.003289805507739666
139,306081,1232,0.004008942023279198
140,306374,939,0.0030555166881973753
141,306281,1032,0.003358139746772834
142,305989,1324,0.004308311070472124
143,305730,1583,0.005151100018547865
144,306387,926,0.0030132145402244617
145,305964,1349,0.00438966135503542
146,306310,1003,0.0032637734166794117
147,305899,1414,0.004601172094899988
148,305898,1415,0.00460442610628252
149,306184,1129,0.00367377885087842
150,305855,1458,0.004744348595731388
151,306042,1271,0.0041358484671979385
152,306266,1047,0.0034069499175108115
153,305900,1413,0.004597918083517456
154,306193,1120,0.003644492748435634
155,305879,1434,0.004666252322550624
156,306071,1242,0.004041482137104516
157,306040,1273,0.004142356489963002
158,306043,1270,0.004132594455815406
159,306023,1290,0.004197674683466043
160,306300,1013,0.0032963135305047295
161,305996,1317,0.004285532990794402
162,306137,1176,0.0038267173858574158
163,306044,1269,0.004129340444432875
164,306274,1039,0.003380917826450557
165,306020,1293,0.004207436717613638
166,305834,1479,0.004812682834764556
167,306046,1267,0.004122832421667811
168,306019,1294,0.00421069072899617
169,306077,1236,0.0040219580688093245
170,305994,1319,0.004292041013559465
171,305960,1353,0.0044026774005655476
172,305844,1469,0.004780142720939238
173,305724,1589,0.005170624086843056
174,305809,1504,0.004894033119327851
175,305762,1551,0.0050469716543068465
176,305991,1322,0.004301803047707061
177,305340,1973,0.006420164457735273
178,305802,1511,0.004916811199005574
179,305995,1318,0.004288787002176934
180,305910,1403,0.004565377969692138
181,306200,1113,0.0036217146687579113
182,306533,780,0.0025381288783748166
183,306573,740,0.002407968423073544
184,306519,794,0.002583685037730262
185,306424,889,0.0028928161190707844
186,306396,917,0.0029839284377816753
187,306362,951,0.003094564824787757
188,306386,927,0.0030164685516069936
189,305974,1339,0.004357121241210102
190,306272,1041,0.0033874258492156205
191,306372,941,0.003062024710962439
192,306145,1168,0.0038006852947971613
193,305993,1320,0.0042952950249419974
194,306208,1105,0.003595682577697657
195,306150,1163,0.003784415237884502
196,306335,978,0.003182423132116116
197,306050,1263,0.004109816376137684
198,306281,1032,0.003358139746772834
199,306444,869,0.0028277358914201483
200,306167,1146,0.0037290970443814614
201,306245,1068,0.0034752841565439795
202,306273,1040,0.0033841718378330886
203,306102,1211,0.00394060778424603
204,306343,970,0.0031563910410558615
205,306105,1208,0.0039308457500984335
206,306311,1002,0.0032605194052968797
207,306136,1177,0.0038299713972399477
208,306170,1143,0.0037193350102338657
209,306343,970,0.0031563910410558615
210,305773,1540,0.005011177529098997
211,305901,1412,0.004594664072134924
212,305855,1458,0.004744348595731388
213,305844,1469,0.004780142720939238
214,306155,1158,0.003768145180971843
215,305806,1507,0.004903795153475447
216,306004,1309,0.004259500899734148
217,305828,1485,0.004832206903059747
218,305951,1362,0.0044319635030083335
219,306068,1245,0.004051244171252111
220,306243,1070,0.0034817921793090434
221,306146,1167,0.0037974312834146294
222,305917,1396,0.004542599890014415
223,305735,1578,0.005134829961635206
224,305919,1394,0.004536091867249351
225,305888,1425,0.0046369662201078375
226,306034,1279,0.004161880558258193
227,306114,1199,0.0039015596476556476
228,306222,1091,0.0035501264183422114
229,305810,1503,0.00489077910794532
230,305713,1600,0.0052064182120509055
231,306286,1027,0.003341869689860175
232,305964,1349,0.00438966135503542
233,305738,1575,0.005125067927487611
234,306080,1233,0.004012196034661729
235,306084,1229,0.0039991799891316016
236,306195,1118,0.0036379847256705704
237,305687,1626,0.005291022507996733
