component,q025,median,q975
1,4.469452377132458,4.656843793382048,4.805808791807426
2,2.8132700235274894,2.8630837097724324,2.9075903070876774
3,2.61433100219065,2.6796348694177548,2.72413566304896
4,2.485150082991302,2.540230955239209,2.6043212915504586
5,2.3223745306788373,2.37148366932695,2.4381591413273735
6,2.0761768287148037,2.1183111980163867,2.160794447384909
7,1.9924243535936952,2.0269182173451217,2.08405586262444
8,1.919893696035156,1.966336886098976,2.0114953498035795
9,1.868212280217806,1.9041140485171963,1.9381041474095857
10,1.7822609775704656,1.835602417814166,1.8876024117333354
11,1.703683161580693,1.753180914295104,1.7907982007185075
12,1.6160321150365553,1.661937471830207,1.7002152052823152
13,1.5725409950493525,1.6024169352620614,1.6268352766794039
14,1.538223814626828,1.562855367025407,1.6011116011354583
15,1.509371951462991,1.5338531235618298,1.5537850915200666
16,1.4609899195666272,1.4943885382535331,1.5205714303647913
17,1.3992794829340625,1.4278247264560897,1.465704903829224
18,1.342988843227866,1.3822933996557227,1.4030865724185633
19,1.2858018156038107,1.309032509579093,1.3319743612968888
20,1.2505187263486592,1.275765587070338,1.295977338132716
21,1.2058844576750265,1.2252931340912296,1.2516120871201266
22,1.1681028898081733,1.196902080701268,1.223378681479139
23,1.142361193283451,1.1692888815039715,1.1935698983345164
24,1.114959237715388,1.1370445975239005,1.154363244572746
25,1.0899251939704273,1.1086761140012626,1.12971658629311
26,1.0677474896350423,1.0870183787413588,1.1063298575581217
27,1.0471665414979279,1.0618694947198573,1.0798296988873757
28,1.0207649776698922,1.0446122082418943,1.057138876912313
29,1.0046837289000632,1.024539989566351,1.0423080685661397
30,0.9872788949716254,1.008843342296402,1.0201496368531795
