replicate,M1_R2,M1_RMSE,M2_R2,M2_RMSE,M3_R2,M3_RMSE,delta_R2_M3_M1
0,0.42681988380364044,0.6025792303463741,0.1520595861969839,0.7329110468001703,0.4195320863647972,0.6063979290839232,-0.007287797438843224
1,0.4768424325086533,0.6003541781595122,0.24009827022625185,0.7235524161698361,0.4866859786828629,0.5946793323978343,0.009843546174209572
2,0.4317501269688402,0.608171898147755,0.1879051910824422,0.7270429077815607,0.4417221221317126,0.6028119937549435,0.009971995162872394
3,0.42849617860419,0.6026526090467051,0.1042265538237721,0.7544953436735498,0.4138073563801663,0.6103481797896567,-0.014688822224023679
4,0.41874842482581853,0.6229013897359735,0.18494576712387678,0.7376162604741022,0.4205142578134524,0.6219544877916773,0.0017658329876338863
5,0.43242335846965996,0.6207720409544903,0.14711770242974753,0.7609645785135543,0.4271780641038516,0.6236338956163751,-0.0052452943658083395
6,0.39740935481078865,0.6465715898900546,0.21455043815688712,0.7381839124683118,0.4146456294449582,0.6372573570078135,0.017236274634169546
7,0.4299029389173815,0.6192796991941777,0.18679968207481157,0.7396243698789796,0.4400394274480808,0.6137495219704827,0.010136488530699261
8,0.47361665219920956,0.612947917247881,0.22893863381864188,0.7418514920178885,0.4832131649274768,0.6073348795318229,0.009596512728267226
9,0.45409596954773435,0.611633056522443,0.17190564960990173,0.7533082259964039,0.4536504878200912,0.6118825653839106,-0.00044548172764313776
10,0.45029195097464525,0.5877930145237278,0.25492602697818945,0.6843181658273199,0.46584814672790664,0.5794163449801294,0.015556195753261393
11,0.44165823305403984,0.61012407322692,0.14907511063180456,0.7532059049152676,0.439511160518255,0.6112960468902867,-0.002147072535784833
12,0.48206803092191286,0.595949104868262,0.15760527514207423,0.7600298192598123,0.47539436934336166,0.5997762801725349,-0.006673661578551204
13,0.4672567760972255,0.6112957537437169,0.23030432554441727,0.7347708774166603,0.4780818564445227,0.6050532653602985,0.010825080347297233
14,0.46205368652580436,0.6069558094576398,0.22331461542739595,0.7293066459739982,0.46614925752377867,0.6046409129554421,0.004095570997974307
15,0.40594057434417286,0.6063307374866846,0.1885406343122047,0.7086438592469927,0.42091116634596826,0.5986420712832705,0.014970592001795402
16,0.44240782677924684,0.6118221812040672,0.15228564851008375,0.7543825801092051,0.4447940158538821,0.6105116457053976,0.002386189074635281
17,0.5152086221210692,0.5698864889030505,0.20767608647498215,0.7285549260192513,0.507628296193612,0.5743246548836174,-0.0075803259274571655
18,0.4560594191737539,0.605997109093578,0.19377473692509783,0.7377734516887762,0.46204639179537943,0.6026528773516818,0.005986972621625508
19,0.46776710487856765,0.6206783315287577,0.21618170562577932,0.7532227441081387,0.4692939683117815,0.6197873947651795,0.001526863433213843
20,0.4765786490525038,0.6195203475424207,0.2285110800061917,0.7521331050143852,0.4830448642109614,0.6156817565099542,0.006466215158457578
21,0.42669125021525367,0.5983452287661275,0.2333542411267846,0.6919184576822142,0.44069084198341524,0.5909945997674597,0.013999591768161568
22,0.3679758654434414,0.6229385478136772,0.17040856174732655,0.7136914688832705,0.3850514317154211,0.6144658796188083,0.017075566271979703
23,0.438785542140654,0.61657653940765,0.22276215919397935,0.725603783968362,0.45066984256923515,0.6100132824671988,0.01188430042858113
24,0.46491550502632517,0.5889491215349706,0.17993313873275862,0.729106930177709,0.4612520369271428,0.5909618091752492,-0.0036634680991823876
25,0.407903635013241,0.6113005808547415,0.20934829289126056,0.7064008570888908,0.42567361761123057,0.6020575324777611,0.017769982597989564
26,0.4593376659521644,0.59981565815961,0.18188884919121673,0.7378377943850002,0.46167266305344024,0.5985190232803624,0.0023349971012758264
27,0.44017588741296154,0.6082137418487954,0.1972311317309361,0.72832579087722,0.44170765321648187,0.6073810882152391,0.001531765803520324
