component,observed_eigenvalue,null_mean,null_p95,retained
1,4.629182958982786,1.2061518324733167,1.2190810179860423,True
2,2.8372835118697215,1.1931243650387588,1.2050029134556302,True
3,2.655998609767395,1.1834111464421,1.1938909694218203,True
4,2.5387354913058253,1.174322906076611,1.1823955185316193,True
5,2.356131355103289,1.166208835597355,1.1737073370849005,True
6,2.086104792431327,1.159051376578322,1.1662157732190503,True
7,2.0013091331274677,1.1521335060664748,1.159170252183403,True
8,1.9515359126538179,1.1454811224204753,1.1515129871586647,True
9,1.8982838722075681,1.1393705547880666,1.145229955979787,True
10,1.820957100069275,1.1334512278275017,1.1394135560653582,True
11,1.7429139344055555,1.127675893869857,1.1330671097046028,True
12,1.6467117372369768,1.1220113024121439,1.128091424647694,True
13,1.5659606392287806,1.1163320893471669,1.1215405542683452,True
14,1.5614099882099004,1.1112012327828737,1.116903548298029,True
15,1.5298631046480586,1.105993886901211,1.1114837917896099,True
16,1.5067821914843575,1.1007028409511939,1.1059008246635558,True
17,1.4262069425149884,1.0960460811908836,1.10108942739798,True
18,1.3691529765900685,1.0911310522695077,1.0960074746804782,True
19,1.28186692071173,1.0864620984943278,1.0911346210876982,True
20,1.275417294076449,1.0817233676350417,1.0861422914880925,True
21,1.2030703960258902,1.0770047400852711,1.0818038053825092,True
22,1.191613697747907,1.0726326114758669,1.0764864805995202,True
23,1.1553234507018482,1.0685115560185274,1.0731012300370029,True
24,1.1278688104758157,1.0638110943100527,1.0676792394861205,True
25,1.0941490050341094,1.0592199232827981,1.0629866591907582,True
26,1.083576392609482,1.0548733288643581,1.0586643061727614,True
27,1.0434208121519004,1.0505142618456078,1.0542489472026846,False
28,1.0312736766953263,1.0462802305727092,1.050171873474748,False
29,1.0177886394077373,1.0419622727580746,1.0463550893544749,False
30,1.0069925860356845,1.0380336073120455,1.0420660907179264,False
