pc,domain,pearson,spearman,N
1,Agreeableness,0.07758319084325027,-0.011408086544263422,783
1,Conscientiousness,0.15892851068818842,0.14024257067402715,783
1,Extraversion,0.11062468668317929,0.08783636222491359,783
1,Emotional Stability,-0.14089718883197333,-0.13003870363931214,783
1,Openness,0.1855806229786499,0.14792966624211118,783
2,Agreeableness,0.010799024841151722,0.03338854303208379,783
2,Conscientiousness,-0.056126061833945584,-0.04598426220763989,783
2,Extraversion,0.05849321660854286,0.05248758870693166,783
2,Emotional Stability,0.1773340382012521,0.1711589518945487,783
2,Openness,0.053193510255176005,0.114320769359742,783
3,Agreeableness,0.11726751357997478,0.14122706892119083,783
3,Conscientiousness,-0.045535991930835254,-0.039207438322887846,783
3,Extraversion,0.17902662120140395,0.19851483316395663,783
3,Emotional Stability,0.05046336980668417,0.06831869770990352,783
3,Openness,0.0839614040241131,0.07117626133337714,783
4,Agreeableness,0.09466224288637647,0.115555118321411,783
4,Conscientiousness,0.2621349177085217,0.2574483397009586,783
4,Extraversion,0.15022424789396288,0.1506242608471773,783
4,Emotional Stability,0.2686210422002266,0.2587899981976801,783
4,Openness,0.13042888563463823,0.16701244987664146,783
5,Agreeableness,0.004453624735216661,-0.006560182834754234,783
5,Conscientiousness,-0.0025212499021010464,-0.02212295532040139,783
5,Extraversion,0.0007451499681979876,0.009217505438613686,783
5,Emotional Stability,-0.11907883548252499,-0.10414159937546243,783
5,Openness,0.04587007928796369,0.044431917083172526,783
6,Agreeableness,0.039987833542713985,0.018605555781817697,783
6,Conscientiousness,-0.10987676455565701,-0.10731406840953742,783
6,Extraversion,0.06749769582042367,0.09658810162951126,783
6,Emotional Stability,0.0645186008519277,0.05711282799540753,783
6,Openness,0.12034444159840127,0.12102257572889781,783
7,Agreeableness,0.10565243260538715,0.1273855252207425,783
7,Conscientiousness,0.05862349073056464,0.014674473446127378,783
7,Extraversion,0.1963369718488827,0.23900206905608595,783
7,Emotional Stability,0.092867715830552,0.11218162238316741,783
7,Openness,0.014226656819681273,0.0324236401339534,783
8,Agreeableness,0.027674856694495528,0.05390058355863949,783
8,Conscientiousness,0.1748993640994132,0.17840621313512336,783
8,Extraversion,-0.06030109571468811,-0.08622779769933207,783
8,Emotional Stability,-0.07021910155909156,-0.06153743664069516,783
8,Openness,-0.022887764209642055,-0.008743902631764312,783
9,Agreeableness,0.011741734010443816,0.05568105587862991,783
9,Conscientiousness,0.07636195886791462,0.11400456340721463,783
9,Extraversion,-0.0036673100832696377,0.02142744984403495,783
9,Emotional Stability,-0.007968068343142534,0.00043515659312983585,783
9,Openness,-0.05127287911751531,-0.07992212626936479,783
10,Agreeableness,-0.08382092666265628,-0.06644105709775824,783
10,Conscientiousness,0.07355261540801426,0.09402271947080683,783
10,Extraversion,0.05029342025890157,0.05947291683313447,783
10,Emotional Stability,0.1983114411729908,0.21373383005045274,783
10,Openness,0.08774724489023758,0.0932790061701532,783
11,Agreeableness,0.1375608088503137,0.15637004524679715,783
11,Conscientiousness,-0.046479461646254924,-0.02529307654136983,783
11,Extraversion,0.05605951340758721,0.09243891556268623,783
11,Emotional Stability,0.08465280291285843,0.10274985070239256,783
11,Openness,0.0008375093000924719,0.01244948293064987,783
12,Agreeableness,0.06838999813633474,0.09422923401137838,783
12,Conscientiousness,0.01470687716830197,0.007422147001671331,783
12,Extraversion,0.09924401707354222,0.12938660456886178,783
12,Emotional Stability,-0.0268715599269344,0.008029361571183285,783
12,Openness,0.04969954604136188,0.04295436449674714,783
