model_a,model_b,pc_a,pc_b,matched_role_count,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,sign_corrected_pearson_r,sign_corrected_spearman_r
qwen,llama,PC1,PC1,275,0.675842836108825,4.76149336827756e-38,0.5860673379302387,9.27577410383741e-27,0.675842836108825,0.5860673379302387,0.675842836108825,0.5860673379302387
qwen,llama,PC1,PC2,275,-0.6759988408381201,4.5146705690204004e-38,-0.7855866824384755,7.434563314200316e-59,0.6759988408381201,0.7855866824384755,0.6759988408381201,0.7855866824384755
qwen,llama,PC1,PC3,275,0.15121858706084648,0.012048911606455815,0.29229624073165805,8.086720902661343e-07,0.15121858706084648,0.29229624073165805,0.15121858706084648,0.29229624073165805
qwen,llama,PC2,PC1,275,0.6916005766860976,1.8558951832424035e-40,0.6824084706153891,4.924608311599615e-39,0.6916005766860976,0.6824084706153891,0.6916005766860976,0.6824084706153891
qwen,llama,PC2,PC2,275,0.605808866959668,6.160820989285998e-29,0.42971985805372037,8.73697617818474e-14,0.605808866959668,0.42971985805372037,0.605808866959668,0.42971985805372037
qwen,llama,PC2,PC3,275,-0.154054404536083,0.010516808174702559,-0.2971599203715992,5.187903643808153e-07,0.154054404536083,0.2971599203715992,0.154054404536083,0.2971599203715992
qwen,llama,PC3,PC1,275,-0.03133470552986224,0.604885695994027,-0.07315368858371081,0.22658151009352617,0.03133470552986224,0.07315368858371081,0.03133470552986224,0.07315368858371081
qwen,llama,PC3,PC2,275,0.16034788138106595,0.00771676595465032,0.060968235192291054,0.31375414818083464,0.16034788138106595,0.060968235192291054,0.16034788138106595,0.060968235192291054
qwen,llama,PC3,PC3,275,0.44043920658341235,1.774003391297359e-14,0.5578713828221921,6.783436101013769e-24,0.44043920658341235,0.5578713828221921,0.44043920658341235,0.5578713828221921
qwen,gemma,PC1,PC1,275,0.952594536876598,4.202573176473797e-143,0.950569804679611,1.1023146335319565e-140,0.952594536876598,0.950569804679611,0.952594536876598,0.950569804679611
qwen,gemma,PC1,PC2,275,-0.20383102498971126,0.000672558990802455,-0.13521421770866393,0.02493758720044812,0.20383102498971126,0.13521421770866393,0.20383102498971126,0.13521421770866393
