model,persona,expected_pc2_side,pc2,cluster,global_side,global_pass,cluster_side,cluster_pass,pc2_percentile,pc2_rank
qwen,patient,high,29.18821061876683,grounded_social,high,True,high,True,90.36363636363636,27
qwen,amateur,high,40.07045588184378,grounded_social,high,True,high,True,96.18181818181819,11
qwen,chameleon,high,15.880443897984275,grounded_social,high,True,low,False,79.0909090909091,58
qwen,caregiver,high,14.616833974783997,grounded_social,high,True,low,False,78.36363636363636,60
qwen,influencer,high,40.0025555563322,combative_iconoclast,high,True,high,True,95.81818181818181,12
qwen,blogger,high,20.848443683890974,grounded_social,high,True,high,True,84.9090909090909,42
qwen,podcaster,high,21.108976092354723,grounded_social,high,True,high,True,85.27272727272727,41
qwen,workaholic,high,19.360138423703397,combative_iconoclast,high,True,low,False,82.0,50
qwen,tree,low,-28.499335357493777,mythic_spiritual,low,True,low,True,9.636363636363637,249
qwen,hive,low,-32.680856318341775,procedural_professional,low,True,low,True,4.181818181818182,264
qwen,philosopher,low,-30.943900246516066,procedural_professional,low,True,low,True,6.0,259
qwen,healer,low,-11.560647961526072,procedural_professional,low,True,low,True,29.636363636363637,194
qwen,guardian,low,-6.861264614395859,procedural_professional,low,True,low,True,40.18181818181818,165
qwen,symbiont,low,-11.553818243534879,procedural_professional,low,True,low,True,30.0,193
qwen,traditionalist,low,-26.883152227715,procedural_professional,low,True,low,True,10.363636363636363,247
qwen,purist,low,-29.726927779493483,procedural_professional,low,True,low,True,7.090909090909091,256
qwen,shapeshifter,watch,-7.225543855038575,grounded_social,low,,low,,39.45454545454545,167
qwen,elder,watch,-4.929585179742385,mythic_spiritual,low,,high,,45.63636363636363,150
qwen,actor,watch,21.45684319608408,grounded_social,high,,high,,85.63636363636364,40
qwen,tulpa,watch,-0.9329387643496002,grounded_social,high,,low,,55.45454545454545,123
llama,patient,high,0.805765337598589,grounded_social,high,True,high,True,81.63636363636364,51
llama,amateur,high,1.2006206098097614,grounded_social,high,True,high,True,87.0909090909091,36
llama,chameleon,high,0.2265000873530963,grounded_social,high,True,low,False,66.72727272727273,92
llama,caregiver,high,-0.28550676912445583,grounded_social,high,True,low,False,50.36363636363637,137
llama,influencer,high,0.2934647282109348,combative_iconoclast,high,True,low,False,70.36363636363636,82
llama,blogger,high,-0.11694623501913681,grounded_social,high,True,low,False,55.81818181818182,122
llama,podcaster,high,-0.016548965323587343,grounded_social,high,True,low,False,58.0,116
llama,workaholic,high,1.572229545370005,combative_iconoclast,high,True,high,True,91.45454545454545,24
llama,tree,low,0.27191758825434115,mythic_spiritual,high,False,high,False,68.54545454545455,87
llama,hive,low,-0.9433784452092737,procedural_professional,low,True,low,True,13.636363636363637,238
llama,philosopher,low,-0.9689170673982378,procedural_professional,low,True,low,True,12.181818181818182,242
llama,healer,low,-0.8102843994461634,procedural_professional,low,True,low,True,22.0,215
llama,guardian,low,-0.6375316642131985,procedural_professional,low,True,high,False,36.54545454545455,175
llama,symbiont,low,-0.9054232512510132,procedural_professional,low,True,low,True,16.181818181818183,231
llama,traditionalist,low,0.0781224833856723,procedural_professional,high,False,high,False,61.27272727272727,107
llama,purist,low,0.16051699869069377,procedural_professional,high,False,high,False,64.54545454545455,98
llama,shapeshifter,watch,-0.07807619067608572,grounded_social,high,,low,,56.54545454545455,120
llama,elder,watch,0.45290029859668013,mythic_spiritual,high,,high,,73.63636363636364,73
llama,actor,watch,0.7291971371913002,grounded_social,high,,high,,79.45454545454545,57
llama,tulpa,watch,-0.24991807424377163,grounded_social,high,,low,,51.81818181818182,133
