diagnostic,subset,n,accuracy,balanced_accuracy,majority_accuracy_baseline,balanced_accuracy_chance,adjusted_accuracy_above_majority,converged,iterations,discovery_fitted_dense_standardization,K
full_696_item_response_mask,validation,4735,0.24329461457233367,0.24365671454735016,0.33917634635691657,0.25,-0.14509427932246727,True,62,False,4
full_696_item_response_mask,replication,4737,0.2436141017521638,0.24281668578901278,0.3409330800084442,0.25,-0.14766175528507375,True,62,False,4
answered_item_count_only,validation,4735,0.28215417106652585,0.2594301043609121,0.33917634635691657,0.25,-0.08628954937679773,True,3,True,4
answered_item_count_only,replication,4737,0.290268102174372,0.2646858044589116,0.3409330800084442,0.25,-0.07687379884689303,True,3,True,4
full_696_item_response_mask,validation,4735,0.20506863780359028,0.2028077972113515,0.26694825765575503,0.2,-0.08441371362719681,True,73,False,5
full_696_item_response_mask,replication,4737,0.1994933502216593,0.20024196969475563,0.268313278446274,0.2,-0.09405654933641083,True,73,False,5
answered_item_count_only,validation,4735,0.26610348468849,0.20954473453848185,0.26694825765575503,0.2,-0.0011524056467876584,True,3,True,5
answered_item_count_only,replication,4737,0.27063542326366896,0.21290217935500175,0.268313278446274,0.2,0.003173687247547578,True,3,True,5
full_696_item_response_mask,validation,4735,0.15163674762407603,0.15237074626442365,0.21858500527983105,0.16666666666666666,-0.08567567567567567,True,78,False,6
full_696_item_response_mask,replication,4737,0.17226092463584547,0.17466207449201068,0.22208148617268314,0.16666666666666666,-0.06404341926729988,True,78,False,6
answered_item_count_only,validation,4735,0.21562829989440338,0.17889390948956993,0.21858500527983105,0.16666666666666666,-0.0037837837837837833,True,3,True,6
answered_item_count_only,replication,4737,0.21595946801773275,0.17557817048871036,0.22208148617268314,0.16666666666666666,-0.00786974219810041,True,3,True,6
full_696_item_response_mask,validation,4735,0.1429778247096093,0.14188331124833584,0.2054910242872228,0.14285714285714285,-0.07868155236576287,True,88,False,7
full_696_item_response_mask,replication,4737,0.13911758496938992,0.14109984566083575,0.21173738653156005,0.14285714285714285,-0.09212640599892873,True,88,False,7
answered_item_count_only,validation,4735,0.1945089757127772,0.15282605991693562,0.2054910242872228,0.14285714285714285,-0.013822434875066427,True,3,True,7
answered_item_count_only,replication,4737,0.1959045809584125,0.14799874044557834,0.21173738653156005,0.14285714285714285,-0.02008569898232455,True,3,True,7
full_696_item_response_mask,validation,4735,0.11805702217529039,0.11798867925419945,0.18268215417106654,0.125,-0.07906976744186048,True,77,False,8
full_696_item_response_mask,replication,4737,0.11842938568714376,0.11977803537768297,0.17563858982478361,0.125,-0.06939820742637644,True,77,False,8
answered_item_count_only,validation,4735,0.17909186906019006,0.13591002104619487,0.18268215417106654,0.125,-0.004392764857881163,True,4,True,8
answered_item_count_only,replication,4737,0.17584969389909225,0.1394411020698577,0.17563858982478361,0.125,0.00025608194622278905,True,4,True,8
full_696_item_response_mask,validation,4735,0.10707497360084477,0.10766083335041092,0.1672650475184794,0.1111111111111111,-0.07227998985544001,True,96,False,9
full_696_item_response_mask,replication,4737,0.11251847160650201,0.11827185758495867,0.1830272324255858,0.1111111111111111,-0.0863049095607235,True,96,False,9
answered_item_count_only,validation,4735,0.14128827877507918,0.12065409227475538,0.1672650475184794,0.1111111111111111,-0.031194521937610957,True,4,True,9
answered_item_count_only,replication,4737,0.13890648089508129,0.114929879538692,0.1830272324255858,0.1111111111111111,-0.0540051679586563,True,4,True,9
full_696_item_response_mask,validation,4735,0.09376979936642027,0.09546114119436881,0.14762407602956706,0.1,-0.06318136769078297,True,81,False,10
full_696_item_response_mask,replication,4737,0.09943001899936668,0.10242116373665959,0.15410597424530292,0.1,-0.06463688545046169,True,81,False,10
answered_item_count_only,validation,4735,0.13643083421330518,0.1098068895728802,0.14762407602956706,0.1,-0.013131813676907834,True,4,True,10
answered_item_count_only,replication,4737,0.13468439940890858,0.10801826856470646,0.15410597424530292,0.1,-0.022959820314449708,True,4,True,10
