k,seed,converged,monotone,iterations,log_likelihood,mean_distance_to_best,per_class_distances
4,2026091704,True,True,194,-1866933.163423745,0.0,"[0.0, 0.0, 0.0, 0.0]"
4,2026091702,True,True,172,-1866933.2310526753,6.830970579652763e-05,"[6.430710802400185e-05, 0.00011207200591081782, 4.8442490261187504e-05, 4.841721899010332e-05]"
4,2026091705,True,True,132,-1866933.2762581692,0.00013474050611302307,"[0.00012641520272447103, 0.000226512693035718, 9.604250743548817e-05, 8.999162125641507e-05]"
4,2026091703,True,True,151,-1866938.9871289155,0.028330308972540894,"[0.02671375894965114, 0.042354241604832615, 0.023289497367607215, 0.020963737968072597]"
4,2026091701,False,False,238,-1866918.8199890398,,[]
4,2026091706,False,False,55,-1866929.4627707414,,[]
5,2026091801,True,True,147,-1854601.6505724099,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
5,2026091806,True,True,64,-1854652.502610127,0.02560488391004793,"[0.017926263444996076, 0.02453393034270994, 0.028660824357312327, 0.03589989548601791, 0.02100350591920342]"
5,2026091802,True,True,88,-1854873.2281016372,0.03238930947665846,"[0.014980239632302429, 0.06627358742511141, 0.028151109521674114, 0.01725474006843514, 0.03528687073576922]"
5,2026091804,True,True,206,-1855001.8139745204,0.03240993929677714,"[0.010716184807480118, 0.060830790719845984, 0.030168472368088842, 0.030687607538850352, 0.029646641049620448]"
5,2026091805,True,True,77,-1855729.3351735652,0.07639799547934205,"[0.030361579369844724, 0.16270933818721794, 0.062464242515146005, 0.02796460638215374, 0.09849021094234786]"
5,2026091803,False,False,141,-1855545.7971212808,,[]
6,2026091904,True,True,103,-1844078.2415562484,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,2026091906,True,True,91,-1844190.5331082665,0.01823724974251685,"[0.018699657828371442, 0.0282102923165374, 0.01982754481371963, 0.013712167511690236, 0.015494328187701738, 0.01347950779708066]"
6,2026091902,True,True,190,-1844279.485257318,0.04091461278250088,"[0.043250096111831476, 0.038546949406292524, 0.04505811582354466, 0.034538290411721656, 0.042786823385226255, 0.04130740155638867]"
6,2026091903,True,True,113,-1845666.78130912,0.11781700781853477,"[0.148222910936809, 0.1074497618223878, 0.13636984325202428, 0.06759325348317032, 0.12710572098730538, 0.12016055642951184]"
6,2026091901,False,True,250,-1844752.592729154,,[]
6,2026091905,False,True,250,-1845111.848184749,,[]
7,2026092001,True,True,148,-1835388.3225010212,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,2026092005,True,True,98,-1835998.104167544,0.06643910569415197,"[0.15536503865249213, 0.03192764086557899, 0.07044829259020183, 0.02787556251375649, 0.06683043819059914, 0.04917244717528266, 0.06345431987115249]"
7,2026092006,True,True,124,-1836100.6082815756,0.10311279313519749,"[0.08655726655245809, 0.13047975128028172, 0.05809413336374819, 0.07291546044808156, 0.10160801005879636, 0.17258230620080137, 0.09955262404221504]"
7,2026092004,True,True,185,-1836544.6707171048,0.11042839568710265,"[0.04529160007818541, 0.1146294544720809, 0.11371826083520604, 0.09445906610699797, 0.12784359946154106, 0.12771202169719342, 0.14934476715851386]"
7,2026092003,False,True,250,-1836427.4620820829,,[]
7,2026092002,False,True,250,-1836454.9009255902,,[]
8,2026092106,True,True,139,-1827245.6949685914,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,2026092105,True,True,106,-1827514.0532841193,0.05379089188899894,"[0.04909787452998007, 0.06877751032837559, 0.07476574301240466, 0.05267592824698816, 0.05199613818497366, 0.06135868003013114, 0.031183414088937128, 0.04047184669020111]"
8,2026092103,True,True,235,-1827614.5006248879,0.0657025065414567,"[0.040583056769717504, 0.07363653745643972, 0.08574044347833135, 0.06797895169360325, 0.05791012906206319, 0.08935110682332943, 0.04967879872394845, 0.06074102832422062]"
8,2026092101,True,True,126,-1828005.5566119608,0.08841040800172645,"[0.06841126485577867, 0.09581971583466943, 0.11745623241182584, 0.04126502158671676, 0.09620626676581953, 0.08198723346163071, 0.14971899226446533, 0.05641853683290537]"
8,2026092104,False,False,197,-1827819.790253066,,[]
8,2026092102,False,True,250,-1828254.5472764438,,[]
9,2026092202,True,True,147,-1820480.7376563337,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
