model,lower_K,higher_K,lower_profile_id,higher_profile_id,lower_size,higher_size,overlap_count,jaccard,share_of_lower,share_of_higher,adjacent_partition_ari,adjacent_partition_nmi
gemma,4,5,G04_D,G05_E,136,109,109,0.8014705882352942,0.8014705882352942,1.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_D,G05_C,136,53,0,0.0,0.0,0.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_D,G05_D,136,40,0,0.0,0.0,0.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_D,G05_A,136,4,0,0.0,0.0,0.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_D,G05_B,136,69,27,0.15168539325842698,0.19852941176470587,0.391304347826087,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_B,G05_E,4,109,0,0.0,0.0,0.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_B,G05_C,4,53,0,0.0,0.0,0.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_B,G05_D,4,40,0,0.0,0.0,0.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_B,G05_A,4,4,4,1.0,1.0,1.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_B,G05_B,4,69,0,0.0,0.0,0.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_A,G05_E,68,109,0,0.0,0.0,0.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_A,G05_C,68,53,52,0.7536231884057971,0.7647058823529411,0.9811320754716981,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_A,G05_D,68,40,0,0.0,0.0,0.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_A,G05_A,68,4,0,0.0,0.0,0.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_A,G05_B,68,69,16,0.1322314049586777,0.23529411764705882,0.2318840579710145,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_C,G05_E,67,109,0,0.0,0.0,0.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_C,G05_C,67,53,1,0.008403361344537815,0.014925373134328358,0.018867924528301886,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_C,G05_D,67,40,40,0.5970149253731343,0.5970149253731343,1.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_C,G05_A,67,4,0,0.0,0.0,0.0,0.6076632374730908,0.6567334929717716
gemma,4,5,G04_C,G05_B,67,69,26,0.23636363636363636,0.3880597014925373,0.37681159420289856,0.6076632374730908,0.6567334929717716
gemma,5,6,G05_E,G06_B,109,59,0,0.0,0.0,0.0,0.8540986291645161,0.818296034680403
gemma,5,6,G05_E,G06_E,109,49,0,0.0,0.0,0.0,0.8540986291645161,0.818296034680403
