model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank
gemma,4,G04_A,R016,0.9996049353931601,1
gemma,4,G04_A,R027,0.999591485349836,2
gemma,4,G04_A,R212,0.9995757219188393,3
gemma,4,G04_A,R077,0.999574626372118,4
gemma,4,G04_A,R228,0.9995742533637357,5
gemma,4,G04_A,R108,0.9994596675069211,6
gemma,4,G04_A,R090,0.9994386963610404,7
gemma,4,G04_A,R160,0.9994165916591166,8
gemma,4,G04_A,R149,0.9993896318315627,9
gemma,4,G04_A,R100,0.9993849669409287,10
gemma,4,G04_A,R192,0.999360293826994,11
gemma,4,G04_A,R041,0.9993258131517229,12
gemma,4,G04_A,R264,0.9993178408544329,13
gemma,4,G04_A,R220,0.9993057310773902,14
gemma,4,G04_A,R112,0.9993013375100873,15
gemma,4,G04_A,R147,0.9992618990227619,16
gemma,4,G04_A,R072,0.9992372133747517,17
gemma,4,G04_A,R017,0.9991958418926418,18
gemma,4,G04_A,R156,0.9991879368249991,19
gemma,4,G04_A,R205,0.9991624944102304,20
gemma,4,G04_A,R078,0.9991602255881179,21
gemma,4,G04_A,R073,0.9991542052625189,22
gemma,4,G04_A,R136,0.9991185675471909,23
gemma,4,G04_A,R174,0.9990830777718431,24
gemma,4,G04_A,R272,0.9990760817185449,25
gemma,4,G04_A,R116,0.9990647690158166,26
gemma,4,G04_A,R028,0.9990461232098445,27
gemma,4,G04_A,R171,0.9990318810757497,28
gemma,4,G04_A,R275,0.9990068885867938,29
gemma,4,G04_A,R269,0.998997476624046,30
gemma,4,G04_A,R101,0.9989853240724995,31
gemma,4,G04_A,R260,0.9989750328922126,32
gemma,4,G04_A,R268,0.9988743194876393,33
gemma,4,G04_A,R087,0.9988700537134138,34
gemma,4,G04_A,R085,0.9988679272194245,35
gemma,4,G04_A,R238,0.9988586538787425,36
gemma,4,G04_A,R092,0.9988576021423825,37
gemma,4,G04_A,R210,0.998856562837922,38
gemma,4,G04_A,R219,0.998824208694772,39
gemma,4,G04_A,R022,0.9988130074755373,40
gemma,4,G04_A,R098,0.9988098121838702,41
gemma,4,G04_A,R197,0.9988038784692532,42
gemma,4,G04_A,R255,0.9988013286600232,43
gemma,4,G04_A,R081,0.9987871112921786,44
gemma,4,G04_A,R075,0.9987812596436514,45
gemma,4,G04_A,R114,0.9987154540821708,46
gemma,4,G04_A,R023,0.9987098895473077,47
gemma,4,G04_A,R265,0.9986654002643786,48
gemma,4,G04_A,R221,0.9985945197342428,49
gemma,4,G04_A,R247,0.9985362326553698,50
gemma,4,G04_A,R250,0.9984181139972889,51
gemma,4,G04_A,R266,0.9984156539669158,52
gemma,4,G04_A,R063,0.9984082442965059,53
gemma,4,G04_A,R183,0.9983635356040111,54
gemma,4,G04_A,R146,0.9983615034903268,55
gemma,4,G04_A,R001,0.9983145491595041,56
gemma,4,G04_A,R052,0.998301661969382,57
gemma,4,G04_A,R009,0.9982930752987982,58
gemma,4,G04_A,R079,0.9982760861939568,59
gemma,4,G04_A,R165,0.998256855059096,60
gemma,4,G04_A,R013,0.9982088218444514,61
gemma,4,G04_A,R130,0.998170324007007,62
gemma,4,G04_A,R263,0.9981101404029794,63
gemma,4,G04_A,R185,0.9979539122012625,64
gemma,4,G04_A,R057,0.9979209382266633,65
gemma,4,G04_A,R231,0.997917423617974,66
gemma,4,G04_A,R180,0.9976221056883295,67
gemma,4,G04_A,R274,0.9971302626923129,68
gemma,4,G04_B,R246,0.998285160403428,1
gemma,4,G04_B,R093,0.9980053668420202,2
gemma,4,G04_B,R121,0.9964838115108424,3
gemma,4,G04_B,R036,0.9960406028279424,4
gemma,4,G04_C,R031,0.9994647725534984,1
gemma,4,G04_C,R005,0.9993500269801925,2
gemma,4,G04_C,R162,0.999322157004014,3
gemma,4,G04_C,R204,0.9992736960924062,4
gemma,4,G04_C,R088,0.999232857370573,5
gemma,4,G04_C,R037,0.9992240911738064,6
gemma,4,G04_C,R237,0.9992232467247204,7
gemma,4,G04_C,R120,0.9992190035506089,8
gemma,4,G04_C,R104,0.9991664184360975,9
gemma,4,G04_C,R091,0.9991377679598804,10
gemma,4,G04_C,R070,0.9991266189334038,11
gemma,4,G04_C,R166,0.9991239701683114,12
gemma,4,G04_C,R138,0.9990792303348428,13
gemma,4,G04_C,R133,0.9990686369598776,14
gemma,4,G04_C,R050,0.9990487460861504,15
gemma,4,G04_C,R155,0.999031985726545,16
gemma,4,G04_C,R178,0.9989795771859897,17
gemma,4,G04_C,R167,0.9989754791591431,18
