model,K,profile_id,native_dimension,centroid_l2_norm,member_count,centroid_float64_le_sha256
gemma,4,G04_A,4608,1.0,68,e4a52b2cd63c6b47c0ab906765bdafafc831b62c689872bde93ede2c703af760
gemma,4,G04_B,4608,0.9999999999999999,4,3ea4dc86232bbf4564de18b2cf5c4fa18b9686c386f54594eaf1776134f280ad
gemma,4,G04_C,4608,1.0,67,b704302a1c54a67cbfb9ee9cd6ced1b10db75480ad874ebb2806a49dda7a7cb3
gemma,4,G04_D,4608,1.0,136,29de59eb26bea1b2184a10973fd22432c568df2685ec1cd6b8b6f6ed5a005c3d
gemma,5,G05_A,4608,0.9999999999999999,4,3ea4dc86232bbf4564de18b2cf5c4fa18b9686c386f54594eaf1776134f280ad
gemma,5,G05_B,4608,1.0,69,ff5e6b818ee207a9c2333680571f21648cec2d5adeada832dc7c90d7627bd1ae
gemma,5,G05_C,4608,0.9999999999999999,53,f524209948d5dba484f061c1a6da34375a468ed26b76fbd0b83acd342a244851
gemma,5,G05_D,4608,1.0,40,1c212ea1a79a1ee4cb3db43f6b7455555c0b070102af68d3628f12d18f8256b0
gemma,5,G05_E,4608,0.9999999999999999,109,328d9cab0b4ac5a7108f3d122ca3172bef7a661f198ca45ff9d7821b1e1a4225
gemma,6,G06_A,4608,0.9999999999999999,4,3ea4dc86232bbf4564de18b2cf5c4fa18b9686c386f54594eaf1776134f280ad
gemma,6,G06_B,4608,0.9999999999999998,59,9365507b3137cfe5978b702561cbb427f6ab6a6fc170c86d87727811757ba14e
gemma,6,G06_C,4608,1.0,22,1e574ce53929641d0317d7145df1a121b7373cb1dfb34d650fd9c352d83d9567
gemma,6,G06_D,4608,0.9999999999999999,29,54a9120cab907a77f724cb0b5f9a5074d0e5818abd54894d49909964201a453a
gemma,6,G06_E,4608,0.9999999999999999,49,5c04460b252b279f187ca5e88729c0fe89cd7dc38d1912d53decaff29a6f46d7
gemma,6,G06_F,4608,1.0,112,c70d53aae870fad4807002bfeb4bba3ff87e366b8537060f403a943068672d4e
gemma,7,G07_A,4608,0.9999999999999999,98,4084df797008b26a57a69da1ae2153903dbaf21b9dbcb52aee2da70435b2b66c
gemma,7,G07_B,4608,0.9999999999999999,4,3ea4dc86232bbf4564de18b2cf5c4fa18b9686c386f54594eaf1776134f280ad
gemma,7,G07_C,4608,1.0,54,34ee16474ae755351e93e8c2f293f174d3eaadb4e6714ad78c0d46e734e63734
gemma,7,G07_D,4608,1.0,26,6aa671fe1b256d273a3b3f9476fd05d91483c59d61a5a278c38069ba94b46571
gemma,7,G07_E,4608,1.0,23,ee04ff902d2b6bb0e2330e63f224b7d0da3ba0e5addd51772ad1729d61052254
gemma,7,G07_F,4608,1.0,21,142d87382ab17f5f9dfb6a7576a927de4115257a88b5a3e051b00c91f05f86f2
gemma,7,G07_G,4608,1.0000000000000002,49,06f0509b5c6192d6265b06941e90e64d0d2fd978914c6a544cef5fe9914e9d35
gemma,8,G08_A,4608,1.0,10,d2e95de47a94dd947ffc2c24c9f46b723fa0074e8fef6ff3cbc1ebaec7ee4059
gemma,8,G08_B,4608,0.9999999999999999,4,3ea4dc86232bbf4564de18b2cf5c4fa18b9686c386f54594eaf1776134f280ad
gemma,8,G08_C,4608,0.9999999999999999,32,7cc827c8f84c4ad4a3d626209a9ea64b23297ae68ef82520df8d40c35fd017df
gemma,8,G08_D,4608,1.0,109,5c12edcef077edd4f55d28ac39d6dbc2156cedf9ba178ea38326e5fe246081e6
gemma,8,G08_E,4608,0.9999999999999999,17,b70f597b6c6357be52504b7601ad9e4c47019b4ece63daad42834835f555df3e
gemma,8,G08_F,4608,0.9999999999999999,23,ac0624ba639c988c85979fa87fd14c7103620e14059637947a37b4a6790126bb
gemma,8,G08_G,4608,1.0,35,6fa466ce86483ba11fe1b34a8bdbe2473f44dcc4226db31c28163bef717bbccd
gemma,8,G08_H,4608,1.0,45,ff5910c2fa0bd763da2cca36d342b552e1e3c46633bef380f183ac28751c4dba
gemma,9,G09_A,4608,0.9999999999999999,3,29a15d6448f4073a6becd2c10c148ad4e3d1ddfb66de61107873af394c5d1a50
gemma,9,G09_B,4608,1.0,16,3543aab8ecd92a8fecbe971855ceedae0ca9b92c039eb5e6d5be830523807a9d
gemma,9,G09_C,4608,1.0,41,1e0c50c597a54208d27530635d902f0fda67fedcf4be3ce20231bbc960aae010
gemma,9,G09_D,4608,1.0,1,ebaa8405959e81590a1323864354784f3b5170a7ceeeb00ffe3bfedaea0e4210
gemma,9,G09_E,4608,1.0,106,443938e52417c150f9f0e79299d316576407890279ccaabbff5acb2aab7d93c5
gemma,9,G09_F,4608,1.0,48,78d98966a4820bf188ba8dc630434b7a2c8ab1b3687c54c151568b8a222b0c7c
gemma,9,G09_G,4608,1.0,22,5f5c9e74094fb5c5741c83ebd1d7ec89f3373619b759c0639fef34d544d8dd4a
gemma,9,G09_H,4608,0.9999999999999999,19,88fede89f059b9d81ea0c74601cc33c489612dc44d8000c5ba48f9505c677e69
gemma,9,G09_I,4608,0.9999999999999999,19,98a8c0f3143c457017a1d42b1ebcc60a7540cb6be0e1288f1347fea450042120
gemma,10,G10_A,4608,1.0,90,1e6195134a08f728bc30a1570e7db53f6a19299a250a184aa9a5bab5f663cb02
gemma,10,G10_B,4608,0.9999999999999998,40,f553a07a19cf642eb15af064ee6d2505fcdf2f984bc605ee58246c6dd1c4fa64
gemma,10,G10_C,4608,1.0000000000000002,2,a07c201ba0b5bc475a603bce9c34b3cc16f27c8e6e0424ca9fe9cd308f393b60
gemma,10,G10_D,4608,1.0,1,ebaa8405959e81590a1323864354784f3b5170a7ceeeb00ffe3bfedaea0e4210
gemma,10,G10_E,4608,1.0,52,5ca4d6827b8f0196e059c560f7c3bb03f7456e09b28706953c22c520cce2323d
gemma,10,G10_F,4608,1.0,13,61e665d8c8d0922e65444ffba66a841fd04568015d1f92940702cd39909925b7
gemma,10,G10_G,4608,0.9999999999999999,22,9b8969fee5bc1286427966155af612521ca7231a1ff0309c34e53dcd4c9cb361
gemma,10,G10_H,4608,1.0,26,7125b69a345578ba1b6f19a291ff757499884bb54478f077917610e60e3ab9a1
gemma,10,G10_I,4608,1.0,7,2327ed8ad342aa22b7a71620bd16fa84f4931c2f42fb0fd2d465a4878c873e88
gemma,10,G10_J,4608,1.0,22,6dbf874cea03eb431372ef5cd83711cfc07a75e9c9355cbab7ea55aab32d1c67
