model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank
llama,4,L04_A,R016,0.989220537013739,1
llama,4,L04_A,R027,0.9867919667227303,2
llama,4,L04_A,R212,0.986456924648865,3
llama,4,L04_A,R090,0.984398763662159,4
llama,4,L04_A,R077,0.9840958221068824,5
llama,4,L04_A,R228,0.983469766264615,6
llama,4,L04_A,R108,0.9814234095603598,7
llama,4,L04_A,R160,0.981042029291666,8
llama,4,L04_A,R149,0.9809502246988246,9
llama,4,L04_A,R100,0.980386815644809,10
llama,4,L04_A,R192,0.9801982871120992,11
llama,4,L04_A,R264,0.9793875505253868,12
llama,4,L04_A,R017,0.9783026783295385,13
llama,4,L04_A,R073,0.9780063259923906,14
llama,4,L04_A,R072,0.9778443250999314,15
llama,4,L04_A,R220,0.9746648698319225,16
llama,4,L04_A,R041,0.9737099028818316,17
llama,4,L04_A,R205,0.9722524732205139,18
llama,4,L04_A,R238,0.9716488788849776,19
llama,4,L04_A,R272,0.9714784356020931,20
llama,4,L04_A,R268,0.9712834635605205,21
llama,4,L04_A,R116,0.9710625491306754,22
llama,4,L04_A,R112,0.9709958707258817,23
llama,4,L04_A,R009,0.9699457376509222,24
llama,4,L04_A,R147,0.9685563215210166,25
llama,4,L04_A,R028,0.9679878668521888,26
llama,4,L04_A,R101,0.9676824980131278,27
llama,4,L04_A,R174,0.9669863277652502,28
llama,4,L04_A,R001,0.9664959368251658,29
llama,4,L04_A,R092,0.9659799140138141,30
llama,4,L04_A,R098,0.9648819962988618,31
llama,4,L04_A,R269,0.9637839361331066,32
llama,4,L04_A,R266,0.9636681368504876,33
llama,4,L04_A,R210,0.9618367272963353,34
llama,4,L04_A,R251,0.9614760146246464,35
llama,4,L04_A,R221,0.9582406511315188,36
llama,4,L04_A,R087,0.9578527744760738,37
llama,4,L04_A,R231,0.9575185544385891,38
llama,4,L04_A,R136,0.9567535530684165,39
llama,4,L04_A,R197,0.9526875927821742,40
llama,4,L04_A,R180,0.9522151208021056,41
llama,4,L04_A,R265,0.951778234746,42
