model,K,seed,objective,iterations,ari_to_retained,nmi_to_retained,retained_start
llama,4,2036492,266.444742085986,8,0.611116608763698,0.6103985987540851,False
llama,4,2036493,265.8705335708735,20,0.4775536419632182,0.5228439137951558,False
llama,4,2036494,266.6387916689224,4,0.855305554311462,0.7929498095593117,False
llama,4,2036495,265.93403734907474,5,0.5385171003449024,0.6026851963786881,False
llama,4,2036496,266.2547754792881,10,0.7659792540528738,0.6793177426119805,False
llama,4,2036497,266.47591404379966,12,0.6460783147831632,0.6481210445505371,False
llama,4,2036498,265.20036282133606,11,0.46093748139590507,0.4639987446079299,False
llama,4,2036499,266.1515111464646,8,0.8224808011890178,0.7818674813721742,False
llama,4,2036500,266.23943325036805,10,0.7529069424262355,0.6815220037525039,False
llama,4,2036501,266.17682674781867,12,0.7654918015937029,0.6950932403181032,False
llama,4,2036502,266.42509018954365,7,0.714286678982651,0.6602618463543979,False
llama,4,2036503,266.56665604049226,13,0.9191537835139861,0.8770885578380527,False
llama,4,2036504,266.5471935073623,8,0.8884923831623933,0.8476587376918042,False
llama,4,2036505,266.09622076381606,9,0.9428031425070034,0.8922996315911106,False
llama,4,2036506,266.19466722327354,6,0.7943718824193053,0.7532968186948832,False
llama,4,2036507,266.5645689582958,7,0.9598871342411085,0.9280897383780342,False
llama,4,2036508,266.64071467902954,7,0.8398153214647978,0.819426525272933,False
llama,4,2036509,265.8635523595524,5,0.5057717420590657,0.6124170793492808,False
llama,4,2036510,266.20309273862824,9,0.7431998135619732,0.6800652683947319,False
llama,4,2036511,266.56179463020464,10,0.8596149135878001,0.8077613279207196,False
llama,4,2036512,266.3739378547304,7,0.8228896862329691,0.7557580890601951,False
llama,4,2036513,266.36047448788037,5,0.6994473046614059,0.6692013671898573,False
llama,4,2036514,266.2163200863172,8,0.7370346507436482,0.7039708225788828,False
llama,4,2036515,266.6410124203016,6,0.8554225626942834,0.8378632577508147,False
llama,4,2036516,266.63841958220775,15,0.8189254273298655,0.7657863324069123,False
llama,4,2036517,266.4075108755581,15,0.6957282031695871,0.645397146427245,False
llama,4,2036518,266.640088872234,11,0.824590328558071,0.8024644267855547,False
llama,4,2036519,266.4355473995049,25,0.5330058861736325,0.5917628560921225,False
llama,4,2036520,266.3625865931066,7,0.7013221529174367,0.6740649167252282,False
llama,4,2036521,266.6410076933628,6,0.8453560711693429,0.8304677482324143,False
llama,4,2036522,266.5471935073623,6,0.8884923831623933,0.8476587376918042,False
llama,4,2036523,266.4925470797876,11,0.8037105210827088,0.7547208429411691,False
llama,4,2036524,266.645623457195,7,0.9347219167185875,0.9130550990934003,False
llama,4,2036525,266.55663547778386,8,0.8074943311685484,0.7609970448328681,False
llama,4,2036526,265.4333762940292,8,0.5155711362227394,0.5381335809834722,False
llama,4,2036527,266.6497589442041,10,0.950086075703946,0.9285821777571972,False
llama,4,2036528,266.1803751656007,6,0.9253089918642818,0.8660559758379637,False
llama,4,2036529,266.63841958220775,17,0.8189254273298655,0.7657863324069123,False
llama,4,2036530,265.50857828599123,19,0.43893714223833374,0.4585280233040845,False
llama,4,2036531,265.8260477950656,4,0.5226550724051113,0.6028239707195316,False
llama,4,2036532,266.640088872234,10,0.824590328558071,0.8024644267855547,False
llama,4,2036533,265.54956481344846,9,0.4977916100423593,0.5308677552658624,False
llama,4,2036534,266.640088872234,8,0.824590328558071,0.8024644267855547,False
llama,4,2036535,266.5640644958505,11,0.930928298866315,0.8876114837652155,False
llama,4,2036536,266.5598640290537,9,0.8309843174451695,0.7835239373042844,False
llama,4,2036537,266.4415409833995,11,0.6141012741780186,0.621517962824697,False
llama,4,2036538,266.640088872234,8,0.824590328558071,0.8024644267855547,False
llama,4,2036539,266.26448779155857,4,0.9028841612758451,0.8481345778404472,False
llama,4,2036540,266.6406793557619,8,0.8617550729504003,0.8207698295304126,False
llama,4,2036541,266.30694444182313,16,0.8436052309909089,0.7657771551288036,False
llama,4,2036542,265.89073873947723,10,0.4708676556463537,0.5492348788082508,False
llama,4,2036543,265.4548503733122,8,0.4007019451573096,0.47455010829104044,False
llama,4,2036544,266.48629177811796,12,0.7281671162937009,0.7029052008320658,False
llama,4,2036545,266.45488533786795,5,0.5985021730104823,0.6279731007942073,False
llama,4,2036546,266.1716416324317,7,0.7619849856692419,0.6755487655685133,False
llama,4,2036547,266.640088872234,9,0.824590328558071,0.8024644267855547,False
llama,4,2036548,266.6406793557619,10,0.8617550729504003,0.8207698295304128,False
llama,4,2036549,266.4308336357389,16,0.5411196577620562,0.5945475286011871,False
llama,4,2036550,266.57512346971464,14,0.8817159746183022,0.8416962292264379,False
llama,4,2036551,266.3100547753637,5,0.7850851604587988,0.72907329832905,False
llama,4,2036552,266.5640644958505,11,0.930928298866315,0.8876114837652155,False
llama,4,2036553,266.640088872234,7,0.824590328558071,0.8024644267855547,False
llama,4,2036554,266.1994771336413,10,0.7149669732419487,0.658794801414818,False
llama,4,2036555,266.64071467902954,7,0.8398153214647978,0.819426525272933,False
llama,4,2036556,266.64619098811056,7,0.8595707946920645,0.8373302698056835,False
llama,4,2036557,266.55611461193376,7,0.8911837625938117,0.8522304784356806,False
llama,4,2036558,265.3192360348206,8,0.5277186042381826,0.5842374203266695,False
llama,4,2036559,266.5684800663286,12,0.8424390724452246,0.8197887069011401,False
llama,4,2036560,266.6472051952561,9,0.8999150773222724,0.8712901585026676,False
llama,4,2036561,266.5574282803702,10,0.8427097870981939,0.7806581941642026,False
llama,4,2036562,266.40714513476576,11,0.7426904187427578,0.6643650314841402,False
llama,4,2036563,266.63841958220775,10,0.8189254273298655,0.7657863324069123,False
llama,4,2036564,265.3383906544897,11,0.5163672258127083,0.5642650484434047,False
llama,4,2036565,266.6510194183163,7,1.0,1.0,True
llama,4,2036566,266.5569615410798,12,0.8186585244045724,0.7685154634782947,False
llama,4,2036567,266.64656171734043,10,0.9138622885951675,0.8926060968316822,False
llama,4,2036568,266.6369176673484,10,0.7990699705079671,0.7494852254659979,False
llama,4,2036569,266.64071467902954,8,0.8398153214647978,0.8194265252729332,False
llama,4,2036570,265.89869771930205,13,0.4382298255773945,0.47412968745306244,False
llama,4,2036571,266.6464688262754,9,0.9310321205860966,0.9200282986146121,False
llama,4,2036572,266.6416031442858,6,0.9014689468576064,0.8853065978204924,False
llama,4,2036573,265.37983124802827,3,0.40058715451112276,0.47615127622956555,False
llama,4,2036574,266.6504781969435,9,0.8933422646530892,0.882323561299987,False
llama,4,2036575,266.63841958220775,6,0.8189254273298655,0.7657863324069123,False
