model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
llama,4,1,3036492,20,5066200,0.8495739757081452,0.8408650664979065
llama,4,2,3036493,20,5066301,0.8174955632751778,0.8005344261718891
llama,4,3,3036494,20,5066398,0.8149306036483546,0.7955826781247569
llama,4,4,3036495,20,5066495,0.720998568492735,0.7259474468656799
llama,4,5,3036496,20,5066598,0.8793473391067865,0.8446349262503142
llama,4,6,3036497,20,5066704,0.8794145200144019,0.8689212183692651
llama,4,7,3036498,20,5066797,0.8263432015883857,0.7612105068246618
llama,4,8,3036499,20,5066894,0.8054096226361974,0.7889281793280871
llama,4,9,3036500,20,5066999,0.9118852327415465,0.8936932957911726
llama,4,10,3036501,20,5067095,0.9696679642551636,0.9480906583153837
llama,4,11,3036502,20,5067195,0.8054096226361974,0.7889281793280871
llama,4,12,3036503,20,5067311,0.9313911854995502,0.9009138249643548
llama,4,13,3036504,20,5067392,0.8054096226361974,0.7889281793280873
llama,4,14,3036505,20,5067504,0.8336339271851353,0.7757714583463321
llama,4,15,3036506,20,5067598,0.8600769852656422,0.8418371180627947
llama,4,16,3036507,20,5067710,0.9881435911849006,0.9805134774090457
llama,4,17,3036508,20,5067799,0.9585815364113972,0.9291694910844341
llama,4,18,3036509,20,5067904,0.8002933369700764,0.7800041641449879
llama,4,19,3036510,20,5067994,0.8054096226361974,0.7889281793280872
llama,4,20,3036511,20,5068097,0.94270299722596,0.9230400984769299
llama,4,21,3036512,20,5068205,0.9700054776536038,0.9479617900164004
llama,4,22,3036513,20,5068305,0.7350957249381432,0.7362406329194467
llama,4,23,3036514,20,5068397,0.9059500346229679,0.8889863325000629
llama,4,24,3036515,20,5068496,0.9430803885878205,0.903535544078804
llama,4,25,3036516,20,5068593,0.9696679642551636,0.9480906583153835
llama,4,26,3036517,20,5068703,0.9006081411748124,0.8848091007321053
llama,4,27,3036518,20,5068800,0.8327961498761342,0.7711249846130436
llama,4,28,3036519,20,5068902,0.9268656137509446,0.9087518191922397
llama,4,29,3036520,20,5068997,0.8882391219178138,0.8514646757878792
llama,4,30,3036521,20,5069092,0.9496819897026713,0.9292037383849645
llama,4,31,3036522,20,5069210,0.8854565474804215,0.8496317514972099
llama,4,32,3036523,20,5069304,0.8903936498533166,0.8769202933037002
llama,4,33,3036524,20,5069404,0.8862696279855705,0.8645794147788444
llama,4,34,3036525,20,5069501,0.9039745594640803,0.8574384738053928
llama,4,35,3036526,20,5069601,0.8234259964754888,0.7666691135301906
llama,4,36,3036527,20,5069710,0.7960935106372495,0.7450277433496494
llama,4,37,3036528,20,5069806,0.9355803291385085,0.9036697220106412
llama,4,38,3036529,20,5069907,0.8283757753903566,0.827159912921857
llama,4,39,3036530,20,5070002,0.8314016485040036,0.8078658952264648
llama,4,40,3036531,20,5070095,0.9500950773122481,0.9145262205404369
llama,4,41,3036532,20,5070208,0.824590328558071,0.8024644267855547
llama,4,42,3036533,20,5070311,0.7809482883273936,0.7601674918249752
llama,4,43,3036534,20,5070409,0.9728420827279716,0.9483966131799512
llama,4,44,3036535,20,5070494,0.7761288683625605,0.7620756311249196
llama,4,45,3036536,20,5070594,0.950086075703946,0.9285821777571972
llama,4,46,3036537,20,5070707,0.8923616315994597,0.8747634918688251
llama,4,47,3036538,20,5070809,0.8641468480147458,0.8368372510307028
llama,4,48,3036539,20,5070909,0.9531068081257186,0.9415588381063438
llama,4,49,3036540,20,5071007,0.9547082166545314,0.916298928277013
llama,4,50,3036541,20,5071095,0.8463094057246728,0.8286079016850872
llama,5,1,3036592,20,5076208,0.6418749758534281,0.6112404675014773
llama,5,2,3036593,20,5076305,0.6651714848842054,0.6287575601226043
llama,5,3,3036594,20,5076402,0.7313947224916376,0.7053101986139542
llama,5,4,3036595,20,5076506,0.6049631832682278,0.6729437713337957
llama,5,5,3036596,20,5076611,0.5740089975321973,0.5866224389966913
llama,5,6,3036597,20,5076704,0.7226800991869242,0.7287565580179794
llama,5,7,3036598,20,5076795,0.7006354068817326,0.7256712357535504
llama,5,8,3036599,20,5076897,0.5756018922064876,0.5907710245852994
llama,5,9,3036600,20,5077007,0.8255603079222724,0.7994771582261219
llama,5,10,3036601,20,5077101,0.7646030595615186,0.7657486785220521
llama,5,11,3036602,20,5077195,0.7183132761883559,0.739625579961683
llama,5,12,3036603,20,5077298,0.7994971761985338,0.7889085720077466
llama,5,13,3036604,20,5077400,0.8306842894025158,0.8002695376692135
llama,5,14,3036605,20,5077506,0.6212858484658026,0.6644881249630039
llama,5,15,3036606,20,5077609,0.7662317650945042,0.7292603732183081
llama,5,16,3036607,20,5077709,0.6952654497602752,0.7516330297754182
llama,5,17,3036608,20,5077810,0.7051618801528382,0.7129146094678334
llama,5,18,3036609,20,5077909,0.701238310039713,0.6930823073700688
