model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
qwen,4,1,3026492,20,4066208,0.9416227291474756,0.9078572874391936
qwen,4,2,3026493,20,4066310,0.9267657040708377,0.8665631561946171
qwen,4,3,3026494,20,4066406,0.9414402772146454,0.9162857995663203
qwen,4,4,3026495,20,4066503,0.5771327061655248,0.6320872738182356
qwen,4,5,3026496,20,4066607,0.9688013950757544,0.9499268843531488
qwen,4,6,3026497,20,4066705,0.9073967254061069,0.8463065288929635
qwen,4,7,3026498,20,4066807,0.6167332605507928,0.631406350773166
qwen,4,8,3026499,20,4066907,0.6096662902616733,0.6368228492831314
qwen,4,9,3026500,20,4067007,0.982223180362835,0.969979277000188
qwen,4,10,3026501,20,4067093,0.5711090811841782,0.6128359506242131
qwen,4,11,3026502,20,4067201,0.6652007073501445,0.6518020693664517
qwen,4,12,3026503,20,4067301,0.6345779801371806,0.657510981330142
qwen,4,13,3026504,20,4067393,0.9449943862063639,0.8934012486049075
qwen,4,14,3026505,20,4067511,0.8996082735071419,0.8395567804604378
qwen,4,15,3026506,20,4067610,0.6574924422780297,0.6817220497499803
qwen,4,16,3026507,20,4067698,0.5835504413111184,0.6209246457946174
qwen,4,17,3026508,20,4067802,0.9839005842340113,0.9629043922280863
qwen,4,18,3026509,20,4067894,0.6670460129622952,0.678448663375606
qwen,4,19,3026510,20,4068004,0.5703084983404014,0.615894913989771
qwen,4,20,3026511,20,4068106,0.9107434162164211,0.8537278334405367
qwen,4,21,3026512,20,4068210,0.5851649347989933,0.6388187519190132
qwen,4,22,3026513,20,4068308,0.6927887458409687,0.6895583648451772
qwen,4,23,3026514,20,4068396,0.5672686556840695,0.6099096784043326
qwen,4,24,3026515,20,4068500,0.8941280650148219,0.8327078633625281
qwen,4,25,3026516,20,4068596,0.6294026991860825,0.6382488518886968
qwen,4,26,3026517,20,4068693,0.920861974364756,0.8699730868522725
qwen,4,27,3026518,20,4068795,0.6574924422780297,0.6817220497499803
qwen,4,28,3026519,20,4068900,0.9150112456862839,0.8552714635904407
qwen,4,29,3026520,20,4068997,0.9195771021432588,0.8632002666520896
qwen,4,30,3026521,20,4069100,0.9504581875110517,0.9000857541014301
qwen,4,31,3026522,20,4069193,0.9447588950683732,0.9032196654802475
qwen,4,32,3026523,20,4069307,0.9657150096481979,0.9445646718321544
qwen,4,33,3026524,20,4069404,0.78312943467201,0.7799318470259756
qwen,4,34,3026525,20,4069508,0.874874168251941,0.8287232464952627
qwen,4,35,3026526,20,4069606,0.5790510516690835,0.6265582105976492
