model,component,explained_variance_ratio,cumulative_explained_variance,eigenvalue,eigengap_to_next,relative_eigengap_to_next,parallel_pointwise_pass,parallel_sequential_retain,bootstrap_evaluated,bootstrap_median_loading_cosine,bootstrap_loading_cosine_q05,bootstrap_same_nominal_frequency,individual_axis_stable,moderate_axis_reproducibility,best_adjacent_subspace,best_adjacent_subspace_min_cc_median,best_adjacent_subspace_min_cc_q05,adjacent_subspace_stable,max_absolute_trait_pearson,trait_coherence_descriptive,best_llama_component,best_llama_abs_pearson,best_llama_permutation_p,best_gemma_component,best_gemma_abs_pearson,best_gemma_permutation_p,cross_model_recurrence_any,cross_model_recurrence_both,retention_status,status_is_evidence_summary_not_significance_label
Qwen/Qwen3-32B,1,0.3159544226021735,0.3159544226021735,904.784259910587,441.91786116969655,0.48842346264220815,True,True,True,0.9942528359196254,0.980896033707425,1.0,True,True,PC1-PC2,0.98752523083611,0.9635039778982687,True,nan,False,,nan,nan,,nan,nan,False,False,CORE,True
Qwen/Qwen3-32B,2,0.16163486947770037,0.4775892920798739,462.8663987408905,214.00443649815114,0.462346018376567,True,True,True,0.9842733197483127,0.9573871427745246,1.0,True,True,PC1-PC2,0.98752523083611,0.9635039778982687,True,nan,False,,nan,nan,,nan,nan,False,False,CORE,True
Qwen/Qwen3-32B,3,0.0869036311438695,0.5644929232237433,248.86196224273934,119.41974052287051,0.4798633726370316,True,True,True,0.9786107147167444,0.9376475057632945,1.0,True,True,PC2-PC3,0.9798978481205038,0.9465744087166583,True,nan,False,,nan,nan,,nan,nan,False,False,CORE,True
Qwen/Qwen3-32B,4,0.04520176160876771,0.6096946848325111,129.44222171986883,25.92652711032835,0.2002942066803906,True,True,True,0.8706625409468514,0.6846774926565619,0.918,False,True,PC3-PC4,0.8707463534621851,0.5954245828402456,False,0.6209599323596315,True,3,0.6898457253082484,0.000999000999000999,4,0.628242434213033,0.000999000999000999,True,True,SUPPORTED LATER COMPONENT,True
Qwen/Qwen3-32B,5,0.03614811062678344,0.6458427954592946,103.51569460954047,22.656449835667303,0.21886970783635337,True,True,True,0.8301102361532025,0.5750141135288659,0.804,False,True,PC4-PC5,0.873461542189151,0.35549877563964105,False,0.5664826242036204,True,5,0.6882928519226665,0.000999000999000999,5,0.6511572662495112,0.000999000999000999,True,True,SUPPORTED LATER COMPONENT,True
Qwen/Qwen3-32B,6,0.028236384215063172,0.6740791796743577,80.85924477387317,8.233545568445209,0.10182565508088433,True,True,True,0.7917564342137611,0.5938160575694663,0.698,False,True,PC6-PC7,0.7461082987854017,0.20331698044683588,False,0.5607565553004129,True,6,0.5051376797520113,0.000999000999000999,8,0.5695016863668106,0.000999000999000999,True,True,SUPPORTED LATER COMPONENT,True
Qwen/Qwen3-32B,7,0.025361195895248823,0.6994403755696066,72.62569920542796,11.387050539027875,0.1567909247499103,True,True,True,0.7335247516874388,0.5369815933531088,0.666,False,False,PC6-PC7,0.7461082987854017,0.20331698044683588,False,0.2788216983239347,False,8,0.7233468942516125,0.000999000999000999,6,0.5392033316416561,0.000999000999000999,True,True,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,8,0.021384790538069128,0.7208251661076757,61.23864866640009,5.500022490732043,0.08981293040435344,True,True,True,0.7673403862964239,0.5643262168921572,0.616,False,True,PC7-PC8,0.6246270783675638,0.10819177329610079,False,0.3559253105781979,False,9,0.5621241947862522,0.000999000999000999,7,0.5528053546866487,0.000999000999000999,True,True,EXPLORATORY,True
Qwen/Qwen3-32B,9,0.01946415983376185,0.7402893259414375,55.738626175668045,9.878660527111322,0.1772318624427044,True,True,True,0.7197145462672219,0.5396843523327668,0.568,False,False,PC9-PC10,0.6631283236164132,0.11710659955421149,False,0.3168922094748989,False,7,0.6446009599063073,0.000999000999000999,6,0.5937300132468099,0.000999000999000999,True,True,NOISE-LIKE / UNSTABLE,True
Qwen/Qwen3-32B,10,0.01601449053554176,0.7563038164769792,45.859965648556724,12.039095403455512,0.2625186310804487,True,True,True,0.7705649081622924,0.5607683472965694,0.732,False,True,PC9-PC10,0.6631283236164132,0.11710659955421149,False,0.37029845179926774,False,11,0.4731761046257445,0.000999000999000999,9,0.5644644006844324,0.000999000999000999,True,True,EXPLORATORY,True
Qwen/Qwen3-32B,11,0.011810388402700534,0.7681142048796797,33.82087024510121,1.5944078545785558,0.04714272113709132,True,True,True,0.6706405986778659,0.4330709371775742,0.398,False,False,PC10-PC11,0.38089453963509223,0.030901700251048086,False,0.25180875708641115,False,14,0.6534142341302444,0.000999000999000999,15,0.5861286072947084,0.000999000999000999,True,True,NOISE-LIKE / UNSTABLE,True
