model_a,model_b,top_k,canonical_correlations_json,mean_canonical_correlation,minimum_canonical_correlation,rms_canonical_correlation,maximum_principal_angle_degrees,procrustes_similarity,normalized_procrustes_residual
Qwen/Qwen3-32B,Llama-3.3-70B,3,"[0.9774248770457324,0.9251824632069554,0.4636933842093909]",0.7887669081540262,0.4636933842093909,0.82185431293166,62.37430715017515,0.7887669081540262,0.45960101375646883
Qwen/Qwen3-32B,Llama-3.3-70B,4,"[0.9780622464988425,0.9389597287723117,0.9191666130912421,0.7976065626761606]",0.9084487877596392,0.7976065626761606,0.9109465711182299,37.09785006775302,0.9084487877596392,0.3025743086257668
Qwen/Qwen3-32B,Llama-3.3-70B,5,"[0.9824602642821454,0.9522352574622777,0.9193903043212129,0.8616303778909882,0.7405844694378001]",0.8912601346788849,0.7405844694378001,0.895335797631758,42.21877277776366,0.8912601346788849,0.3297572824383339
Qwen/Qwen3-32B,Llama-3.3-70B,6,"[0.9825734553500893,0.9622862272683897,0.9558628369821588,0.8941956315038511,0.86703518116254,0.6669673202778544]",0.8881534420908138,0.6669673202778544,0.894548338601235,48.16656958325234,0.8881534420908138,0.33443468407027727
Qwen/Qwen3-32B,Llama-3.3-70B,8,"[0.9828214544986308,0.967189803529225,0.9631851232115434,0.9531878766043964,0.943322300389163,0.847476787605101,0.7830168895469402,0.261632181073065]",0.8377290520572581,0.261632181073065,0.8679953594767311,74.833067942207,0.8377290520572581,0.40282868311819836
Qwen/Qwen3-32B,Llama-3.3-70B,10,"[0.9845450369822581,0.9760418879507562,0.9657336767427359,0.9592908975419342,0.9489545105015744,0.9235546248104229,0.8957445477729534,0.8207440396280654,0.7903952500571397,0.38458885990518793]",0.8649593331893028,0.38458885990518793,0.8818700233775245,67.3817814422131,0.8649593331893028,0.36747879777028924
Qwen/Qwen3-32B,Gemma-2-27B,3,"[0.9854163957216145,0.9589956856717704,0.8166381459730294]",0.9203500757888049,0.8166381459730294,0.9233302153170543,35.25033844396219,0.9203500757888049,0.2822231815623853
Qwen/Qwen3-32B,Gemma-2-27B,4,"[0.9868806351399914,0.9604161469555621,0.8960546218779869,0.6650149493388803]",0.8770915883281051,0.6650149493388803,0.8862126341319525,48.31652772405184,0.8770915883281051,0.35058295975688114
Qwen/Qwen3-32B,Gemma-2-27B,5,"[0.9869493330406405,0.9640083098544403,0.9563376458895395,0.8649575701130471,0.7809638911506831]",0.9106433500096701,0.7809638911506831,0.913894840534775,38.651086720382516,0.9106433500096701,0.29892582690415004
Qwen/Qwen3-32B,Gemma-2-27B,6,"[0.9874188409348084,0.9741044418550414,0.9572815166012222,0.8980111226460641,0.7942650276751003,0.2936904471306743]",0.8174618994738186,0.2936904471306743,0.8528186914013128,72.92097254328296,0.8174618994738186,0.4272447782316144
Qwen/Qwen3-32B,Gemma-2-27B,8,"[0.9898936124486284,0.9780890378792607,0.9746269864534712,0.9575869178190598,0.9359500501226187,0.8926030091547927,0.8287223118546685,0.24089657078365231]",0.8497960620645191,0.24089657078365231,0.8818285302530154,76.06053727436247,0.8497960620645191,0.3875615279352182
Qwen/Qwen3-32B,Gemma-2-27B,10,"[0.9907179762925408,0.9812305989323409,0.9789635309524405,0.9647075146472881,0.9537295248134885,0.9323002270678445,0.9113429763160219,0.8847792486854354,0.7095271706547317,0.5444104970391138]",0.8851709265401245,0.5444104970391138,0.8958427002014603,57.01561173569316,0.8851709265401245,0.3388643880077626
Llama-3.3-70B,Gemma-2-27B,3,"[0.9719958251266435,0.9634685992112282,0.10345912771474652]",0.6796411840175395,0.10345912771474652,0.792412227912797,84.06160242881353,0.6796411840175395,0.5660024876115479
Llama-3.3-70B,Gemma-2-27B,4,"[0.97701234896885,0.9691350421159372,0.9565137945545347,0.8256073766163091]",0.9320671405639077,0.8256073766163091,0.9341201795528062,34.349881613743925,0.9320671405639077,0.2606393282605146
Llama-3.3-70B,Gemma-2-27B,5,"[0.9784666026704167,0.9733887566970854,0.9699867925555757,0.9396148644982205,0.821022073036244]",0.9364958178915085,0.821022073036244,0.9383720242991773,34.81276155897558,0.9364958178915085,0.25200036132611303
Llama-3.3-70B,Gemma-2-27B,6,"[0.9801259643236809,0.9738602366378053,0.9701931706739284,0.9508227257649214,0.9284832455437145,0.7070103624077152]",0.9184159508919608,0.7070103624077152,0.9234296671021488,45.00781213342097,0.9184159508919608,0.28562921613175213
Llama-3.3-70B,Gemma-2-27B,8,"[0.9815848463349767,0.9791126612812329,0.9732165224191915,0.9656761085410985,0.9538868872329367,0.8636680087183737,0.8529333122076664,0.7245816861858793]",0.9118325041151695,0.7245816861858793,0.9158457592643859,43.565939826749684,0.9118325041151695,0.29693011953123
Llama-3.3-70B,Gemma-2-27B,10,"[0.9838466046255765,0.9814521616777999,0.9797732109068743,0.9704631323911235,0.9628566500851276,0.9516569871522397,0.9366745003203911,0.8464237390962858,0.7182424267914634,0.30507230649753264]",0.8636461719544414,0.30507230649753264,0.8870419513493427,72.23748590991067,0.8636461719544414,0.3692611921737222
