model,block_type,start_component,end_component,bootstrap_replicates,median_min_canonical_correlation,min_canonical_correlation_q05,min_canonical_correlation_q95,median_mean_canonical_correlation,mean_canonical_correlation_q05,mean_canonical_correlation_q95,median_subspace_overlap,subspace_overlap_q05,subspace_overlap_q95,median_max_principal_angle_degrees,max_principal_angle_degrees_q05,max_principal_angle_degrees_q95,component_swap_frequency,block_escape_frequency,subspace_stable
Qwen/Qwen3-32B,adjacent_pair,1,2,500,0.98752523083611,0.9635039778982687,0.9943031049652935,0.9920360429914776,0.9805525830092052,0.9959625341316792,0.9841645901623137,0.9617702146159265,0.991944909452269,9.059540969107669,6.118753363515913,15.527092496476962,0.0,0.0,True
Qwen/Qwen3-32B,adjacent_pair,2,3,500,0.9798978481205038,0.9465744087166583,0.9896046650477676,0.9850218876767002,0.9671909646785526,0.9916080954511707,0.9703042623139118,0.9355863552794528,0.9832877635251802,11.507714671497189,8.268633769639196,18.813302848036933,0.0,0.0,True
Qwen/Qwen3-32B,adjacent_pair,3,4,500,0.8707463534621851,0.5954245828402456,0.9652661452312165,0.9290175178528499,0.7893063486305755,0.9762181949939415,0.8663921618386083,0.6606179219437383,0.9530747289767487,29.454509616067146,15.14530607314864,53.45562713446274,0.0,0.082,False
Qwen/Qwen3-32B,adjacent_pair,4,5,500,0.873461542189151,0.35549877563964105,0.9566996252924441,0.9144147666830169,0.6406690487893157,0.9660435774163247,0.8392118126733091,0.49406782205570443,0.9335424146181519,29.13657460490571,16.922446162045652,69.17587258520273,0.066,0.132,False
Qwen/Qwen3-32B,adjacent_pair,5,6,500,0.7332214334722326,0.13510020059632163,0.9059664241070547,0.8211180199353342,0.49455183031353633,0.928101588327316,0.6814749257589008,0.35041356366876425,0.8630670327323394,42.8428487105991,25.04618054260622,82.23548687507991,0.068,0.288,False
Qwen/Qwen3-32B,adjacent_pair,6,7,500,0.7461082987854017,0.20331698044683588,0.9031589639359346,0.824947444364277,0.5311828105008378,0.9245657018628023,0.6857770426144811,0.3900081106648383,0.8557722678078962,41.74561672596295,25.423495833332193,78.26900289657326,0.16,0.254,False
Qwen/Qwen3-32B,adjacent_pair,7,8,500,0.6246270783675638,0.10819177329610079,0.8659868626675956,0.7565201079457905,0.4206650367050667,0.9018994978956139,0.5911035177445843,0.2521275472455825,0.814892000966684,51.345078666821394,30.004320004962768,83.78891015041118,0.076,0.444,False
Qwen/Qwen3-32B,adjacent_pair,8,9,500,0.672292488409606,0.10360965590231302,0.8723830928742616,0.7779864157455385,0.4714631031539877,0.9000122773691207,0.6182857861458538,0.3253863849419657,0.810513474435863,47.755752144393625,29.26322237522817,84.0529297665109,0.218,0.288,False
Qwen/Qwen3-32B,adjacent_pair,9,10,500,0.6631283236164132,0.11710659955421149,0.8492859887500794,0.7648564788319827,0.4554294428552786,0.8832159722224473,0.5973242873847315,0.30252774164062596,0.7822067054983829,48.46109448116565,31.865905499758576,83.2748545467624,0.132,0.37,False
Qwen/Qwen3-32B,adjacent_pair,10,11,500,0.38089453963509223,0.030901700251048086,0.8042559085390628,0.5955546769905122,0.308187127639734,0.852119223626936,0.42721326943948446,0.12857886179905645,0.7284785720877753,67.61071741616627,36.461535735288344,88.22918108642189,0.022,0.65,False
