model,construction,domain,sensitivity_type,omitted,omitted_polarity,direction_cosine_to_full,role_score_pearson_to_full,role_score_spearman_to_full
qwen,human_anchored_strict,openness,leave_one_trait_out,creative,positive,0.9991406978206864,0.9993286306885542,0.9991967917832724
qwen,human_anchored_strict,openness,leave_one_trait_out,introspective,positive,0.9972514433281832,0.999158225226522,0.9988055739880558
qwen,human_anchored_strict,openness,leave_one_trait_out,artistic,positive,0.9972748937271889,0.9955384875506705,0.9955223449987017
qwen,human_anchored_strict,openness,leave_one_trait_out,emotional,positive,0.9970525499326883,0.9954143381089846,0.9946556648682957
qwen,human_anchored_strict,openness,leave_one_trait_out,curious,positive,0.9979220989143535,0.9996197749876795,0.9994495254031911
qwen,human_anchored_strict,openness,leave_one_trait_out,innovative,positive,0.9981860372660019,0.9991394057354667,0.9987778771529962
qwen,human_anchored_strict,openness,leave_one_trait_out,secular,positive,0.9932450628616016,0.9930371315617431,0.9926574536222268
qwen,human_anchored_strict,openness,leave_one_trait_out,traditional,negative,0.867944444885288,0.9372360357397845,0.9443899483569431
qwen,human_anchored_strict,openness,leave_one_facet_out,O1,mixed,0.9955383822381673,0.9977845653153682,0.9974870892357406
qwen,human_anchored_strict,openness,leave_one_facet_out,O2,mixed,0.9972748937271889,0.9955384875506705,0.9955223449987017
qwen,human_anchored_strict,openness,leave_one_facet_out,O3,mixed,0.9970525499326883,0.9954143381089846,0.9946556648682957
qwen,human_anchored_strict,openness,leave_one_facet_out,O5,mixed,0.9961926014177338,0.9983915052716283,0.9978886933441042
qwen,human_anchored_strict,openness,leave_one_facet_out,O6,mixed,0.8227059718803036,0.891099056525062,0.8962482328842216
qwen,human_anchored_strict,openness,positive_only_vs_bipolar,all_negative_traits,negative,0.867944444885288,0.9372360357397845,0.9443899483569431
qwen,human_anchored_strict,conscientiousness,leave_one_trait_out,meticulous,positive,0.9985133116745819,0.99976316541582,0.9996514814921671
qwen,human_anchored_strict,conscientiousness,leave_one_trait_out,perfectionist,positive,0.9970544966994451,0.9988433821447791,0.998582268255388
qwen,human_anchored_strict,conscientiousness,leave_one_trait_out,conscientious,positive,0.993767957849152,0.9976802295797199,0.9977259744381293
qwen,human_anchored_strict,conscientiousness,leave_one_trait_out,impulsive,negative,0.9399759582409208,0.9831823507654037,0.9843760999394131
qwen,human_anchored_strict,conscientiousness,leave_one_facet_out,C2,mixed,0.9985133116745819,0.99976316541582,0.9996514814921671
qwen,human_anchored_strict,conscientiousness,leave_one_facet_out,C4,mixed,0.9970544966994451,0.9988433821447791,0.998582268255388
qwen,human_anchored_strict,conscientiousness,leave_one_facet_out,C5,mixed,0.993767957849152,0.9976802295797199,0.9977259744381293
qwen,human_anchored_strict,conscientiousness,leave_one_facet_out,C6,mixed,0.9399759582409208,0.9831823507654037,0.9843760999394131
qwen,human_anchored_strict,conscientiousness,positive_only_vs_bipolar,all_negative_traits,negative,0.9399759582409208,0.9831823507654037,0.9843760999394131
qwen,human_anchored_strict,extraversion,leave_one_trait_out,extroverted,positive,0.9989923548990839,0.9996217622308649,0.9995476183606935
qwen,human_anchored_strict,extraversion,leave_one_trait_out,gregarious,positive,0.9974795629875589,0.9989050744202078,0.9984737889847379
qwen,human_anchored_strict,extraversion,leave_one_trait_out,reserved,negative,0.9049631934652479,0.975315977938542,0.9774455439831512
qwen,human_anchored_strict,extraversion,leave_one_trait_out,assertive,positive,0.9966382149724835,0.9989438642268514,0.9986215054383891
