group,count,mean_delta_pc2,median_delta_pc2,mae_pc2,top_prompt_ids
neutral_controls,5,45.273165615962135,46.14088145034728,45.273165615962135,peb_007;peb_038;peb_003;peb_028;peb_029
cluster_region_probes_without_role_names,13,35.76878684121418,33.43531343426255,35.76878684121418,peb_030;peb_025;peb_024;peb_022;peb_032
tail::interior_control,20,34.96662891045582,33.79062520931016,34.96662891045582,peb_030;peb_025;peb_024;peb_028;peb_022
manual_holdout_prompts,5,32.444123476095854,32.554121199042726,32.444123476095854,peb_035;peb_012;peb_027;peb_019;peb_034
mixed_boundary_prompts,17,30.538933819935682,34.14593698435777,30.538933819935682,peb_001;peb_037;peb_040;peb_004;peb_006
pc3_lower_tail,8,30.355360171867,29.04190325159437,30.355360171867,peb_074;peb_068;peb_072;peb_070;peb_073
tail::pc3_lower_tail,8,30.355360171867,29.04190325159437,30.355360171867,peb_074;peb_068;peb_072;peb_070;peb_073
tail::pc2_lower_tail,34,27.67342448403269,26.528931862004146,27.67342448403269,peb_001;peb_083;peb_007;peb_003;peb_004
tail::pc1_upper_tail,11,26.706078931756934,26.251162262461886,26.706078931756934,peb_055;peb_075;peb_076;peb_052;peb_058
tail::pc3_upper_tail,16,26.38439588895396,23.933476876068287,26.38439588895396,peb_085;peb_082;peb_087;peb_011;peb_012
tail::shoulder_edge,58,26.247909024339286,25.433112457860325,26.247909024339286,peb_083;peb_085;peb_038;peb_082;peb_037
pc1_lower_tail,17,24.420808900129913,18.025236355423104,24.420808900129913,peb_083;peb_085;peb_082;peb_091;peb_088
pc2_upper_tail,9,24.13463660253465,26.401034225967315,24.13463660253465,peb_087;peb_063;peb_064;peb_065;peb_066
pc1_upper_tail,23,23.96000479743862,25.154537193427778,23.96000479743862,peb_055;peb_080;peb_075;peb_076;peb_052
tail::pc2_upper_tail,8,21.518571416957133,21.900984352351625,21.518571416957133,peb_063;peb_064;peb_065;peb_066;peb_059
tail::pc1_lower_tail,12,18.290952164532236,17.404038003937146,18.290952164532236,peb_091;peb_050;peb_046;peb_078;peb_045
safety_adjacent_prompts,3,11.724596081185004,11.61402596546316,11.724596081185004,peb_016;peb_014;peb_021
