permutation_index,seed,global_max_fisher_z,global_max_back_transformed_r,global_maximizing_K,stable_K456_max_fisher_z,stable_K456_max_back_transformed_r,stable_K456_maximizing_K,MFamily_A_max_r,MFamily_B_max_r,MFamily_C_max_r,MFamily_D_max_r
1,2026091304,0.310010365911,0.300446527377,10,0.291104464244,0.283151044423,6,0.276843482381,0.225387620118,0.32299017315,0.437127313734
2,2026091304,0.185936502787,0.183822969929,10,0.154685630572,0.153463571391,6,0.180534200972,0.193870514969,0.167440441513,0.257803224842
3,2026091304,0.221962441145,0.218387706438,10,0.159596410696,0.158255047902,6,0.156089671659,0.353467069562,0.156290541041,0.31924761591
4,2026091304,0.230793164256,0.226780859646,10,0.219791511928,0.216319338389,6,0.239737187712,0.194216739224,0.382977358964,0.167166603667
5,2026091304,0.246232529333,0.241373929996,8,0.147816831755,0.146749568409,6,0.253803068006,0.428356765724,0.214319956098,0.159702804091
6,2026091304,0.203968655746,0.201186363726,10,0.176899905369,0.175077437679,6,0.255102398602,0.223381389452,0.195502619534,0.249672286905
7,2026091304,0.199353856456,0.196754269388,10,0.117395159392,0.116858817237,5,0.169130038161,0.321446141979,0.145263120648,0.205798011265
8,2026091304,0.273219001735,0.266617572851,8,0.250980377342,0.24584001014,5,0.270021443616,0.232695256052,0.240475391752,0.368163119778
9,2026091304,0.211872582417,0.208758173353,8,0.122678428366,0.12206667421,6,0.130844107198,0.203069921681,0.267519779052,0.286793745706
10,2026091304,0.208598399804,0.205624548863,8,0.111375350016,0.110917106246,6,0.318045727243,0.106843442633,0.262958940565,0.220955552134
11,2026091304,0.17599817678,0.174203211194,6,0.17599817678,0.174203211194,6,0.0804415761461,0.324687726527,0.192709703193,0.140454963042
12,2026091304,0.216006942953,0.212708926229,8,0.146782859812,0.145737710329,6,0.2845951415,0.137148712456,0.252655754873,0.250649991411
13,2026091304,0.173572137175,0.171849804039,10,0.132330801787,0.131563739935,6,0.15806772762,0.0841365260537,0.341037614195,0.1354816674
14,2026091304,0.336325491845,0.324193008835,6,0.336325491845,0.324193008835,6,0.40397987884,0.381182822101,0.348106840534,0.230094555837
15,2026091304,0.216887116623,0.213549118846,10,0.181080371932,0.179126776802,5,0.180255399512,0.196552665422,0.315370878179,0.259897689741
16,2026091304,0.23631308792,0.232010296684,10,0.133736053602,0.132944412055,6,0.168274620386,0.33950867291,0.207813001303,0.360525243538
17,2026091304,0.216620358281,0.213294511046,10,0.123347970149,0.122726185639,6,0.269179025266,0.131325503659,0.286809434401,0.248630840634
18,2026091304,0.240143534605,0.235631319382,10,0.160623978569,0.159256717444,6,0.327481240812,0.269544295805,0.205066933304,0.201156179091
19,2026091304,0.202258231864,0.199544607532,10,0.189538818914,0.187301242292,5,0.243622360715,0.135540622193,0.19724446443,0.33607004616
20,2026091304,0.2342810838,0.23008676867,10,0.174500327955,0.17275043924,6,0.186132382365,0.18422512522,0.274175290994,0.323221551822
21,2026091304,0.205564518575,0.202717139708,8,0.187121386189,0.184967565235,5,0.255235796041,0.175872012104,0.236518004708,0.20095511678
22,2026091304,0.202979553004,0.200237107274,10,0.134977108015,0.134163330066,5,0.295432159206,0.189279025009,0.17840172172,0.223574744754
23,2026091304,0.230865290455,0.226849275308,8,0.159965530088,0.158614901787,6,0.203928849784,0.207830971254,0.281937141825,0.241668720917
24,2026091304,0.226902859457,0.223087391588,10,0.132068072167,0.131305548989,6,0.261218323756,0.35692643565,0.182509190866,0.138996290899
