K,eligible_primary_K,human_profile_id,pearson_r,spearman_rho,is_best_eligible,family_specific_search_adjusted_p,secondary_status,excluded_from_primary_A_D_global
4,True,H04_A,0.548812290611,0.625448796413,False,,ADJUSTED EVIDENCE,True
4,True,H04_B,-0.446472482001,-0.399486149299,False,,ADJUSTED EVIDENCE,True
4,True,H04_C,0.394153760532,0.37076320057,False,,ADJUSTED EVIDENCE,True
4,True,H04_D,-0.459444523025,-0.464310418909,False,,ADJUSTED EVIDENCE,True
5,True,H05_A,-0.539661824222,-0.516749563836,False,,ADJUSTED EVIDENCE,True
5,True,H05_B,0.538222242017,0.615435291351,False,,ADJUSTED EVIDENCE,True
5,True,H05_C,0.379542797046,0.36720577114,False,,ADJUSTED EVIDENCE,True
5,True,H05_D,-0.489426031726,-0.512665107824,False,,ADJUSTED EVIDENCE,True
5,True,H05_E,0.0858441467612,0.0540202246744,False,,ADJUSTED EVIDENCE,True
6,True,H06_A,-0.555971836592,-0.525840772379,False,,ADJUSTED EVIDENCE,True
6,True,H06_B,0.514105909839,0.558779933766,False,,ADJUSTED EVIDENCE,True
6,True,H06_C,0.370328912223,0.369972660697,False,,ADJUSTED EVIDENCE,True
6,True,H06_D,-0.504638055932,-0.502388089472,False,,ADJUSTED EVIDENCE,True
6,True,H06_E,0.067663065006,0.0388682104364,False,,ADJUSTED EVIDENCE,True
6,True,H06_F,0.415056504588,0.403702361957,False,,ADJUSTED EVIDENCE,True
7,True,H07_A,-0.369858437555,-0.363384828419,False,,ADJUSTED EVIDENCE,True
7,True,H07_B,-0.515718846919,-0.493955664157,False,,ADJUSTED EVIDENCE,True
7,True,H07_C,0.521135491569,0.565894792626,False,,ADJUSTED EVIDENCE,True
7,True,H07_D,0.51290549247,0.501334036307,False,,ADJUSTED EVIDENCE,True
7,True,H07_E,-0.515351405632,-0.523337396114,False,,ADJUSTED EVIDENCE,True
7,True,H07_F,0.459185858416,0.438486116381,False,,ADJUSTED EVIDENCE,True
7,True,H07_G,0.148835438799,0.0893310056811,False,,ADJUSTED EVIDENCE,True
8,True,H08_A,-0.381412242918,-0.420962482524,False,,ADJUSTED EVIDENCE,True
8,True,H08_B,-0.484414825192,-0.449290161316,False,,ADJUSTED EVIDENCE,True
8,True,H08_C,-0.0724203421176,-0.0534931980922,False,,ADJUSTED EVIDENCE,True
8,True,H08_D,-0.0443852750841,-0.0192364702499,False,,ADJUSTED EVIDENCE,True
8,True,H08_E,0.470810227865,0.41160776069,False,,ADJUSTED EVIDENCE,True
8,True,H08_F,0.50189364208,0.499094173333,False,,ADJUSTED EVIDENCE,True
8,True,H08_G,-0.418702354913,-0.477090813527,False,,ADJUSTED EVIDENCE,True
8,True,H08_H,0.475856489623,0.431898284104,False,,ADJUSTED EVIDENCE,True
9,False,H09_A,-0.391925979678,-0.369709147406,False,,ADJUSTED EVIDENCE,True
9,False,H09_B,-0.495921073323,-0.472742844224,False,,ADJUSTED EVIDENCE,True
9,False,H09_C,0.371092869814,0.365492934748,False,,ADJUSTED EVIDENCE,True
9,False,H09_D,-0.0898866894113,-0.0703580487222,False,,ADJUSTED EVIDENCE,True
9,False,H09_E,-0.520121025728,-0.540597516681,False,,ADJUSTED EVIDENCE,True
9,False,H09_F,0.206054782309,0.189597812943,False,,ADJUSTED EVIDENCE,True
9,False,H09_G,0.589798040261,0.571560328384,False,,ADJUSTED EVIDENCE,True
9,False,H09_H,0.416737877615,0.4009354724,False,,ADJUSTED EVIDENCE,True
9,False,H09_I,0.253617373264,0.210020093002,False,,ADJUSTED EVIDENCE,True
10,True,H10_A,-0.617024389477,-0.631246088817,False,,ADJUSTED EVIDENCE,True
10,True,H10_B,0.271783052343,0.27313152622,False,,ADJUSTED EVIDENCE,True
10,True,H10_C,-0.319275038161,-0.320432161971,False,,ADJUSTED EVIDENCE,True
10,True,H10_D,0.310383293061,0.344807141397,False,,ADJUSTED EVIDENCE,True
10,True,H10_E,-0.479392345554,-0.465100958782,False,,ADJUSTED EVIDENCE,True
10,True,H10_F,-0.167341791646,-0.189861326234,False,,ADJUSTED EVIDENCE,True
10,True,H10_G,0.476355164205,0.427945584738,False,,ADJUSTED EVIDENCE,True
10,True,H10_H,0.0767935913369,0.0181824170855,False,,ADJUSTED EVIDENCE,True
10,True,H10_I,0.747646787414,0.73796897171,True,4.9997500125e-05,ADJUSTED EVIDENCE,True
10,True,H10_J,0.187425429978,0.145722849975,False,,ADJUSTED EVIDENCE,True
