K,model_family_id,best_human_profile_id,best_pearson_r,best_spearman_rho,family_specific_search_adjusted_p_over_all_K_profiles,passes_frozen_p05
4,MFamily_A,H04_B,0.301054155584,0.282090978117,0.000149992500375,True
4,MFamily_B,H04_C,0.1021922284,0.142297177191,0.0534973251337,False
4,MFamily_C,H04_A,0.173596901357,0.16601337339,0.00089995500225,True
4,MFamily_D,H04_C,0.508133854665,0.523403274437,4.9997500125e-05,True
5,MFamily_A,H05_A,0.51653907062,0.561678579968,0.000149992500375,True
5,MFamily_B,H05_E,0.332420691031,0.402253038856,0.0534973251337,False
5,MFamily_C,H05_B,0.181209805405,0.163378240479,0.00089995500225,True
5,MFamily_D,H05_C,0.463668698098,0.497447215264,4.9997500125e-05,True
6,MFamily_A,H06_A,0.623661914326,0.592377878381,0.000149992500375,True
6,MFamily_B,H06_E,0.290121850447,0.343621331587,0.0534973251337,False
6,MFamily_C,H06_E,0.171062654521,0.167594453136,0.00089995500225,True
6,MFamily_D,H06_F,0.623906459666,0.652656543718,4.9997500125e-05,True
7,MFamily_A,H07_B,0.540364636259,0.561151553386,0.000149992500375,True
7,MFamily_B,H07_G,0.288928962277,0.336901742664,0.0534973251337,False
7,MFamily_C,H07_D,0.321902048025,0.326361211021,0.00089995500225,True
7,MFamily_D,H07_F,0.557780013308,0.59283902664,4.9997500125e-05,True
8,MFamily_A,H08_B,0.367306849997,0.384597648353,0.000149992500375,True
8,MFamily_B,H08_H,0.361148009213,0.39974966259,0.0534973251337,False
8,MFamily_C,H08_H,0.530974186075,0.532692117948,0.00089995500225,True
8,MFamily_D,H08_F,0.574433217816,0.581112685186,4.9997500125e-05,True
10,MFamily_A,H10_C,0.519496033231,0.472742844224,0.000149992500375,True
10,MFamily_B,H10_J,0.39445674791,0.501334036307,0.0534973251337,False
10,MFamily_C,H10_I,0.555653425345,0.524127935987,0.00089995500225,True
10,MFamily_D,H10_I,0.754531714468,0.73487269054,4.9997500125e-05,True
