trait,cross_pair_pearson_r,mean_signed_residual,mean_absolute_residual,residual_sd,sign_consistency,bridge_level,support_tier
adventurous,0.3426055701634234,0.27882172866754235,0.6967469763238743,0.8217089986452896,0.7083333333333334,12,moderate_or_high
agreeable,0.8042178129481268,-0.35784308538371246,0.6233299879696458,0.7614114560259827,0.5833333333333334,45_only,redundant_broad_or_insufficient
altruistic,0.675181472811973,-0.3011641540992667,0.6429745656359415,0.8019199924605538,0.625,12,moderate_or_high
anxious,0.03530130103292302,0.5537755355026374,0.8995600893393291,0.8874123544032858,0.75,45_only,redundant_broad_or_insufficient
artistic,0.5900905564857986,0.2342453799882637,0.7417288555925303,0.808554664666353,0.75,45_only,redundant_broad_or_insufficient
assertive,-0.1768451251177887,0.22818041598636082,0.9079954775179443,1.081411234771614,0.5,45_only,redundant_broad_or_insufficient
bitter,0.7041765988191587,0.5185268619850708,0.8152617278284876,0.7594970294654124,0.75,45_only,redundant_broad_or_insufficient
callous,0.710000567227636,0.1553071497389,0.6328873929183333,0.7579479430481938,0.6666666666666666,45_only,redundant_broad_or_insufficient
calm,-0.0380755926475395,-0.5900768076340741,1.0704954900019907,0.9871781491676134,0.75,45_only,redundant_broad_or_insufficient
conscientious,0.28338831591784913,-0.5367014141527241,0.8636889081610576,0.8247910884841485,0.75,45_only,redundant_broad_or_insufficient
creative,0.5119764759142916,0.19752259847229584,0.6869791385351874,0.7564213326937536,0.625,45_only,redundant_broad_or_insufficient
curious,0.2582135098984335,0.0726782046848304,0.4595227534788779,0.5317064660282202,0.6666666666666666,45_only,redundant_broad_or_insufficient
cynical,0.9282553130605964,0.2908643661149333,0.5455744749770667,0.6741720152365277,0.6666666666666666,45_only,redundant_broad_or_insufficient
dominant,-0.6058879727317894,-0.04131245561168916,0.9265502533397774,1.2014820549048417,0.5833333333333334,45_only,redundant_broad_or_insufficient
dramatic,0.37592580512237234,0.2310822786662292,0.7877013942168958,0.860607644088776,0.5416666666666666,45_only,redundant_broad_or_insufficient
emotional,-0.17943139163060726,0.3633491499670584,0.9395657348016916,0.9343194752446907,0.75,45_only,redundant_broad_or_insufficient
empathetic,-0.07243132678890536,0.30258781122319167,0.8686137181236916,0.9190082513848665,0.75,45_only,redundant_broad_or_insufficient
extroverted,-0.1482739277126173,0.31999313748554997,0.8938894703621166,1.0378487780734658,0.5416666666666666,45_only,redundant_broad_or_insufficient
forgiving,0.554114462019635,0.05175331594650832,0.716527507351925,0.750697392380676,0.5,12,moderate_or_high
grandiose,0.46375101729564067,0.06504503353987542,0.7963826881847913,0.859542242783367,0.5,12,moderate_or_high
gregarious,0.10358912155719482,0.2758941036846275,0.8288124123004693,0.8552292669720701,0.5416666666666666,45_only,redundant_broad_or_insufficient
impulsive,0.4650788599362798,0.46817971244399165,0.8054895639393248,0.7754688246311666,0.75,12,moderate_or_high
innovative,0.2402758889346058,0.14656340565268663,0.66943518984668,0.8324784844332163,0.5416666666666666,12,moderate_or_high
introspective,0.7037501992597809,0.14351192662099585,0.4685411279758374,0.5235380229251904,0.7083333333333334,12,moderate_or_high
judgmental,0.8398309365303053,0.39140245521355005,0.6491681192107916,0.7712673535641466,0.75,12,moderate_or_high
manipulative,0.7180278943976299,0.40739347302391665,0.7403130463135833,0.7075696773352198,0.75,12,moderate_or_high
melancholic,0.27276829344815295,0.3624480313078,0.7345199631246001,0.8813881486750434,0.5833333333333334,45_only,redundant_broad_or_insufficient
meticulous,-0.02335747336943075,-0.49705280182083417,0.8543665604469175,0.8725288033954957,0.75,45_only,redundant_broad_or_insufficient
neurotic,0.16108903737366806,0.5297318783905167,0.9031951612480333,0.8369600126901571,0.75,45_only,redundant_broad_or_insufficient
optimistic,0.8039216862979138,-0.1377756636240625,0.45815005305010414,0.5124492582446611,0.7083333333333334,12,moderate_or_high
paranoid,0.857705344407742,0.2826596505625584,0.64711084901655,0.68548291193224,0.5,45_only,redundant_broad_or_insufficient
patient,0.59173579971144,-0.5045326692358,0.8032839670450501,0.7899087785608422,0.75,45_only,redundant_broad_or_insufficient
perfectionist,-0.16798008124564362,-0.47044707639796046,0.8102998427605437,0.8778220657225925,0.75,45_only,redundant_broad_or_insufficient
pessimistic,0.8084060915767614,0.2977188659170604,0.5402091330865437,0.5973104217362724,0.6666666666666666,12,moderate_or_high
playful,-0.027441352386748243,0.36927273825054713,0.838897862531903,0.8899019779715521,0.75,45_only,redundant_broad_or_insufficient
rebellious,0.822262663030344,0.356449448347875,0.5914107608469583,0.592971516631939,0.75,45_only,redundant_broad_or_insufficient
reserved,-0.08310456963937957,-0.36540827483350835,0.9231258029169916,0.9809764429799371,0.75,45_only,redundant_broad_or_insufficient
resilient,-0.018892152797812825,-0.5956353256064125,1.032635278877671,0.9159612356795163,0.75,45_only,redundant_broad_or_insufficient
secular,-0.16196484462832914,-0.13963854701081252,0.7376281938959791,0.9869781562970671,0.5833333333333334,45_only,redundant_broad_or_insufficient
serene,0.2157319506458139,-0.4990210182654791,0.7765054470689292,0.9207587730643555,0.5416666666666666,45_only,redundant_broad_or_insufficient
stoic,-0.15477406164709684,-0.5112519129573495,0.9264909641832336,0.9226150934827769,0.75,45_only,redundant_broad_or_insufficient
temperamental,0.3917733483728774,0.5291627185392483,0.890909873083865,0.8071185083100749,0.75,45_only,redundant_broad_or_insufficient
theatrical,0.5717056661014585,0.25060381907688334,0.721464533351325,0.8000623484890088,0.5,45_only,redundant_broad_or_insufficient
traditional,0.7539313327333954,-0.2773103305365254,0.517267936524442,0.669819586804246,0.7083333333333334,12,moderate_or_high
vindictive,0.5657221681064034,0.11070125533580832,0.6465280024158916,0.7678239837850845,0.6666666666666666,45_only,redundant_broad_or_insufficient
