model,model_label,trait_set,K,profile_id,profile_size,profile_proportion,eligible_primary_k,human_stability_tier,projection_status,model_usability_gate,family_id,pc_standardized_distance,nearest_family
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_A,19.8843054493,False
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_B,19.2629322068,False
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_C,18.7409300977,False
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_D,17.3530926071,False
qwen,Qwen 3 32B,12,4,H04_A,4030,0.283682950866,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_A,3.73491381772,False
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_B,4.44283019482,False
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_C,2.10912670865,False
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_D,4.62160608439,False
qwen,Qwen 3 32B,12,4,H04_B,4689,0.330071800648,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_A,12.6987720241,False
qwen,Qwen 3 32B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_B,12.1638425726,False
qwen,Qwen 3 32B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_C,11.7625830864,False
qwen,Qwen 3 32B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_D,10.1396998694,False
qwen,Qwen 3 32B,12,4,H04_C,3304,0.232577784035,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_A,2.01273405517,False
qwen,Qwen 3 32B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_B,3.66345421343,False
qwen,Qwen 3 32B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_C,4.25061398698,False
qwen,Qwen 3 32B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_D,4.0830947632,False
qwen,Qwen 3 32B,12,4,H04_D,2183,0.153667464452,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_A,4.00560725658,False
qwen,Qwen 3 32B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_B,5.54880138756,False
qwen,Qwen 3 32B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_C,4.26427037071,False
qwen,Qwen 3 32B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_D,6.26783066123,False
qwen,Qwen 3 32B,12,5,H05_A,3405,0.239687456005,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_E,,True
qwen,Qwen 3 32B,12,5,H05_B,3813,0.26840771505,True,moderate,PRIMARY_ELIGIBLE,USABLE,MFamily_A,19.7140031706,False
