model,trait_set,target_row,target_column,residual_covariance
qwen,12,PC1,PC1,17.5528687234
qwen,12,PC1,PC2,-9.17711952768
qwen,12,PC1,PC3,-3.28612919041
qwen,12,PC2,PC1,-9.17711952768
qwen,12,PC2,PC2,15.4132849457
qwen,12,PC2,PC3,6.97673750687
qwen,12,PC3,PC1,-3.28612919041
qwen,12,PC3,PC2,6.97673750687
qwen,12,PC3,PC3,11.4539546375
llama,12,PC1,PC1,0.107170793003
llama,12,PC1,PC2,-0.00131093497567
llama,12,PC1,PC3,0.034181302872
llama,12,PC2,PC1,-0.00131093497567
llama,12,PC2,PC2,0.182863911914
llama,12,PC2,PC3,0.0538522042645
llama,12,PC3,PC1,0.034181302872
llama,12,PC3,PC2,0.0538522042645
llama,12,PC3,PC3,0.118497685921
gemma,12,PC1,PC1,7075.54860775
gemma,12,PC1,PC2,-8402.02951796
gemma,12,PC1,PC3,-2633.91091379
gemma,12,PC2,PC1,-8402.02951796
gemma,12,PC2,PC2,25344.6700341
gemma,12,PC2,PC3,14360.8360714
gemma,12,PC3,PC1,-2633.91091379
gemma,12,PC3,PC2,14360.8360714
gemma,12,PC3,PC3,16515.258285
qwen,45,PC1,PC1,3.75851443417
qwen,45,PC1,PC2,-1.04688654401
qwen,45,PC1,PC3,0.0192829908955
qwen,45,PC2,PC1,-1.04688654401
qwen,45,PC2,PC2,3.8966617856
qwen,45,PC2,PC3,1.04179179349
qwen,45,PC3,PC1,0.0192829908955
qwen,45,PC3,PC2,1.04179179349
qwen,45,PC3,PC3,1.81151179786
llama,45,PC1,PC1,0.0448777283349
llama,45,PC1,PC2,0.0070378923122
llama,45,PC1,PC3,0.00111347059294
llama,45,PC2,PC1,0.0070378923122
llama,45,PC2,PC2,0.021656449928
llama,45,PC2,PC3,0.00599131295983
llama,45,PC3,PC1,0.00111347059294
llama,45,PC3,PC2,0.00599131295983
llama,45,PC3,PC3,0.0116893221043
gemma,45,PC1,PC1,629.50577406
gemma,45,PC1,PC2,-225.642861751
gemma,45,PC1,PC3,273.606535515
gemma,45,PC2,PC1,-225.642861751
gemma,45,PC2,PC2,2170.03490284
gemma,45,PC2,PC3,1418.13557157
gemma,45,PC3,PC1,273.606535515
gemma,45,PC3,PC2,1418.13557157
gemma,45,PC3,PC3,2669.38979874
