dimensions,domain,qwen_local_vector,llama_local_vector,gemma_local_vector,qwen_aligned_vector,llama_aligned_vector,gemma_aligned_vector,qwen_projection_r2,llama_projection_r2,gemma_projection_r2,qwen_llama_cosine,qwen_gemma_cosine,llama_gemma_cosine,qwen_llama_angular_disagreement_degrees,qwen_gemma_angular_disagreement_degrees,llama_gemma_angular_disagreement_degrees,qwen_llama_euclidean_disagreement,qwen_gemma_euclidean_disagreement,llama_gemma_euclidean_disagreement,consensus_vector,mean_pairwise_cosine,minimum_pairwise_cosine,maximum_pairwise_cosine,mean_angular_dispersion_degrees,recurrence_classification
3,openness,"[-0.6733446547977334, 0.3942520952610292, 0.6254376557560389]","[-0.7720833348025627, -0.1009178560010438, -0.6274574969352954]","[-0.49424823659050965, 0.607797604895524, 0.6215309743773323]","[-0.6733446547977334, 0.3942520952610292, 0.6254376557560389]","[-0.5633859823526526, -0.5300895367620422, -0.63372022052633]","[-0.5605442974956643, 0.3897285387357741, 0.7306858125350257]",0.70082807231,0.343352597959,0.454211037739,-0.22598845987,0.988089221162,-0.35383859512,103.061009958,8.85196565898,110.722281342,1.56587896076,0.154342339222,1.64550210885,"[-0.9199844775242472, 0.12996112277255972, 0.36978191908493]",0.136087388724,-0.35383859512,0.988089221162,45.4614409176,WEAK / MODEL-SPECIFIC
3,conscientiousness,"[0.632746279771223, -0.7741137005506153, -0.019496770386644494]","[-0.2013077730732423, -0.9734026463410498, 0.10937307070999346]","[0.3071730432348945, -0.9015183006386855, 0.3048105561219138]","[0.632746279771223, -0.7741137005506153, -0.019496770386644494]","[0.5610710976386132, -0.8212280798733557, -0.10384442316332285]","[0.5129477980551121, -0.8458663056563035, 0.14626944118909196]",0.988680439338,0.957545714719,0.933865519087,0.992764188499,0.976510725269,0.967260080363,6.89673395798,12.443032169,14.7017322474,0.12029805901,0.216745356262,0.255890287572,"[0.572976512170494, -0.8195356424844097, 0.007697220186642361]",0.978844998044,0.967260080363,0.992764188499,6.59964578504,HIGH CROSS-MODEL RECURRENCE
3,extraversion,"[-0.7385842235521011, 0.6739763131842632, -0.015788413045261605]","[-0.1441828360093877, 0.5609069445581002, -0.8152267839974263]","[-0.5417933254096695, 0.8079584422129334, -0.2316530772478146]","[-0.7385842235521011, 0.6739763131842632, -0.015788413045261605]","[-0.6216589396849259, 0.39861273182326756, -0.6742759470262939]","[-0.7161359847319727, 0.6936078639948985, -0.07782918717552227]",0.952901159782,0.79444074681,0.817957223191,0.738448771822,0.997630810566,0.774151611309,42.4005581513,3.94478469818,39.2718220746,0.72325822246,0.0688358835785,0.672083906504,"[-0.7331738313042271, 0.6236478322745743, -0.2711448218017546]",0.836743731232,0.738448771822,0.997630810566,18.0915150903,HIGH CROSS-MODEL RECURRENCE
3,agreeableness,"[0.24409218299327037, -0.0471654046058973, -0.9686043726981319]","[0.1943679102809426, -0.9402141655831094, -0.2796755947341072]","[0.44551829610403404, -0.38508159094567357, -0.8082237413930051]","[0.24409218299327037, -0.0471654046058973, -0.9686043726981319]","[0.7516255768348964, -0.45573022022941, -0.4768322122269663]","[0.4515167459750554, -0.15897569086244054, -0.877985966755111]",0.960345421082,0.724500730111,0.900605520388,0.666822393878,0.968130907532,0.830473552084,48.1777131795,14.5038285711,33.8525859794,0.816305832543,0.252464225063,0.582282488,"[0.5139003804614913, -0.2350247451879565, -0.8250271317422662]",0.821808951165,0.666822393878,0.968130907532,18.2002942077,HIGH CROSS-MODEL RECURRENCE
3,neuroticism,"[-0.6102955232181277, 0.601471027617244, 0.5155307723860604]","[0.10245599329594612, 0.9942606950373971, -0.030796748878627985]","[-0.48298171929756717, 0.841314383357208, 0.24273188332117943]","[-0.6102955232181277, 0.601471027617244, 0.5155307723860604]","[-0.6320659059822006, 0.7524675337302431, 0.1851629044296546]","[-0.6285016765573532, 0.6713706311950495, 0.39274306885463567]",0.971972038714,0.932204199738,0.948871142066,0.933791588699,0.989852880631,0.975160532003,20.9662134861,8.16915124089,12.7971089581,0.363891223585,0.142457848988,0.222887720601,"[-0.6307534834716376, 0.682824320161026, 0.3686475157722175]",0.966268333777,0.933791588699,0.989852880631,7.50010275028,HIGH CROSS-MODEL RECURRENCE
6,openness,"[-0.39606155513772867, 0.23189921662376106, 0.36788264199534304, -0.5859317073577641, 0.45199981949527207, -0.32619098252213075]","[-0.3841916365039858, -0.05021711323354672, -0.3122252634113784, 0.29460973073150587, 0.49188305954978895, -0.650881383320204]","[-0.3091818184644721, 0.3802137363934447, 0.38880477999396956, 0.2453212834689677, -0.49865778594139415, -0.5475699418702092]","[-0.39606155513772867, 0.23189921662376106, 0.36788264199534304, -0.5859317073577641, 0.45199981949527207, -0.32619098252213075]","[-0.2733828365309941, -0.14040626598527928, 0.15469598037823779, -0.6698835374271755, 0.6123875700521016, -0.24052976769391946]","[-0.3938002516186844, 0.33648148436573866, 0.14862932702215903, -0.6241993695149637, 0.3784075620196785, -0.42046850031420324]",0.960156814271,0.628984113176,0.658955452074,0.880390011451,0.962608467483,0.834414640286,28.3105538914,15.7176234847,33.4450643478,0.489101193106,0.273464924688,0.57547434298,"[-0.36784469101698364, 0.14806387673917581, 0.23221398980223143, -0.6504179440456649, 0.4991555485472456, -0.3415322401379171]",0.89247103974,0.834414640286,0.962608467483,15.0285138955,HIGH CROSS-MODEL RECURRENCE
6,conscientiousness,"[0.6326483992266033, -0.7739939516512064, -0.019493754399723555, 0.015503366118638668, -0.0025397954152792434, 0.007909132759636908]","[-0.19404279074285632, -0.9382735854108211, 0.10542591350886955, 0.15498481421541052, -0.09877432814344785, 0.19261046312257332]","[0.2955659502692451, -0.8674527895002441, 0.29329273403518535, 0.1517813547950372, 0.06052733628686595, 0.21781795401309179]","[0.6326483992266033, -0.7739939516512064, -0.019493754399723555, 0.015503366118638668, -0.0025397954152792434, 0.007909132759636908]","[0.551907213304123, -0.8158481589815538, 0.04310053275950791, -0.10257774534186773, -0.1316745452200283, -0.008495514511261078]","[0.4900507481495161, -0.8130227772962522, 0.0902458053156515, -0.22972060230318642, -0.11553819153940814, 0.15677784802637837]",0.988737389907,0.977713331086,0.955897729601,0.978461498248,0.935517281555,0.975101072931,11.9131874689,20.6881233164,12.8124803083,0.207550002417,0.359117580871,0.223154328074,"[0.565211510310076, -0.8110126201991276, 0.03842741332103711, -0.10692433408318329, -0.08429623177646062, 0.052717591801597116]",0.963026617578,0.935517281555,0.978461498248,8.5695650256,HIGH CROSS-MODEL RECURRENCE
6,extraversion,"[-0.6672156569095605, 0.608850736589014, -0.01426279636855891, -0.2687510532649766, 0.21135036929500273, -0.2588909290364178]","[-0.13074983301349155, 0.5086492356989311, -0.739274998508485, -0.035570774614620645, 0.11214259689344692, -0.40473654483555926]","[-0.44989690835454815, 0.6709163590298977, -0.1923611797650027, 0.34254130548781253, -0.37570213154929727, -0.22797927524781877]","[-0.6672156569095605, 0.608850736589014, -0.01426279636855891, -0.2687510532649766, 0.21135036929500273, -0.2588909290364178]","[-0.5710155410931096, 0.42378737837724234, -0.2929082337405989, -0.5946771036028975, 0.10354525791484469, -0.21020893981719013]","[-0.6246043418571454, 0.6282110777416966, -0.27029412446054346, -0.3438778529177745, 0.06610464516561726, -0.13978391315926125]",0.985071412214,0.854053299804,0.919982798317,0.879317071497,0.94566528721,0.942783022813,28.4399084078,18.9741637379,19.4756924379,0.491289992781,0.329650459699,0.338280880889,"[-0.6376160624307063, 0.5684796644073875, -0.19765623436375948, -0.41323975607980024, 0.13040973733803246, -0.20841028166886816]",0.922588460506,0.879317071497,0.94566528721,12.8005183979,HIGH CROSS-MODEL RECURRENCE
6,agreeableness,"[0.23459764001153724, -0.045330794599997414, -0.9309282138957403, 0.19108166914114752, 0.07832186887598537, -0.18339903900741328]","[0.14204235944332647, -0.6871002433911415, -0.20438446499387664, -0.6476451722318364, -0.15955060335535284, -0.14506395134047453]","[0.4090047781143664, -0.35352130773970364, -0.7419838307561154, 0.19422259269018846, -0.33569657248151, -0.08235998459795454]","[0.23459764001153724, -0.045330794599997414, -0.9309282138957403, 0.19108166914114752, 0.07832186887598537, -0.18339903900741328]","[0.5046993384902528, -0.3035550667421063, -0.7586873715551378, 0.03664398196150989, 0.06830109786869473, -0.26742952350364874]","[0.39839340618309976, -0.11993817345748889, -0.9067306645075889, -0.010113829049135927, 0.059345830356296585, -0.03335885760067323]",0.989474479684,0.958904875185,0.969199124889,0.899842926294,0.951833695021,0.938005751163,25.8625717255,17.8553387273,20.2806991746,0.447564685171,0.310374950598,0.35212000465,"[0.3884154724940014, -0.16005981191769003, -0.8864108100157352, 0.07429420149895172, 0.07031919116302918, -0.1653049793599517]",0.929894124159,0.899842926294,0.951833695021,12.3070278007,HIGH CROSS-MODEL RECURRENCE
6,neuroticism,"[-0.5892837488893103, 0.5807630705426537, 0.4977816396514506, -0.1256981710603554, 0.13835775084005827, 0.1809128546823143]","[0.09571122505962538, 0.9288076381806855, -0.028769371787874903, 0.24357703091077454, 0.22452281662510618, -0.132618968210261]","[-0.468738198275024, 0.8165033426342916, 0.23557352401939294, -0.11782279047996669, -0.01737211039344164, -0.20958985555123943]","[-0.5892837488893103, 0.5807630705426537, 0.4977816396514506, -0.1256981710603554, 0.13835775084005827, 0.1809128546823143]","[-0.5744668306631755, 0.7201488367620144, 0.3414390067262527, -0.05071063497332317, 0.13175470577539053, 0.12190999577785465]","[-0.6110001660760244, 0.6614856610313886, 0.38111894563858456, -0.0052828588539305535, 0.13419825173925828, -0.1607071473604315]",0.984164776115,0.973878312821,0.963378155227,0.973380490054,0.924090350896,0.955853673155,13.2496921213,22.4684150229,17.0881763365,0.230735822732,0.389639959716,0.297140797756,"[-0.6014670607742338, 0.6650609954129609, 0.4135758609283061, -0.061575718120589595, 0.13702181784830553, 0.04816333473520621]",0.951108171368,0.924090350896,0.973380490054,10.1295240689,HIGH CROSS-MODEL RECURRENCE
