model,model_key,scope,feature_budget,feature_family,estimate_type,aggregate_normalized_geometric_error,q05,q95,draws
Qwen/Qwen3-32B,qwen,core,5,random_real,distribution,0.516197194656,0.308466881795,0.867757166442,500
Qwen/Qwen3-32B,qwen,core,5,persona_span,distribution,0.607200236726,0.47380036868,0.747873144073,500
Qwen/Qwen3-32B,qwen,core,5,isotropic,distribution,1.20076251332,1.09956446172,1.29022426492,500
Qwen/Qwen3-32B,qwen,core,5,externally_anchored_big_five_5,point,0.874380324771,,,1
Qwen/Qwen3-32B,qwen,core,5,geometry_optimized_real_traits_5,point,0.166504167657,,,1
Qwen/Qwen3-32B,qwen,core,12,random_real,distribution,0.191665718967,0.144523301395,0.274958914785,500
Qwen/Qwen3-32B,qwen,core,12,persona_span,distribution,0.215024358949,0.179043103445,0.265553825498,500
Qwen/Qwen3-32B,qwen,core,12,isotropic,distribution,0.821693598313,0.748386839047,0.902382796353,500
Qwen/Qwen3-32B,qwen,core,12,human_supported_12,point,0.167883129145,,,1
Qwen/Qwen3-32B,qwen,core,12,geometry_optimized_real_traits_12,point,0.104211444293,,,1
Qwen/Qwen3-32B,qwen,extended,5,random_real,distribution,1.53733679828,1.38146902103,1.70806252805,500
Qwen/Qwen3-32B,qwen,extended,5,persona_span,distribution,1.5563086256,1.4557161771,1.6448862492,500
Qwen/Qwen3-32B,qwen,extended,5,isotropic,distribution,1.98410503877,1.91862527397,2.05076681132,500
Qwen/Qwen3-32B,qwen,extended,5,externally_anchored_big_five_5,point,1.6768256888,,,1
Qwen/Qwen3-32B,qwen,extended,5,geometry_optimized_real_traits_5,point,1.23477693583,,,1
Qwen/Qwen3-32B,qwen,extended,12,random_real,distribution,0.811172455364,0.655379191618,1.00618855171,500
Qwen/Qwen3-32B,qwen,extended,12,persona_span,distribution,0.78354139916,0.68097720261,0.894499280493,500
Qwen/Qwen3-32B,qwen,extended,12,isotropic,distribution,1.55176825217,1.4666922921,1.64161199449,500
Qwen/Qwen3-32B,qwen,extended,12,human_supported_12,point,0.745451643184,,,1
Qwen/Qwen3-32B,qwen,extended,12,geometry_optimized_real_traits_12,point,0.450575130739,,,1
Llama-3.3-70B,llama,core,5,random_real,distribution,0.863404230945,0.607992786986,1.12819191752,500
Llama-3.3-70B,llama,core,5,persona_span,distribution,0.872371706012,0.733188259686,1.00657488109,500
Llama-3.3-70B,llama,core,5,isotropic,distribution,1.41536833606,1.32091216673,1.49725201095,500
Llama-3.3-70B,llama,core,5,externally_anchored_big_five_5,point,1.00168111213,,,1
Llama-3.3-70B,llama,core,5,geometry_optimized_real_traits_5,point,0.499092081602,,,1
Llama-3.3-70B,llama,core,12,random_real,distribution,0.455317430949,0.357674266064,0.617561538218,500
Llama-3.3-70B,llama,core,12,persona_span,distribution,0.443942524632,0.36688748509,0.53286063214,500
Llama-3.3-70B,llama,core,12,isotropic,distribution,1.1206621995,1.02049546157,1.21954182074,500
Llama-3.3-70B,llama,core,12,human_supported_12,point,0.508572902543,,,1
Llama-3.3-70B,llama,core,12,geometry_optimized_real_traits_12,point,0.294338254843,,,1
Llama-3.3-70B,llama,extended,5,random_real,distribution,1.75375778982,1.595070613,1.89339756348,500
Llama-3.3-70B,llama,extended,5,persona_span,distribution,1.72417623254,1.63413690101,1.80363480616,500
Llama-3.3-70B,llama,extended,5,isotropic,distribution,2.16736808745,2.08675464976,2.23461475511,500
Llama-3.3-70B,llama,extended,5,externally_anchored_big_five_5,point,1.76812409403,,,1
Llama-3.3-70B,llama,extended,5,geometry_optimized_real_traits_5,point,1.53524652335,,,1
Llama-3.3-70B,llama,extended,12,random_real,distribution,1.20143325017,1.03053646548,1.34603071277,500
Llama-3.3-70B,llama,extended,12,persona_span,distribution,1.0688352206,0.982929373361,1.17570066464,500
Llama-3.3-70B,llama,extended,12,isotropic,distribution,1.84676464714,1.76015357992,1.94024686864,500
Llama-3.3-70B,llama,extended,12,human_supported_12,point,1.16100287106,,,1
Llama-3.3-70B,llama,extended,12,geometry_optimized_real_traits_12,point,0.863326149687,,,1
Gemma-2-27B,gemma,core,5,random_real,distribution,0.816123311649,0.587721508937,1.09167655594,500
Gemma-2-27B,gemma,core,5,persona_span,distribution,0.887492718754,0.765567780717,0.997869410945,500
Gemma-2-27B,gemma,core,5,isotropic,distribution,1.35928674407,1.26885762046,1.44529368867,500
Gemma-2-27B,gemma,core,5,externally_anchored_big_five_5,point,0.947287118842,,,1
Gemma-2-27B,gemma,core,5,geometry_optimized_real_traits_5,point,0.418625235506,,,1
Gemma-2-27B,gemma,core,12,random_real,distribution,0.462001140758,0.377456316537,0.572162050799,500
Gemma-2-27B,gemma,core,12,persona_span,distribution,0.476016146142,0.412245391629,0.567967753788,500
Gemma-2-27B,gemma,core,12,isotropic,distribution,1.06758889693,0.976940835773,1.15215115857,500
Gemma-2-27B,gemma,core,12,human_supported_12,point,0.400287169279,,,1
Gemma-2-27B,gemma,core,12,geometry_optimized_real_traits_12,point,0.310521401301,,,1
Gemma-2-27B,gemma,extended,5,random_real,distribution,1.74707349584,1.58780356099,1.89909172216,500
Gemma-2-27B,gemma,extended,5,persona_span,distribution,1.71671621469,1.6105091796,1.80523777266,500
Gemma-2-27B,gemma,extended,5,isotropic,distribution,2.12938365275,2.05534555364,2.19619999993,500
Gemma-2-27B,gemma,extended,5,externally_anchored_big_five_5,point,1.75932445861,,,1
Gemma-2-27B,gemma,extended,5,geometry_optimized_real_traits_5,point,1.37730950651,,,1
Gemma-2-27B,gemma,extended,12,random_real,distribution,1.17143413614,1.00394677499,1.34204140434,500
Gemma-2-27B,gemma,extended,12,persona_span,distribution,1.02154211321,0.921619370779,1.12552948616,500
Gemma-2-27B,gemma,extended,12,isotropic,distribution,1.78495775476,1.69387542237,1.87046378247,500
Gemma-2-27B,gemma,extended,12,human_supported_12,point,1.04778460765,,,1
Gemma-2-27B,gemma,extended,12,geometry_optimized_real_traits_12,point,0.700590802983,,,1
