model,model_key,feature_family,feature_count,matrix_rank,condition_number_nonzero_span,mean_absolute_pairwise_correlation,max_absolute_pairwise_correlation,heldout_mean_pc1_pc6_r2,heldout_pc1_pc6_aggregate_nrmse,coverage_protocol,human12_role_score_span_fraction_captured_by_big_five,big_five_role_score_span_fraction_captured_by_human12,union_incremental_rank_over_big_five,error_reduction_vs_big_five,error_reduction_vs_human_supported_12
Qwen/Qwen3-32B,qwen,externally_anchored_big_five_5,5,5,17.5834696106,0.724256771123,0.963366767982,0.538101306069,1.6768256888,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.388143032126,0.931543277103,12,0,-0.931374045621
Qwen/Qwen3-32B,qwen,human_supported_12,12,12,81.8700409708,0.541121128873,0.958474075707,0.907586228554,0.745451643184,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.388143032126,0.931543277103,12,0.931374045621,0
Qwen/Qwen3-32B,qwen,direct_semantic_45,45,45,1509.13362227,0.5863359025,0.987997179034,0.989898988689,0.248540005713,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.388143032126,0.931543277103,12,1.42828568309,0.496911637472
Qwen/Qwen3-32B,qwen,full_real_traits_240,240,240,212575.760784,0.509352849472,0.997523320733,0.997768981689,0.116211332544,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.388143032126,0.931543277103,12,1.56061435626,0.62924031064
Qwen/Qwen3-32B,qwen,big_five_plus_human_supported_17,17,17,235.749626715,0.589450868209,0.978800003191,0.951719294433,0.539764865937,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.388143032126,0.931543277103,12,1.13706082287,0.205686777247
Qwen/Qwen3-32B,qwen,geometry_optimized_real_traits_12,12,12,71.4078806965,0.504041093783,0.954784759522,0.966633607104,0.450575130739,nested fold-local AA-4 forward selection at k=12,0.388143032126,0.931543277103,12,1.22625055807,0.294876512445
Llama-3.3-70B,llama,externally_anchored_big_five_5,5,5,11.9415394229,0.481440351526,0.941930074676,0.490838174536,1.76812409403,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.378504905389,0.908411772934,12,0,-0.607121222973
Llama-3.3-70B,llama,human_supported_12,12,12,67.1312568326,0.463364953157,0.99138788234,0.780102439456,1.16100287106,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.378504905389,0.908411772934,12,0.607121222973,0
Llama-3.3-70B,llama,direct_semantic_45,45,45,583.53211015,0.474369952082,0.996092877123,0.93381985024,0.642659070039,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.378504905389,0.908411772934,12,1.12546502399,0.518343801017
Llama-3.3-70B,llama,full_real_traits_240,240,240,50906.1830733,0.469571186526,0.997744113811,0.981820995253,0.338325947144,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.378504905389,0.908411772934,12,1.42979814688,0.822676923912
Llama-3.3-70B,llama,big_five_plus_human_supported_17,17,17,110.954586868,0.480115193581,0.99138788234,0.864223162592,0.912127847916,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.378504905389,0.908411772934,12,0.855996246113,0.24887502314
Llama-3.3-70B,llama,geometry_optimized_real_traits_12,12,12,47.3429674255,0.467002009669,0.954483815396,0.879858981558,0.863326149687,nested fold-local AA-4 forward selection at k=12,0.378504905389,0.908411772934,12,0.904797944342,0.29767672137
Gemma-2-27B,gemma,externally_anchored_big_five_5,5,5,11.0090326825,0.69256136096,0.877759111696,0.496437959135,1.75932445861,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.378869249262,0.909286198228,12,0,-0.71153985096
Gemma-2-27B,gemma,human_supported_12,12,12,44.4699277453,0.481433488633,0.952264156481,0.819183245193,1.04778460765,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.378869249262,0.909286198228,12,0.71153985096,0
Gemma-2-27B,gemma,direct_semantic_45,45,45,633.651991258,0.517486712853,0.985270296164,0.956250524639,0.518696674247,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.378869249262,0.909286198228,12,1.24062778436,0.529087933401
Gemma-2-27B,gemma,full_real_traits_240,240,240,73358.1753641,0.485381430536,0.997108617306,0.990839177943,0.238083710939,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.378869249262,0.909286198228,12,1.52124074767,0.809700896709
Gemma-2-27B,gemma,big_five_plus_human_supported_17,17,17,89.1566088766,0.544503062518,0.964493957398,0.895412144054,0.794620324702,fixed 5-fold seed 42 with fold-local four-fold alpha tuning,0.378869249262,0.909286198228,12,0.964704133906,0.253164282946
Gemma-2-27B,gemma,geometry_optimized_real_traits_12,12,12,50.089847138,0.534213160675,0.972328460749,0.919758897122,0.700590802983,nested fold-local AA-4 forward selection at k=12,0.378869249262,0.909286198228,12,1.05873365563,0.347193804665
