model,model_key,scope,outer_fold,entry_rank,trait_index,trait,selected_alpha,inner_normalized_3d_rmse,inner_rmse_improvement
Qwen/Qwen3-32B,qwen,core,kfold_42_0,1,95,fatalistic,1,1.42781699287,0.304233814701
Qwen/Qwen3-32B,qwen,core,kfold_42_0,2,216,structuralist,0.1,1.02361844494,0.404198547925
Qwen/Qwen3-32B,qwen,core,kfold_42_0,3,51,cruel,0.1,0.23579563827,0.787822806673
Qwen/Qwen3-32B,qwen,core,kfold_42_0,4,161,pacifist,0.0001,0.195656299223,0.0401393390467
Qwen/Qwen3-32B,qwen,core,kfold_42_0,5,175,poetic,0.1,0.164545391797,0.0311109074267
Qwen/Qwen3-32B,qwen,core,kfold_42_0,6,173,playful,0.1,0.143396214207,0.0211491775897
Qwen/Qwen3-32B,qwen,core,kfold_42_0,7,99,forgiving,0.1,0.127599104463,0.0157971097439
Qwen/Qwen3-32B,qwen,core,kfold_42_0,8,15,ascetic,0.01,0.11373132889,0.0138677755734
Qwen/Qwen3-32B,qwen,core,kfold_42_0,9,54,cynical,0.0001,0.107441942722,0.00628938616781
Qwen/Qwen3-32B,qwen,core,kfold_42_0,10,105,generous,0.1,0.103025468842,0.00441647388004
Qwen/Qwen3-32B,qwen,core,kfold_42_0,11,82,entertaining,0.001,0.0991053976295,0.00392007121249
Qwen/Qwen3-32B,qwen,core,kfold_42_0,12,80,empathetic,0.01,0.0956117016957,0.00349369593376
Qwen/Qwen3-32B,qwen,core,kfold_42_1,1,223,technical,1,1.42534567405,0.306705133515
Qwen/Qwen3-32B,qwen,core,kfold_42_1,2,95,fatalistic,1,1.01484722521,0.410498448842
Qwen/Qwen3-32B,qwen,core,kfold_42_1,3,51,cruel,0.1,0.245087774953,0.769759450259
Qwen/Qwen3-32B,qwen,core,kfold_42_1,4,161,pacifist,0.1,0.215361630227,0.029726144726
Qwen/Qwen3-32B,qwen,core,kfold_42_1,5,88,ethereal,0.01,0.180459702518,0.0349019277091
Qwen/Qwen3-32B,qwen,core,kfold_42_1,6,216,structuralist,0.01,0.147232406822,0.033227295696
Qwen/Qwen3-32B,qwen,core,kfold_42_1,7,208,solemn,0.01,0.125848748675,0.0213836581471
Qwen/Qwen3-32B,qwen,core,kfold_42_1,8,163,paranoid,0.01,0.119474222887,0.00637452578726
Qwen/Qwen3-32B,qwen,core,kfold_42_1,9,17,avoidant,0.01,0.110852701761,0.00862152112601
Qwen/Qwen3-32B,qwen,core,kfold_42_1,10,239,zealous,0.01,0.105715100788,0.00513760097342
Qwen/Qwen3-32B,qwen,core,kfold_42_1,11,154,nihilistic,0.01,0.101638440352,0.00407666043627
Qwen/Qwen3-32B,qwen,core,kfold_42_1,12,83,environmental,0.01,0.0987373272039,0.00290111314763
Qwen/Qwen3-32B,qwen,core,kfold_42_2,1,204,serene,0.1,1.42381854976,0.308232257808
Qwen/Qwen3-32B,qwen,core,kfold_42_2,2,88,ethereal,0.1,1.01355074413,0.410267805631
Qwen/Qwen3-32B,qwen,core,kfold_42_2,3,223,technical,0.1,0.263796654732,0.749754089399
Qwen/Qwen3-32B,qwen,core,kfold_42_2,4,24,callous,0.1,0.203358044272,0.0604386104597
Qwen/Qwen3-32B,qwen,core,kfold_42_2,5,148,mischievous,0.1,0.166382618136,0.0369754261356
Qwen/Qwen3-32B,qwen,core,kfold_42_2,6,224,temperamental,0.01,0.13597174158,0.030410876556
Qwen/Qwen3-32B,qwen,core,kfold_42_2,7,216,structuralist,0.01,0.114286126903,0.0216856146772
Qwen/Qwen3-32B,qwen,core,kfold_42_2,8,83,environmental,0.01,0.104957167827,0.00932895907633
Qwen/Qwen3-32B,qwen,core,kfold_42_2,9,234,vindictive,0.01,0.0971993015915,0.00775786623535
Qwen/Qwen3-32B,qwen,core,kfold_42_2,10,106,goofy,0.01,0.0909952639848,0.00620403760671
Qwen/Qwen3-32B,qwen,core,kfold_42_2,11,146,militant,0.01,0.0879364880906,0.00305877589412
Qwen/Qwen3-32B,qwen,core,kfold_42_2,12,95,fatalistic,0.01,0.0842453186576,0.00369116943302
Qwen/Qwen3-32B,qwen,core,kfold_42_3,1,52,cryptic,1,1.43441370559,0.297637101983
Qwen/Qwen3-32B,qwen,core,kfold_42_3,2,204,serene,1,1.03014667916,0.404267026431
Qwen/Qwen3-32B,qwen,core,kfold_42_3,3,186,rationalist,0.1,0.257629155152,0.772517524003
Qwen/Qwen3-32B,qwen,core,kfold_42_3,4,88,ethereal,0.01,0.221135949887,0.0364932052647
Qwen/Qwen3-32B,qwen,core,kfold_42_3,5,98,flirty,0.01,0.182772335017,0.0383636148703
Qwen/Qwen3-32B,qwen,core,kfold_42_3,6,209,specialized,0.01,0.151004883706,0.0317674513108
Qwen/Qwen3-32B,qwen,core,kfold_42_3,7,107,grandiose,0.01,0.124758399,0.026246484706
Qwen/Qwen3-32B,qwen,core,kfold_42_3,8,163,paranoid,0.01,0.114331171662,0.0104272273376
Qwen/Qwen3-32B,qwen,core,kfold_42_3,9,216,structuralist,0.01,0.102435136661,0.0118960350015
Qwen/Qwen3-32B,qwen,core,kfold_42_3,10,84,epicurean,0.01,0.0966641249554,0.00577101170548
Qwen/Qwen3-32B,qwen,core,kfold_42_3,11,45,contemporary,0.01,0.0912714485416,0.00539267641377
Qwen/Qwen3-32B,qwen,core,kfold_42_3,12,83,environmental,0.01,0.0879345109666,0.00333693757495
Qwen/Qwen3-32B,qwen,core,kfold_42_4,1,169,perfectionist,0.1,1.4404247612,0.29162604637
Qwen/Qwen3-32B,qwen,core,kfold_42_4,2,139,meditative,0.0001,1.03350885518,0.40691590602
Qwen/Qwen3-32B,qwen,core,kfold_42_4,3,52,cryptic,0.0001,0.304810632313,0.728698222866
Qwen/Qwen3-32B,qwen,core,kfold_42_4,4,165,passive_aggressive,0.01,0.21103824416,0.0937723881537
Qwen/Qwen3-32B,qwen,core,kfold_42_4,5,80,empathetic,0.0001,0.169475318468,0.041562925692
Qwen/Qwen3-32B,qwen,core,kfold_42_4,6,214,strategic,0.1,0.142374537016,0.0271007814519
Qwen/Qwen3-32B,qwen,core,kfold_42_4,7,54,cynical,0.1,0.128960252868,0.0134142841478
Qwen/Qwen3-32B,qwen,core,kfold_42_4,8,216,structuralist,0.01,0.1150138154,0.0139464374684
Qwen/Qwen3-32B,qwen,core,kfold_42_4,9,112,holistic,0.1,0.10547897733,0.00953483806968
Qwen/Qwen3-32B,qwen,core,kfold_42_4,10,53,curious,0.1,0.0992744565084,0.00620452082159
Qwen/Qwen3-32B,qwen,core,kfold_42_4,11,206,skeptical,0.1,0.093123236557,0.00615121995136
Qwen/Qwen3-32B,qwen,core,kfold_42_4,12,148,mischievous,0.1,0.0892655194575,0.00385771709948
Qwen/Qwen3-32B,qwen,extended,kfold_42_0,1,154,nihilistic,1,2.27410601926,0.175383723524
Qwen/Qwen3-32B,qwen,extended,kfold_42_0,2,95,fatalistic,0.1,2.04325754549,0.23084847377
Qwen/Qwen3-32B,qwen,extended,kfold_42_0,3,43,conscientious,0.1,1.79074834058,0.252509204908
Qwen/Qwen3-32B,qwen,extended,kfold_42_0,4,135,literal,0.1,1.52322971232,0.267518628262
Qwen/Qwen3-32B,qwen,extended,kfold_42_0,5,139,meditative,0.1,1.19249212356,0.330737588759
Qwen/Qwen3-32B,qwen,extended,kfold_42_0,6,49,creative,0.1,0.813338447463,0.379153676098
Qwen/Qwen3-32B,qwen,extended,kfold_42_0,7,42,confrontational,0.01,0.643025645399,0.170312802064
Qwen/Qwen3-32B,qwen,extended,kfold_42_0,8,152,narrative,0.01,0.587498471858,0.0555271735409
Qwen/Qwen3-32B,qwen,extended,kfold_42_0,9,55,data_driven,0.01,0.542692201525,0.044806270333
Qwen/Qwen3-32B,qwen,extended,kfold_42_0,10,223,technical,0.01,0.500819181782,0.0418730197429
Qwen/Qwen3-32B,qwen,extended,kfold_42_0,11,138,materialist,0.001,0.462050040604,0.0387691411785
Qwen/Qwen3-32B,qwen,extended,kfold_42_0,12,193,resilient,0.001,0.427480399996,0.0345696406076
