model,model_key,trait_1,trait_2,pearson,spearman
Qwen/Qwen3-32B,qwen,adventurous,adventurous,1,1
Qwen/Qwen3-32B,qwen,adventurous,altruistic,-0.292775996842,-0.206159660714
Qwen/Qwen3-32B,qwen,adventurous,forgiving,0.273418498344,0.300754161738
Qwen/Qwen3-32B,qwen,adventurous,grandiose,0.729953043621,0.748786820923
Qwen/Qwen3-32B,qwen,adventurous,impulsive,0.898000001263,0.912244309166
Qwen/Qwen3-32B,qwen,adventurous,manipulative,0.927611738991,0.935131127203
Qwen/Qwen3-32B,qwen,adventurous,optimistic,0.0332783537412,0.0587126741871
Qwen/Qwen3-32B,qwen,adventurous,pessimistic,0.346073169718,0.29356914111
Qwen/Qwen3-32B,qwen,adventurous,traditional,-0.872713268606,-0.883492109287
Qwen/Qwen3-32B,qwen,adventurous,innovative,0.94557746839,0.944275121895
Qwen/Qwen3-32B,qwen,adventurous,introspective,0.716482374302,0.725409538098
Qwen/Qwen3-32B,qwen,adventurous,judgmental,0.840935464558,0.867679524538
Qwen/Qwen3-32B,qwen,altruistic,altruistic,1,1
Qwen/Qwen3-32B,qwen,altruistic,forgiving,0.70795860732,0.720863218026
Qwen/Qwen3-32B,qwen,altruistic,grandiose,-0.0663260976702,-0.0380589134762
Qwen/Qwen3-32B,qwen,altruistic,impulsive,-0.288134561827,-0.1535091313
Qwen/Qwen3-32B,qwen,altruistic,manipulative,-0.334321138306,-0.202214015753
Qwen/Qwen3-32B,qwen,altruistic,optimistic,0.655050062106,0.644997547676
Qwen/Qwen3-32B,qwen,altruistic,pessimistic,-0.738404582208,-0.68341825106
Qwen/Qwen3-32B,qwen,altruistic,traditional,0.539711223039,0.428096708116
Qwen/Qwen3-32B,qwen,altruistic,innovative,-0.431332098325,-0.344835982805
Qwen/Qwen3-32B,qwen,altruistic,introspective,-0.129421911728,-0.0751922910476
Qwen/Qwen3-32B,qwen,altruistic,judgmental,-0.633561447218,-0.467584893685
Qwen/Qwen3-32B,qwen,forgiving,forgiving,1,1
Qwen/Qwen3-32B,qwen,forgiving,grandiose,0.085048511865,0.0992319898445
Qwen/Qwen3-32B,qwen,forgiving,impulsive,0.361346879099,0.401920313897
Qwen/Qwen3-32B,qwen,forgiving,manipulative,0.238565260309,0.285534750873
Qwen/Qwen3-32B,qwen,forgiving,optimistic,0.894019940089,0.885142379043
Qwen/Qwen3-32B,qwen,forgiving,pessimistic,-0.721879803276,-0.708289431926
Qwen/Qwen3-32B,qwen,forgiving,traditional,0.0878117321915,-0.000538934248868
Qwen/Qwen3-32B,qwen,forgiving,innovative,0.0271582250995,0.077507861862
Qwen/Qwen3-32B,qwen,forgiving,introspective,0.109450609823,0.15530480944
Qwen/Qwen3-32B,qwen,forgiving,judgmental,-0.187742647215,-0.0710631545541
Qwen/Qwen3-32B,qwen,grandiose,grandiose,1,1
Qwen/Qwen3-32B,qwen,grandiose,impulsive,0.544010528887,0.591598049681
Qwen/Qwen3-32B,qwen,grandiose,manipulative,0.727352987524,0.740679726494
Qwen/Qwen3-32B,qwen,grandiose,optimistic,-0.2418172636,-0.221372724388
Qwen/Qwen3-32B,qwen,grandiose,pessimistic,0.498025627864,0.48285739015
Qwen/Qwen3-32B,qwen,grandiose,traditional,-0.588156317654,-0.6582620236
Qwen/Qwen3-32B,qwen,grandiose,innovative,0.740813916746,0.785654193474
Qwen/Qwen3-32B,qwen,grandiose,introspective,0.735231094533,0.78087129627
Qwen/Qwen3-32B,qwen,grandiose,judgmental,0.688535134847,0.772131213756
Qwen/Qwen3-32B,qwen,impulsive,impulsive,1,1
Qwen/Qwen3-32B,qwen,impulsive,manipulative,0.941909983687,0.952267389862
Qwen/Qwen3-32B,qwen,impulsive,optimistic,0.171705100224,0.197963705606
Qwen/Qwen3-32B,qwen,impulsive,pessimistic,0.221507169917,0.150790225325
Qwen/Qwen3-32B,qwen,impulsive,traditional,-0.696982393392,-0.710171662676
Qwen/Qwen3-32B,qwen,impulsive,innovative,0.744163290334,0.763642710828
Qwen/Qwen3-32B,qwen,impulsive,introspective,0.443605984872,0.505890193589
Qwen/Qwen3-32B,qwen,impulsive,judgmental,0.802987830354,0.805069097833
Qwen/Qwen3-32B,qwen,manipulative,manipulative,1,1
Qwen/Qwen3-32B,qwen,manipulative,optimistic,-0.0386071372175,0.00357116067049
Qwen/Qwen3-32B,qwen,manipulative,pessimistic,0.424389285708,0.347059230836
Qwen/Qwen3-32B,qwen,manipulative,traditional,-0.76238359694,-0.78116384409
Qwen/Qwen3-32B,qwen,manipulative,innovative,0.827196908357,0.839374513142
Qwen/Qwen3-32B,qwen,manipulative,introspective,0.645659398395,0.67281094025
Qwen/Qwen3-32B,qwen,manipulative,judgmental,0.892975344345,0.895587547965
Qwen/Qwen3-32B,qwen,optimistic,optimistic,1,1
Qwen/Qwen3-32B,qwen,optimistic,pessimistic,-0.917073697452,-0.917875998961
Qwen/Qwen3-32B,qwen,optimistic,traditional,0.299282912007,0.222782954906
Qwen/Qwen3-32B,qwen,optimistic,innovative,-0.201513854568,-0.156447880904
Qwen/Qwen3-32B,qwen,optimistic,introspective,-0.261689354808,-0.210697325524
Qwen/Qwen3-32B,qwen,optimistic,judgmental,-0.417631593289,-0.329982977987
Qwen/Qwen3-32B,qwen,pessimistic,pessimistic,1,1
Qwen/Qwen3-32B,qwen,pessimistic,traditional,-0.584974490432,-0.500534895127
Qwen/Qwen3-32B,qwen,pessimistic,innovative,0.52246783469,0.464267620669
