pair,source_model,target_model,dimensions,variant,protocol,repeat_seed,fit_roles_only,coordinate_rmse,geometric_rmse,mean_aligned_coordinate_correlation,distance_matrix_correlation,nearest_neighbor_jaccard_k10,pc1_heldout_correlation,pc2_heldout_correlation,pc3_heldout_correlation,pc4_heldout_correlation,pc5_heldout_correlation,pc6_heldout_correlation
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7100,True,22.4384307445,38.8645020916,0.782169699215,0.82178318189,0.218964406766,0.965045434365,0.930040087162,0.451423576119,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7101,True,22.4656064987,38.9115718786,0.787706475917,0.825198936292,0.218954348026,0.965930702594,0.929965590127,0.467223135029,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7102,True,22.3807362051,38.764572218,0.786774314276,0.824701302567,0.214544835969,0.965434289834,0.929983340121,0.464905312873,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7103,True,22.4142033256,38.8225389712,0.77839666059,0.820252137029,0.20717220516,0.96307773469,0.931077829406,0.441034417674,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7104,True,22.4015175372,38.800566541,0.783863535091,0.822303593925,0.216948448868,0.965710818982,0.929615801323,0.45626398497,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7105,True,22.4275035212,38.8455755857,0.782185313797,0.823572133796,0.221649509761,0.965383572007,0.931403217365,0.44976915202,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7106,True,22.3907528582,38.7819215701,0.782897609911,0.822434488803,0.216421816917,0.96465705529,0.929213224422,0.454822550019,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7107,True,22.5293929603,39.022053271,0.788074298352,0.824273752543,0.223076373231,0.965932662865,0.927197787518,0.471092444673,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7108,True,22.4265822878,38.8439799626,0.784628630947,0.822639104573,0.218315492557,0.965251634267,0.929721028314,0.45891323026,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7109,True,22.3916505029,38.7834763363,0.785564099905,0.822614780141,0.218998957699,0.965084772005,0.930520207487,0.461087320223,,,
llama_to_qwen,Llama-3.3-70B,Qwen/Qwen3-32B,3,raw_pc_scores,qwen_canonical_role_family_holdout,,True,28.3010619198,49.0188771532,0.785419310224,0.855290268912,0.261125747318,0.978881571749,0.939145621189,0.438230737733,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7100,True,380.015851216,658.206761988,0.917328563688,0.912946553475,0.292487166959,0.974957346477,0.95728779504,0.819740549547,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7101,True,380.846432273,659.645370578,0.917502387569,0.913459355421,0.301327715972,0.975151747398,0.955769150365,0.821586264944,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7102,True,378.970478982,656.396124166,0.918947944868,0.91321010733,0.297511401567,0.974736901112,0.957446973414,0.824659960079,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7103,True,379.495879571,657.30614468,0.919470104092,0.912739464649,0.296371627872,0.974893462498,0.957122430343,0.826394419434,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7104,True,379.117742229,656.651191592,0.918978344485,0.912922387021,0.305095695186,0.974957271936,0.957522274751,0.824455486769,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7105,True,379.927582878,658.053876742,0.918599445912,0.913167807622,0.297066534804,0.974930808479,0.957209599422,0.823657929836,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7106,True,378.891008693,656.258477587,0.919148008081,0.912894238205,0.30194813255,0.974901234847,0.956698340853,0.825844448545,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7107,True,381.300080388,660.431112162,0.918674602964,0.913125839368,0.29570633357,0.974850086924,0.956693237189,0.824480484777,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7108,True,379.628308303,657.535517972,0.917985591151,0.91304568391,0.30100451289,0.974969472862,0.95752854787,0.821458752722,,,
gemma_to_qwen,Gemma-2-27B,Qwen/Qwen3-32B,3,raw_pc_scores,repeated_5fold,7109,True,378.799859049,656.100601772,0.917199130115,0.912314993615,0.293931097829,0.974575791454,0.956928254973,0.82009334392,,,
