target_trait,alpha,cv_loss,n_personas
adventurous,1.0,0.19214513717189596,273
altruistic,1.0,0.10784377838743772,273
forgiving,0.1,0.08489928802634442,273
grandiose,0.001,0.10622512669314148,273
impulsive,0.1,0.0646317964591761,273
manipulative,1.0,0.10882170425710405,273
optimistic,1.0,0.16869792039642095,273
pessimistic,0.1,0.13112325111112208,273
traditional,1.0,0.3972549304295763,273
innovative,1.0,0.31267369453710664,273
introspective,1.0,0.5378704524462881,273
judgmental,1.0,0.13150052692224362,273
