instrument,round,year,variable_id,reference_number,question_name,construct,exact_item_or_trait_pair,response_scale,reverse_scoring,raw_or_derived,public_use_status,official_documentation
Ten-Item Personality Inventory (TIPI),12,2008,T3162500,T31625.00,YTEL-TIPIA~000001,Extraversion,"Extraverted, enthusiastic",1=Disagree strongly; 7=Agree strongly,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Ten-Item Personality Inventory (TIPI),12,2008,T3162501,T31625.01,YTEL-TIPIA~000002,Agreeableness,"Critical, quarrelsome",1=Disagree strongly; 7=Agree strongly,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Ten-Item Personality Inventory (TIPI),12,2008,T3162502,T31625.02,YTEL-TIPIA~000003,Conscientiousness,"Dependable, self-disciplined",1=Disagree strongly; 7=Agree strongly,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Ten-Item Personality Inventory (TIPI),12,2008,T3162503,T31625.03,YTEL-TIPIA~000004,Emotional Stability,"Anxious, easily upset",1=Disagree strongly; 7=Agree strongly,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Ten-Item Personality Inventory (TIPI),12,2008,T3162504,T31625.04,YTEL-TIPIA~000005,Openness to Experience,"Open to new experiences, complex",1=Disagree strongly; 7=Agree strongly,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Ten-Item Personality Inventory (TIPI),12,2008,T3162505,T31625.05,YTEL-TIPIA~000006,Extraversion,"Reserved, quiet",1=Disagree strongly; 7=Agree strongly,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Ten-Item Personality Inventory (TIPI),12,2008,T3162506,T31625.06,YTEL-TIPIA~000007,Agreeableness,"Sympathetic, warm",1=Disagree strongly; 7=Agree strongly,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Ten-Item Personality Inventory (TIPI),12,2008,T3162507,T31625.07,YTEL-TIPIA~000008,Conscientiousness,"Disorganized, careless",1=Disagree strongly; 7=Agree strongly,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Ten-Item Personality Inventory (TIPI),12,2008,T3162508,T31625.08,YTEL-TIPIA~000009,Emotional Stability,"Calm, emotionally stable",1=Disagree strongly; 7=Agree strongly,same,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
Ten-Item Personality Inventory (TIPI),12,2008,T3162509,T31625.09,YTEL-TIPIA~000010,Openness to Experience,"Conventional, uncreative",1=Disagree strongly; 7=Agree strongly,reverse,raw individual item,public-use,https://www.nlsinfo.org/investigator/pages/search
