variable_id,reference_number,question_name,year,variable_title,question_wording_or_description,official_documentation,round,family,public_use_status,derived_or_raw,source_url
R0000100,R00001.00,PUBID,1997,"PUBID, YOUTH CASE IDENTIFICATION CODE",,NLS Investigator codebook included in the official public-use extract,1,key_or_demographic,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
R0536300,R05363.00,KEY!SEX,1997,"KEY!SEX, RS SEX (SYMBOL)",,NLS Investigator codebook included in the official public-use extract,1,key_or_demographic,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
R0536401,R05364.01,KEY!BDATE_M,1997,"KEY!BDATE, RS BIRTHDATE MONTH/YEAR (SYMBOL)",,NLS Investigator codebook included in the official public-use extract,1,key_or_demographic,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
R0536402,R05364.02,KEY!BDATE_Y,1997,"KEY!BDATE, RS BIRTHDATE MONTH/YEAR (SYMBOL)",,NLS Investigator codebook included in the official public-use extract,1,key_or_demographic,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
R1235800,R12358.00,CV_SAMPLE_TYPE,1997,SAMPLE TYPE.  CROSS-SECTIONAL OR OVERSAMPLE,Sample type: Is the respondent a member of the cross-sectional sample or the oversample?,NLS Investigator codebook included in the official public-use extract,1,survey_design,public-use; obtained through NLS Investigator guest extraction,created/derived,https://www.nlsinfo.org/investigator/pages/search
R1482600,R14826.00,KEY!RACE_ETHNICITY,1997,"KEY!RACE_ETHNICITY, COMBINED RACE AND ETHNICITY (SYMBOL)",,NLS Investigator codebook included in the official public-use extract,1,key_or_demographic,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
R1489700,R14897.00,VSTRAT,1997,VARIANCE STRATUM,Variable for use with variance PSU to correct for clustering in the sample design. The stratum reflects the first-stage units for the initial sampling of NLSY97 respondents. This variable should be used in conjunction with VPSU.,NLS Investigator codebook included in the official public-use extract,1,survey_design,public-use; obtained through NLS Investigator guest extraction,created/derived,https://www.nlsinfo.org/investigator/pages/search
R1489800,R14898.00,VPSU,1997,VARIANCE PSU,Variable for use with variance stratum to correct for clustering in the sample design. The VPSU reflects the second-stage units for the initial sampling of NLSY97 respondents. There are two second-stage units (VPSU) for each first-stage unit (VSTRAT). This variable should be used in conjunction with VSTRAT.,NLS Investigator codebook included in the official public-use extract,1,survey_design,public-use; obtained through NLS Investigator guest extraction,created/derived,https://www.nlsinfo.org/investigator/pages/search
S0920000,S09200.00,YSAQ-282J,2002,R IS DISORGANIZED OR ORGANIZED,How much do you feel that disorganized describes you as a person? Where 1 means organized and 5 means disorganized.,NLS Investigator codebook included in the official public-use extract,6,personality_goldberg_round6,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S0920100,S09201.00,YSAQ-282K,2002,R IS CONSCIENTIOUS OR NOT CONSCIENTIOUS,How much do you feel that conscientious describes you as a person? Where 1 means not conscientious and 5 means conscientious.,NLS Investigator codebook included in the official public-use extract,6,personality_goldberg_round6,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S0920200,S09202.00,YSAQ-282L,2002,R IS UNDEPENDABLE OR DEPENDABLE,How much do you feel that undependable describes you as a person? Where 1 means dependable and 5 means undependable.,NLS Investigator codebook included in the official public-use extract,6,personality_goldberg_round6,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S0920300,S09203.00,YSAQ-282M,2002,R IS THOROUGH OR CARELESS,How much do you feel that thorough describes you as a person? Where 1 means careless and 5 means thorough.,NLS Investigator codebook included in the official public-use extract,6,personality_goldberg_round6,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S0920400,S09204.00,YSAQ-282N,2002,R IS AGREEABLE OR QUARRELSOME,How much do you feel that agreeable describes you as a person? Where 1 means quarrelsome and 5 means agreeable.,NLS Investigator codebook included in the official public-use extract,6,personality_goldberg_round6,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S0920500,S09205.00,YSAQ-2820,2002,R IS DIFFICULT OR COOPERATIVE,How much do you feel that difficult describes you as a person? Where 1 means cooperative and 5 means difficult.,NLS Investigator codebook included in the official public-use extract,6,personality_goldberg_round6,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S0920600,S09206.00,YSAQ-282P,2002,R IS STUBBORN OR FLEXIBLE,How much do you feel that stubborn describes you as a person? Where 1 means flexible and 5 means stubborn.,NLS Investigator codebook included in the official public-use extract,6,personality_goldberg_round6,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S0920700,S09207.00,YSAQ-282Q,2002,R IS TRUSTFUL OR DISTRUSTFUL,How much do you feel that trustful describes you as a person? Where 1 means distrustful and 5 means trustful.,NLS Investigator codebook included in the official public-use extract,6,personality_goldberg_round6,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S1549402,S15494.02,CV_MAINJOB_FLG,2002,CV_MAINJOB_FLG,"Loop number of the current or most recent employer as of the interview date. The loop number listed corresponds to position of the job on the roster, in the created variables, and in the questionniare data (e.g., if CV_MAINJOB_FLG=2 then the current or most recent job in that survey round is in the second position on the roster).",NLS Investigator codebook included in the official public-use extract,6,main_job_roster_selector,public-use; obtained through NLS Investigator guest extraction,created/derived,https://www.nlsinfo.org/investigator/pages/search
S1603000,S16030.00,YEMP_OCCODE-2002.01,2002,"YEMP, RS OCCUPATION/JOB CODE (2002 CENSUS 4-DIGIT) 01 (ROS ITEM)",,NLS Investigator codebook included in the official public-use extract,6,occupation_2002_census,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S1603100,S16031.00,YEMP_OCCODE-2002.02,2002,"YEMP, RS OCCUPATION/JOB CODE (2002 CENSUS 4-DIGIT) 02 (ROS ITEM)",,NLS Investigator codebook included in the official public-use extract,6,occupation_2002_census,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S1603200,S16032.00,YEMP_OCCODE-2002.03,2002,"YEMP, RS OCCUPATION/JOB CODE (2002 CENSUS 4-DIGIT) 03 (ROS ITEM)",,NLS Investigator codebook included in the official public-use extract,6,occupation_2002_census,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S1603300,S16033.00,YEMP_OCCODE-2002.04,2002,"YEMP, RS OCCUPATION/JOB CODE (2002 CENSUS 4-DIGIT) 04 (ROS ITEM)",,NLS Investigator codebook included in the official public-use extract,6,occupation_2002_census,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S1603400,S16034.00,YEMP_OCCODE-2002.05,2002,"YEMP, RS OCCUPATION/JOB CODE (2002 CENSUS 4-DIGIT) 05 (ROS ITEM)",,NLS Investigator codebook included in the official public-use extract,6,occupation_2002_census,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S1603500,S16035.00,YEMP_OCCODE-2002.06,2002,"YEMP, RS OCCUPATION/JOB CODE (2002 CENSUS 4-DIGIT) 06 (ROS ITEM)",,NLS Investigator codebook included in the official public-use extract,6,occupation_2002_census,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S1603600,S16036.00,YEMP_OCCODE-2002.07,2002,"YEMP, RS OCCUPATION/JOB CODE (2002 CENSUS 4-DIGIT) 07 (ROS ITEM)",,NLS Investigator codebook included in the official public-use extract,6,occupation_2002_census,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S1603700,S16037.00,YEMP_OCCODE-2002.08,2002,"YEMP, RS OCCUPATION/JOB CODE (2002 CENSUS 4-DIGIT) 08 (ROS ITEM)",,NLS Investigator codebook included in the official public-use extract,6,occupation_2002_census,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S1603800,S16038.00,YEMP_OCCODE-2002.09,2002,"YEMP, RS OCCUPATION/JOB CODE (2002 CENSUS 4-DIGIT) 09 (ROS ITEM)",,NLS Investigator codebook included in the official public-use extract,6,occupation_2002_census,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S1603900,S16039.00,YEMP_OCCODE-2002.10,2002,"YEMP, RS OCCUPATION/JOB CODE (2002 CENSUS 4-DIGIT) 10 (ROS ITEM)",,NLS Investigator codebook included in the official public-use extract,6,occupation_2002_census,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
S1604000,S16040.00,YEMP_OCCODE-2002.11,2002,"YEMP, RS OCCUPATION/JOB CODE (2002 CENSUS 4-DIGIT) 11 (ROS ITEM)",,NLS Investigator codebook included in the official public-use extract,6,occupation_2002_census,public-use; obtained through NLS Investigator guest extraction,raw questionnaire or roster item,https://www.nlsinfo.org/investigator/pages/search
T2009700,T20097.00,CV_MAINJOB_FLG,2008,CV_MAINJOB_FLG,"Loop number of the current or most recent employer as of the interview date. The loop number listed corresponds to position of the job on the roster, in the created variables, and in the questionniare data (e.g., if CV_MAINJOB_FLG=2 then the current or most recent job in that survey round is in the second position on the roster).",NLS Investigator codebook included in the official public-use extract,12,main_job_roster_selector,public-use; obtained through NLS Investigator guest extraction,created/derived,https://www.nlsinfo.org/investigator/pages/search
