persona,nearest_neighbor_distance,mean_5nn_distance,mean_5nn_distance_percentile,profile_pca_reconstruction_error,reconstruction_error_percentile,neighbor_1,neighbor_1_distance,neighbor_2,neighbor_2_distance,neighbor_3,neighbor_3_distance,neighbor_4,neighbor_4_distance,neighbor_5,neighbor_5_distance
aberration,6.91122827602775,8.282278315065183,86.54545454545455,3.0542417760387512,62.909090909090914,demon,6.91122827602775,eldritch,8.49831645232775,void,8.577851143814167,vampire,8.63301154740663,leviathan,8.790984155749621
absurdist,8.790123951747283,9.606949523422093,91.63636363636364,5.300608211930894,97.0909090909091,jester,8.790123951747283,demon,9.362596928326049,genie,9.387425368165008,trickster,9.748397060620473,provocateur,10.74620430825166
accountant,3.0061824757785467,3.458291758786779,14.181818181818182,1.7025758715700556,10.181818181818182,statistician,3.0061824757785467,scheduler,3.214459872844516,debugger,3.574484681222539,auditor,3.602058181063647,secretary,3.894273583024644
activist,5.567335423309413,6.528129665239717,66.9090909090909,4.154661501827769,87.63636363636364,entrepreneur,5.567335423309413,advocate,5.744486060029292,technologist,6.570535820325667,writer,7.132594725827605,reporter,7.625696296706611
actor,5.7820849903568625,6.563630082103815,68.0,2.485024527795276,44.0,nomad,5.7820849903568625,shapeshifter,6.278363948339965,playwright,6.706406458679905,novelist,6.972604984588654,dilettante,7.0786900285536865
addict,4.227781213510164,5.727073026087547,56.72727272727273,4.244870433103955,88.72727272727273,orphan,4.227781213510164,celebrity,5.237382270468149,divorcee,5.266244222848896,survivor,6.71421328607273,blogger,7.1897441375377955
adolescent,1.253007924306735,11.237276960152675,96.0,4.8955095352922156,94.9090909090909,teenager,1.253007924306735,procrastinator,11.647762519127768,improviser,14.03159471536284,amateur,14.279011911147007,bartender,14.97500773081903
advocate,5.2694109154380575,5.912275611691824,60.0,2.2767280003740344,34.18181818181818,synthesizer,5.2694109154380575,activist,5.744486060029292,architect,6.045297306963351,symbiont,6.047615344826146,altruist,6.454568431202274
alien,6.140026000607093,7.707814110279612,81.81818181818183,3.7623113985570464,82.18181818181817,crystalline,6.140026000607093,homunculus,7.169411735866989,predator,7.527384173313158,parasite,8.490163618745655,golem,9.212085022865166
altruist,4.459175706499498,5.724492334125527,56.36363636363636,3.4700163996544866,75.63636363636364,guardian,4.459175706499498,pacifist,5.86066929151018,peacekeeper,5.957401483270926,guide,6.15458879692141,interpreter,6.190626392425621
amateur,5.121498740653166,9.07378962896088,88.72727272727273,2.657747451745359,50.18181818181818,newlywed,5.121498740653166,bartender,9.304513999339019,parent,9.866422582366374,grandparent,10.512810331415931,retiree,10.563702491029906
ambassador,4.5759674388266,5.014829517975999,45.81818181818182,2.108720572567339,23.272727272727273,peacekeeper,4.5759674388266,emissary,4.786353921112397,negotiator,5.037300718957888,psychologist,5.137218757675864,coordinator,5.537306753307245
amnesiac,7.101136100291093,7.704790717479864,81.45454545454545,4.35178720443645,89.81818181818181,actor,7.101136100291093,nomad,7.229842950473193,widow,7.808703065741395,loner,7.865327524805557,shapeshifter,8.518943946088077
analyst,1.6602571533657338,2.772571298868235,4.363636363636364,1.4510212825265896,4.7272727272727275,researcher,1.6602571533657338,evaluator,1.7848289102613784,engineer,3.4060464327407454,auditor,3.4730936608343494,economist,3.538630337138967
anarchist,5.733363243398769,6.974358068320285,73.0909090909091,5.866655320364953,98.9090909090909,revolutionary,5.733363243398769,destroyer,5.923897471222331,zeitgeist,7.080312484147781,visionary,7.5889286246842085,novelist,8.545288518148338
ancient,3.26862013702673,4.063169911163907,26.545454545454543,1.837069282907684,12.727272727272727,oracle,3.26862013702673,echo,3.822550316066683,witch,4.1450515987148995,prophet,4.513222657365504,ghost,4.56640484664572
angel,6.104854872747054,6.397251833382965,65.45454545454545,2.9271156725725875,58.54545454545455,avatar,6.104854872747054,sage,6.142952659954064,pilgrim,6.27239349700813,guru,6.412462887955162,shaman,7.0535952492504155
anthropologist,2.7072481240634056,3.7294431398431427,19.636363636363637,4.347916606793037,89.45454545454545,biologist,2.7072481240634056,geographer,3.375571933675622,sociologist,3.935844639598041,archivist,4.241981046927221,conservator,4.386569954951422
archaeologist,2.6494971609410745,4.217740954977881,29.09090909090909,2.4769676227764896,43.27272727272727,sommelier,2.6494971609410745,collector,3.1801243479982038,composer,4.833125580652934,naturalist,5.17036985619307,merchant,5.255587829104122
architect,1.9752801584952508,2.9877934292191006,6.181818181818182,1.8896458242532768,14.909090909090908,designer,1.9752801584952508,generalist,3.013373777805838,geographer,3.038197745701388,synthesizer,3.1009176459832557,publisher,3.8111978181097723
