partition,model,role_family,n_held_out,pc1_r2,pc1_pearson,pc1_spearman,pc1_rmse,pc1_mae,pc2_r2,pc2_pearson,pc2_spearman,pc2_rmse,pc2_mae,pc3_r2,pc3_pearson,pc3_spearman,pc3_rmse,pc3_mae,raw_3d_error_mean,raw_3d_error_median,raw_3d_error_rmse,normalized_3d_error_mean,normalized_3d_error_median,normalized_3d_error_rmse,bias_pc1,bias_pc2,bias_pc3,ordinary_lopo_normalized_3d_error_mean,cluster_holdout_vs_lopo_mean_error_ratio,selected_hyperparameters,role_family_holdout_over_lopo_rmse_ratio
Qwen-canonical role-family partition applied cross-model,ridge,combative_iconoclast,15,0.9859869688507127,0.9948369979238243,0.9892857142857142,0.057698370545545205,0.046157121867697624,0.9812362652818838,0.9924003616625776,0.9857142857142854,0.0948761938772057,0.06522311471448751,0.9321561504786683,0.9701407935784623,0.9678571428571429,0.13209173947905212,0.08396117805552646,0.1345792136443307,0.10769634892766776,0.1725654130086268,0.15756072821583286,0.12657413813635915,0.21363194589503706,0.029627019192262148,-0.015125289894730358,-0.012683100588197382,0.12444051169673755,1.2661530081120973,"{""alpha"": 0.01}",1.716001403386095
Qwen-canonical role-family partition applied cross-model,ridge,editorial,13,0.9773038465978948,0.988777274919179,0.9285714285714285,0.03198310668210767,0.021680321609697885,0.9721933702060838,0.9870209164752106,0.9395604395604396,0.04778836677685368,0.0440765611816378,0.9812198934044386,0.9945594332613902,0.9835164835164836,0.031795875614517674,0.024682732117750364,0.059986761560036024,0.059550087564924574,0.06570863579722268,0.06288282848657432,0.06139106772975036,0.06949607203040001,-0.00022582563175318823,-0.011924512367980405,0.004377204218178119,0.08057643515042821,0.7804121436891359,"{""alpha"": 0.01}",0.5582281087894075
Qwen-canonical role-family partition applied cross-model,ridge,grounded_social,54,0.9922859566002166,0.9961358026204001,0.9942062130741375,0.06217639993412656,0.04527296801202158,0.9915598751455311,0.9962219435332459,0.9955021917286067,0.06936393566823978,0.054248315799837916,0.9578839957387639,0.9793072559689275,0.9750714694110919,0.1047156185474226,0.0712341646043318,0.1126758160521303,0.08736893139685731,0.14015213536698426,0.13781055348301718,0.10012123847372366,0.18052741451992219,-0.0003541937997586133,-0.021854500334810918,-0.012233767123652881,0.10347841479232855,1.3317806787008672,"{""alpha"": 0.1}",1.4500888215382142
Qwen-canonical role-family partition applied cross-model,ridge,mythic_spiritual,51,0.9603731892928389,0.9916777503377252,0.9891402714932125,0.15007495322753667,0.12353370188929536,0.9680921646322469,0.9914966540132766,0.9867873303167422,0.0890015027664841,0.06796755028501235,0.9855007111520803,0.9929887376082085,0.9928506787330317,0.08172302393654765,0.06604853448558486,0.1676038702870931,0.13996030636763823,0.19267177199131513,0.24029744709565018,0.20502931120834142,0.2785495133720321,0.1098067924691422,0.05703251347530144,0.0031004126508689003,0.08690742888583665,2.764981661249118,"{""alpha"": 0.1}",2.2374526143846043
Qwen-canonical role-family partition applied cross-model,ridge,other,6,0.8105462966321347,0.9690665973709995,0.942857142857143,0.20860847181955747,0.12923515735447946,0.9646838286482725,0.9934400595654398,1.0,0.14817230726759345,0.12892015291160686,0.9854426562821607,0.997379524575686,1.0,0.22767645186043362,0.15107561833538044,0.27978929581923934,0.24075634999653947,0.34250415163564013,0.341583721719656,0.260928168506425,0.4383429905344295,-0.12643554720484126,0.11713073895096023,-0.02754843606155888,0.26596598458775356,1.284313564567701,"{""alpha"": 0.1}",3.5209958125415985
Qwen-canonical role-family partition applied cross-model,ridge,procedural_professional,126,0.9874281628072183,0.9949337629321987,0.990377202849644,0.05349029529524394,0.04420770376450284,0.9470997623561813,0.9824962034638621,0.9680539932508438,0.07816242917121,0.06609172545220855,0.9611716964148693,0.9924402265280381,0.9890993625796777,0.09053208641801722,0.07434614211513642,0.11897206599801652,0.11274561284019743,0.13102150852404407,0.12316078489129974,0.1138346614374161,0.13778680452310213,0.016667738698222776,0.04574396072011053,0.05321558764505108,0.05775273422193091,2.1325533163160766,"{""alpha"": 0.1}",1.106774311955662
Qwen-canonical role-family partition applied cross-model,ridge,trickster_chaos,10,0.9863380492970468,0.9972609270231629,0.9515151515151514,0.12352790986962532,0.10027129067038439,0.9850596399082645,0.9930536686810902,0.9999999999999999,0.12339670543961848,0.1028644033259009,0.9298808573249115,0.9769754208113877,0.9515151515151514,0.23337628317539566,0.16738899624881012,0.2515473017639561,0.2109855273453949,0.2914624864006905,0.3131560012571075,0.2661684256653081,0.38213161352393127,0.009866885910753326,-0.01115806874859906,0.02232532026998145,0.22743066967404016,1.3769295130948314,"{""alpha"": 0.1}",3.0694771904921017
Qwen-canonical role-family partition applied cross-model,pls,combative_iconoclast,15,0.9801329146880877,0.9905436199824764,0.9928571428571428,0.06870124115942883,0.055562323159441186,0.9804104518420053,0.9901780388230278,0.9749999999999999,0.09694151915934283,0.07950980958925656,0.9336431154990166,0.9724899531113554,0.9714285714285713,0.13063616178356638,0.10787783688025035,0.15983151163898576,0.15742335213506017,0.17658801046308145,0.19077664026110563,0.17032140223553202,0.21510187654108864,0.014443704846842976,-0.004493835651431244,0.05574876066960234,0.12444051169673755,1.5330750224334477,"{""n_components"": 40}",1.7278086405525068
Qwen-canonical role-family partition applied cross-model,pls,editorial,13,0.9361714306816165,0.9732806811294162,0.8516483516483516,0.05363546777812508,0.04086269700694784,0.8289304265759077,0.936780307763673,0.8626373626373626,0.11853166830132401,0.09135936798142656,0.9623326954738417,0.9854575129346365,0.989010989010989,0.045030216442926194,0.032754903569968914,0.11254857720179691,0.08061662700449598,0.13767439917054358,0.11383477100400026,0.09446208579823244,0.13747626833499993,-0.010984053839554987,-0.0608819762683377,0.011439582706410566,0.08057643515042821,1.4127551162009344,"{""n_components"": 40}",1.1042799259575706
Qwen-canonical role-family partition applied cross-model,pls,grounded_social,54,0.9849092858555403,0.9924293956092736,0.9898608728797407,0.0869639844578182,0.0642676392269585,0.9913765812160943,0.9958873993765506,0.9958071278825994,0.07011307746034814,0.057347487019504734,0.9637575733098277,0.9820919181413972,0.9769010863350484,0.0971396460051027,0.06502129987517552,0.12278351380241236,0.0985239543550307,0.1480361072500121,0.14033858087475617,0.10453249867649128,0.1780143422157177,-0.00142385370167354,-0.010697813898735057,-0.005883806064137386,0.10347841479232855,1.356211159171722,"{""n_components"": 40}",1.4299025353404353
Qwen-canonical role-family partition applied cross-model,pls,mythic_spiritual,51,0.9611032175510228,0.9898138352886781,0.987601809954751,0.14868614289111276,0.1197003155709677,0.9683941136817512,0.9900809020257961,0.9848868778280543,0.08857938388032138,0.061851736245564934,0.9772364635331104,0.9894754205230387,0.9872398190045248,0.10239787498173203,0.08295738237349577,0.17810406577328167,0.1494334045675893,0.20109500525181664,0.25495698292372193,0.215604964798087,0.2900256843264264,0.1008761974052525,0.04119984943667522,-0.02836961086105914,0.08690742888583665,2.933661554510358,"{""n_components"": 40}",2.3296351078816913
Qwen-canonical role-family partition applied cross-model,pls,other,6,0.6684772392862808,0.9344394546483283,0.942857142857143,0.2759542373801712,0.17494555864053182,0.9360682154192047,0.9821709383742044,1.0,0.19936028673272338,0.17743702661921254,0.9875935921785826,0.997137812565762,1.0,0.21018420338507018,0.1597869390236673,0.3495118618446739,0.31211371440961194,0.40009082019816716,0.40173157934093157,0.3412391955940778,0.4674761114311313,-0.12782408405632104,0.13296857764031356,0.001542127001355605,0.26596598458775356,1.51046224938732,"{""n_components"": 40}",3.7550079877071973
Qwen-canonical role-family partition applied cross-model,pls,procedural_professional,126,0.9820303172325674,0.9936032039006746,0.9865856767904013,0.06395077713996557,0.05419768752835506,0.9458653440212875,0.9806230410668926,0.9657142857142857,0.07906912398684582,0.06557410713610458,0.966438399602551,0.9908362849613691,0.9866156730408701,0.08416851251780214,0.06919666745934838,0.12126092433425485,0.11171203091945739,0.1320074496546015,0.12172276401747609,0.10753138380753041,0.13483106281189208,0.02723631176657611,0.04265338166270027,0.04890997421420128,0.05775273422193091,2.10765370085722,"{""n_components"": 40}",1.083032277948373
Qwen-canonical role-family partition applied cross-model,pls,trickster_chaos,10,0.9823868675414436,0.9966130898305143,0.9515151515151514,0.14025780458350365,0.10944765670530351,0.974204576656677,0.9882936522705565,0.9999999999999999,0.1621415655607496,0.12585112244482521,0.9246824676334704,0.9732866366872911,0.9151515151515152,0.24187248217004303,0.17008704079578968,0.2793138831000287,0.22747294004281965,0.32320958627517987,0.3414093048955426,0.2950812553110743,0.41288306743229425,0.016147438620975528,0.025659370466337282,0.018259820553774054,0.22743066967404016,1.5011577171401718,"{""n_components"": 40}",3.316488646769529
Qwen-canonical role-family partition applied cross-model,kernel_ridge,combative_iconoclast,15,0.9494549590017323,0.9768488628561967,0.9749999999999999,0.10958138402854967,0.08697436034907252,0.9734085156276686,0.9905933004468079,0.9678571428571429,0.11294549216601778,0.0930075011376399,0.9357616650706473,0.970122998161306,0.9749999999999999,0.12853386174279316,0.11060370385023507,0.1893502008177162,0.17517398753275212,0.20318887159672877,0.21463806553409595,0.20699160056934296,0.2316836193048303,-0.017230410913287583,0.021981504498050856,0.015670004434386254,0.12444051169673755,1.7248246781335206,"{""alpha"": 0.001, ""gamma"": 0.0010416666666666667}",1.861001706476965
Qwen-canonical role-family partition applied cross-model,kernel_ridge,editorial,13,0.9622715721269087,0.9852375553548526,0.9725274725274725,0.041236222278701995,0.02303236930301333,0.918890071080412,0.9695002567247635,0.8846153846153846,0.08161782574306108,0.06475093541493258,0.9686837514323855,0.99058018815304,0.9835164835164836,0.04105883557317171,0.038287340053871695,0.08493687820066281,0.06944383410251095,0.10023833341326037,0.09100851736810242,0.07450751740843649,0.10314424698666783,-0.014119364963433386,-0.04083004562672502,-0.0233601732300774,0.08057643515042821,1.1294681527942823,"{""alpha"": 0.001, ""gamma"": 0.0010416666666666667}",0.8285075148231182
Qwen-canonical role-family partition applied cross-model,kernel_ridge,grounded_social,54,0.9797121819060094,0.9900139789217861,0.9855917667238421,0.100832887624565,0.07405584299643501,0.9833278793383295,0.9920626996103197,0.9912330855727082,0.09748879751374714,0.07471760602260116,0.9546458876904821,0.9790634719647525,0.9734705546026299,0.1086666346817136,0.08231723962072793,0.1491827274880944,0.12694183116669633,0.17742540505923482,0.17293070196590538,0.13151426484966933,0.20836965307513922,-0.0055809566752235236,-0.021492983912195333,-0.004773870502328119,0.10347841479232855,1.6711765667551153,"{""alpha"": 0.001, ""gamma"": 0.0010416666666666667}",1.6737319673888684
Qwen-canonical role-family partition applied cross-model,kernel_ridge,mythic_spiritual,51,0.7767475386535203,0.9620576758937165,0.9780995475113121,0.3562146562884155,0.26082322509157785,0.9421519153729515,0.9764463744721292,0.9739366515837103,0.1198376158682238,0.09417192005742396,0.9140992697862999,0.9778492655063705,0.9884162895927601,0.19891590274145687,0.13949306508198533,0.33358741196083486,0.2906650727204007,0.4252263772334716,0.4961789495916134,0.4093292860855513,0.6456781540907014,0.25716682829384946,0.02206703583000905,-0.023826058041738516,0.08690742888583665,5.709281196701885,"{""alpha"": 0.001, ""gamma"": 0.0010416666666666667}",5.18641822932123
