occupation_level,occupation_code,occupation_title,analytic_n,weighted_population_estimate,bootstrap_valid_replicates,bootstrap_mean_displacement,bootstrap_p95_displacement,split_half_median_euclidean_distance,split_half_p95_euclidean_distance,within_cell_5d_rms_heterogeneity,bootstrap_p95_to_heterogeneity_ratio,feasibility_tier,failed_applicable_thresholds,intermediate_parent_code,broad_parent_code,criteria_source
narrow,0020,General and operations managers,22,62522.47,500,0.4446555592,0.8096392114,0.934197421,1.515360208,2.041190387,0.3966505117,BROAD-FAMILY ONLY,N<50;bootstrap_mean>0.40;bootstrap_p95>0.60;split_median>0.70;split_p95>1.20;uncertainty_heterogeneity_ratio>0.30,11-1000,11-0000,analysis_specification.md frozen at prereg commit
narrow,0040,Advertising and promotions managers,10,36519.9,500,0.463817771,0.9236827265,0.9396893258,1.47668759,1.476506229,0.6255867456,BROAD-FAMILY ONLY,N<50;bootstrap_mean>0.40;bootstrap_p95>0.60;split_median>0.70;split_p95>1.20;uncertainty_heterogeneity_ratio>0.30,11-2000,11-0000,analysis_specification.md frozen at prereg commit
narrow,0050,Marketing and sales managers,36,107843.61,500,0.3528063402,0.6021453079,0.7208694826,1.146045026,2.218114472,0.2714671923,BROAD-FAMILY ONLY,N<50;bootstrap_p95>0.60;split_median>0.70,11-2000,11-0000,analysis_specification.md frozen at prereg commit
narrow,0110,Computer and information systems managers,10,32894.81,500,0.5557896499,1.030465708,1.138054464,1.892995032,1.795243387,0.5739977739,BROAD-FAMILY ONLY,N<50;bootstrap_mean>0.40;bootstrap_p95>0.60;split_median>0.70;split_p95>1.20;uncertainty_heterogeneity_ratio>0.30,11-3000,11-0000,analysis_specification.md frozen at prereg commit
narrow,0120,Financial managers,41,128462.03,500,0.3256363503,0.5265285473,0.6034225265,0.9956625605,1.960883556,0.2685159685,BROAD-FAMILY ONLY,N<50,11-3000,11-0000,analysis_specification.md frozen at prereg commit
narrow,0160,"Transportation, storage, and distribution managers",11,33015.27,500,0.6243399131,1.141742533,1.252643275,1.85017593,1.975990823,0.5778076089,BROAD-FAMILY ONLY,N<50;bootstrap_mean>0.40;bootstrap_p95>0.60;split_median>0.70;split_p95>1.20;uncertainty_heterogeneity_ratio>0.30,11-3000,11-0000,analysis_specification.md frozen at prereg commit
narrow,0220,Construction managers,21,62207.74,500,0.4658171625,0.8072845709,0.9385427949,1.436517684,2.137112135,0.377745537,BROAD-FAMILY ONLY,N<50;bootstrap_mean>0.40;bootstrap_p95>0.60;split_median>0.70;split_p95>1.20;uncertainty_heterogeneity_ratio>0.30,11-9000,11-0000,analysis_specification.md frozen at prereg commit
narrow,0230,Education administrators,19,51393.69,500,0.4935720664,0.8529343366,1.026553003,1.569477285,2.067997189,0.4124446305,BROAD-FAMILY ONLY,N<50;bootstrap_mean>0.40;bootstrap_p95>0.60;split_median>0.70;split_p95>1.20;uncertainty_heterogeneity_ratio>0.30,11-9000,11-0000,analysis_specification.md frozen at prereg commit
narrow,0310,Food service managers,41,115927.38,500,0.3806809778,0.6126186042,0.7105064588,1.133394066,2.212328031,0.2769112878,BROAD-FAMILY ONLY,N<50;bootstrap_p95>0.60;split_median>0.70,11-9000,11-0000,analysis_specification.md frozen at prereg commit
narrow,0410,"Property, real estate, and community association managers",14,33202.77,500,0.6270515402,1.176256397,1.340716566,2.01190443,2.184314133,0.5385014816,BROAD-FAMILY ONLY,N<50;bootstrap_mean>0.40;bootstrap_p95>0.60;split_median>0.70;split_p95>1.20;uncertainty_heterogeneity_ratio>0.30,11-9000,11-0000,analysis_specification.md frozen at prereg commit
narrow,0420,Social and community service managers,10,29684,500,0.6975246881,1.269581247,1.387413732,2.041369737,2.047073308,0.6201933473,BROAD-FAMILY ONLY,N<50;bootstrap_mean>0.40;bootstrap_p95>0.60;split_median>0.70;split_p95>1.20;uncertainty_heterogeneity_ratio>0.30,11-9000,11-0000,analysis_specification.md frozen at prereg commit
