record_type,occupation_level,occupation_code,occupation_title,full_cell_n,subsample_n,subsample_replicates,eligible_occupation_cells,centroid_error_mean,centroid_error_median,centroid_error_p05,centroid_error_p95,reference
occupation_cell,narrow,0050,Marketing and sales managers,36,10,300,1,0.5847169532,0.5828060991,0.2720777382,0.9451519755,full finite-sample cell centroid
occupation_cell,narrow,0120,Financial managers,41,10,300,1,0.5343700922,0.5275704264,0.2950902743,0.8431267797,full finite-sample cell centroid
occupation_cell,narrow,0310,Food service managers,41,10,300,1,0.6417207325,0.6283889813,0.3346553103,0.9981995901,full finite-sample cell centroid
occupation_cell,narrow,0430,"Managers, all other",55,10,300,1,0.5481752368,0.5344963633,0.2543308816,0.889902695,full finite-sample cell centroid
occupation_cell,narrow,0620,"Human resources, training, and labor relations specialists",43,10,300,1,0.6593115921,0.6307515895,0.3278557261,1.085900877,full finite-sample cell centroid
occupation_cell,narrow,0800,Accountants and auditors,59,10,300,1,0.5986297552,0.5700204733,0.3041058837,0.9411769191,full finite-sample cell centroid
occupation_cell,narrow,2000,Counselors,44,10,300,1,0.7000105703,0.6771812666,0.3587902107,1.109988211,full finite-sample cell centroid
occupation_cell,narrow,2010,Social workers,41,10,300,1,0.5444298427,0.5235150918,0.2737169546,0.8584757769,full finite-sample cell centroid
occupation_cell,narrow,2200,Postsecondary teachers,47,10,300,1,0.6244926208,0.6037739473,0.3231521549,1.003352424,full finite-sample cell centroid
occupation_cell,narrow,2300,Preschool and kindergarten teachers,41,10,300,1,0.6147545382,0.6011628791,0.3184224183,1.005482037,full finite-sample cell centroid
occupation_cell,narrow,2310,Elementary and middle school teachers,122,10,300,1,0.5899975095,0.5814564595,0.2971308074,0.8846498069,full finite-sample cell centroid
occupation_cell,narrow,2320,Secondary school teachers,54,10,300,1,0.5687060339,0.5481923744,0.2858745872,0.8812495495,full finite-sample cell centroid
occupation_cell,narrow,2540,Teacher assistants,59,10,300,1,0.7080088364,0.7004830913,0.3695129782,1.088877365,full finite-sample cell centroid
occupation_cell,narrow,3130,Registered nurses,71,10,300,1,0.5613364802,0.5338788017,0.2883525329,0.9539028612,full finite-sample cell centroid
occupation_cell,narrow,3410,Health diagnosing and treating practitioner support technicians,32,10,300,1,0.7032156853,0.6800349804,0.3762447335,1.080284037,full finite-sample cell centroid
occupation_cell,narrow,3600,"Nursing, psychiatric, and home health aides",134,10,300,1,0.7196838897,0.6992477309,0.3351418415,1.151879376,full finite-sample cell centroid
occupation_cell,narrow,3650,Medical assistants and other healthcare support occupations,77,10,300,1,0.6841193962,0.6573726389,0.3748858411,1.058361242,full finite-sample cell centroid
