occupation_level,occupation_code,occupation_title,domain,analytic_n,raw_weighted_z_mean,design_se_z,estimated_between_cell_variance_tau2,posterior_reliability_weight_on_raw_mean,shrunken_z_mean,absolute_shrinkage,posterior_se,analysis_role
narrow,0020,General and operations managers,openness,22,0.2307347229,0.1819256868,0.01553991727,0.3195089729,0.07372181433,0.1570129086,0.1028337214,sensitivity only; does not alter N or feasibility tier
narrow,0040,Advertising and promotions managers,openness,10,0.4773534244,0.1182301072,0.01553991727,0.5264507158,0.251303052,0.2260503724,0.08578412849,sensitivity only; does not alter N or feasibility tier
narrow,0050,Marketing and sales managers,openness,36,-0.01759096841,0.1771691512,0.01553991727,0.3311379976,-0.005825038055,0.01176593036,0.1019512638,sensitivity only; does not alter N or feasibility tier
narrow,0110,Computer and information systems managers,openness,10,0.06853871514,0.3007691567,0.01553991727,0.1466002231,0.01004779093,0.05849092421,0.1151597236,sensitivity only; does not alter N or feasibility tier
narrow,0120,Financial managers,openness,41,0.1846406013,0.1609218833,0.01553991727,0.3750362875,0.06924692563,0.1153936757,0.0985488934,sensitivity only; does not alter N or feasibility tier
narrow,0160,"Transportation, storage, and distribution managers",openness,11,-0.5457939235,0.2812099161,0.01553991727,0.1642368666,-0.08963948384,0.4561544397,0.1139635466,sensitivity only; does not alter N or feasibility tier
narrow,0220,Construction managers,openness,21,0.2189933501,0.2429621194,0.01553991727,0.2083922658,0.04563652041,0.1733568297,0.1109122117,sensitivity only; does not alter N or feasibility tier
narrow,0230,Education administrators,openness,19,0.01890593769,0.2040699701,0.01553991727,0.2717506567,0.005137700982,0.0137682367,0.1063810817,sensitivity only; does not alter N or feasibility tier
narrow,0310,Food service managers,openness,41,-0.2361218344,0.1907043281,0.01553991727,0.2993738905,-0.07068871217,0.1654331222,0.1043440069,sensitivity only; does not alter N or feasibility tier
narrow,0410,"Property, real estate, and community association managers",openness,14,0.04613398509,0.3505798195,0.01553991727,0.1122452292,0.005178319732,0.04095566536,0.1174548241,sensitivity only; does not alter N or feasibility tier
narrow,0420,Social and community service managers,openness,10,0.5069307558,0.3464686066,0.01553991727,0.1146177163,0.05810324556,0.4488275102,0.1172977725,sensitivity only; does not alter N or feasibility tier
narrow,0430,"Managers, all other",openness,55,-0.02556390484,0.1277287303,0.01553991727,0.4878398631,-0.01247109184,0.013092813,0.08921281387,sensitivity only; does not alter N or feasibility tier
narrow,0540,"Claims adjusters, appraisers, examiners, and investigators",openness,20,-0.2072077472,0.2337944928,0.01553991727,0.2213670299,-0.04586896358,0.1613387836,0.1099995088,sensitivity only; does not alter N or feasibility tier
narrow,0620,"Human resources, training, and labor relations specialists",openness,43,0.09470349795,0.1346855555,0.01553991727,0.461397378,0.04369594564,0.05100755231,0.09148683069,sensitivity only; does not alter N or feasibility tier
narrow,0710,Management analysts,openness,25,0.2914833167,0.176075877,0.01553991727,0.3338856591,0.0973220993,0.1941612174,0.1017416422,sensitivity only; does not alter N or feasibility tier
narrow,0730,Other business operations specialists,openness,11,0.4168158097,0.1907555119,0.01553991727,0.299261327,0.1247368523,0.2920789574,0.1043523886,sensitivity only; does not alter N or feasibility tier
narrow,0800,Accountants and auditors,openness,59,-0.2643407578,0.1270916418,0.01553991727,0.4903388202,-0.1296165353,0.1347242225,0.08899490194,sensitivity only; does not alter N or feasibility tier
narrow,0850,Personal financial advisors,openness,11,-0.9266285272,0.326584406,0.01553991727,0.1271707178,-0.1178400149,0.8087885123,0.1164632768,sensitivity only; does not alter N or feasibility tier
narrow,0910,Loan counselors and officers,openness,17,-0.3897550223,0.2003021954,0.01553991727,0.279189179,-0.1088153847,0.2809396376,0.1058363857,sensitivity only; does not alter N or feasibility tier
narrow,1000,Computer scientists and systems analysts,openness,15,0.5058338102,0.2020571664,0.01553991727,0.27569168,0.139454173,0.3663796373,0.1060928432,sensitivity only; does not alter N or feasibility tier
narrow,1010,Computer programmers,openness,13,0.06240323547,0.2963783306,0.01553991727,0.1503183637,0.009380352248,0.05302288322,0.1149085825,sensitivity only; does not alter N or feasibility tier
narrow,1020,Computer software engineers,openness,29,-0.2612519678,0.1618438017,0.01553991727,0.3723622341,-0.09728036637,0.1639716014,0.09875950061,sensitivity only; does not alter N or feasibility tier
narrow,1040,Computer support specialists,openness,24,0.02169845777,0.2234540787,0.01553991727,0.2373534046,0.005150202826,0.01654825494,0.108864434,sensitivity only; does not alter N or feasibility tier
narrow,1100,Network and computer systems administrators,openness,11,-0.4425542822,0.3229057085,0.01553991727,0.1297068265,-0.05740231152,0.3851519707,0.1162939548,sensitivity only; does not alter N or feasibility tier
narrow,1110,Network systems and data communications analysts,openness,22,-0.02273962002,0.213732975,0.01553991727,0.2538302071,-0.005772002459,0.01696761756,0.1076820173,sensitivity only; does not alter N or feasibility tier
narrow,1360,Civil engineers,openness,12,0.1341469297,0.3287595822,0.01553991727,0.1257043181,0.01686284832,0.1172840814,0.116561068,sensitivity only; does not alter N or feasibility tier
