occupation_level,occupation_code,occupation_title,analytic_n,split_replicates,split_seed_first,split_seed_last,euclidean_distance_median,euclidean_distance_p05,euclidean_distance_p95,uncentered_cosine_median,uncentered_cosine_p05,uncentered_cosine_p95,centered_cosine_median,centered_cosine_p05,centered_cosine_p95,pearson_r_median,pearson_r_p05,pearson_r_p95,kendall_tau_b_median,kendall_tau_b_p05,kendall_tau_b_p95
narrow,0020,General and operations managers,22,500,20260911,20261410,0.934197421,0.4567537885,1.515360208,0.2164912645,-0.2911568886,0.7779265112,0.05668918531,-0.5109315298,0.8031014457,0.05668918531,-0.5109315298,0.8031014457,-0.2,-0.4,0.2
narrow,0040,Advertising and promotions managers,10,500,20260911,20261410,0.9396893258,0.4752063688,1.47668759,0.7642083227,0.33921306,0.9372118675,-0.3902106247,-0.7814368015,0.5121118937,-0.3902106247,-0.7814368015,0.5121118937,-0.4,-0.8,0.6
narrow,0050,Marketing and sales managers,36,500,20260911,20261410,0.7208694826,0.3757226548,1.146045026,0.676545658,0.3022073147,0.9259990319,0.3901232265,-0.1643713323,0.8851305964,0.3901232265,-0.1643713323,0.8851305964,0.2,-0.2,0.6
narrow,0110,Computer and information systems managers,10,500,20260911,20261410,1.138054464,0.5115959901,1.892995032,0.4505004064,-0.1097825028,0.8907436994,0.6525517856,0.2059622928,0.9350360584,0.6525517856,0.2059622928,0.9350360584,0.6,0.2,0.8
narrow,0120,Financial managers,41,500,20260911,20261410,0.6034225265,0.3301710106,0.9956625605,0.5719469947,0.05281194837,0.8720216668,0.5517609122,-0.01947148176,0.9123451668,0.5517609122,-0.01947148176,0.9123451668,0.4,0,0.8
narrow,0160,"Transportation, storage, and distribution managers",11,500,20260911,20261410,1.252643275,0.7222120595,1.85017593,0.2006855448,-0.2878220055,0.7455259612,0.4293349595,-0.2398279248,0.8491973353,0.4293349595,-0.2398279248,0.8491973353,0.2,-0.2,0.6
narrow,0220,Construction managers,21,500,20260911,20261410,0.9385427949,0.4730357422,1.436517684,0.5062729088,0.05811685701,0.8765841514,0.6383155044,0.1453922138,0.946625893,0.6383155044,0.1453922138,0.946625893,0.4,0,0.6
narrow,0230,Education administrators,19,500,20260911,20261410,1.026553003,0.5168644714,1.569477285,-0.02229742304,-0.5407728779,0.6550881542,-0.1732103817,-0.5976512835,0.6919350703,-0.1732103817,-0.5976512835,0.6919350703,-0.2,-0.6,0.4
narrow,0310,Food service managers,41,500,20260911,20261410,0.7105064588,0.3622542644,1.133394066,-0.04492482601,-0.5131435876,0.6113082649,0.03049603068,-0.4660742716,0.7198798936,0.03049603068,-0.4660742716,0.7198798936,0,-0.4,0.6
narrow,0410,"Property, real estate, and community association managers",14,500,20260911,20261410,1.340716566,0.6351958745,2.01190443,-0.5203228488,-0.7646576429,0.2026183982,-0.3150091524,-0.6512287644,0.4912478235,-0.3150091524,-0.6512287644,0.4912478235,-0.2,-0.6,0.2
narrow,0420,Social and community service managers,10,500,20260911,20261410,1.387413732,0.6169609432,2.041369737,0.5206178592,0.1331102427,0.9091873192,-0.1890849694,-0.5374507045,0.6967515389,-0.1890849694,-0.5374507045,0.6967515389,-0.2,-0.6,0.6
narrow,0430,"Managers, all other",55,500,20260911,20261410,0.499237752,0.257639864,0.8196093836,0.6241177428,0.1583041386,0.9031963292,0.4670724201,-0.06269589807,0.8826837235,0.4670724201,-0.06269589807,0.8826837235,0.4,-0.2,0.8
narrow,0540,"Claims adjusters, appraisers, examiners, and investigators",20,500,20260911,20261410,1.025729732,0.5784763858,1.522119434,-0.5432704355,-0.8216695943,0.03184094422,-0.4066653415,-0.7245113344,0.4421863592,-0.4066653415,-0.7245113344,0.4421863592,-0.2,-0.6,0.4
narrow,0620,"Human resources, training, and labor relations specialists",43,500,20260911,20261410,0.6750327353,0.3251411436,1.255186608,0.4637352205,-0.3085297007,0.8624067011,0.0959935998,-0.6404386692,0.7876192733,0.0959935998,-0.6404386692,0.7876192733,0.2,-0.4,0.6
narrow,0710,Management analysts,25,500,20260911,20261410,0.8912732633,0.4626492221,1.512305917,0.6944981371,0.2123169904,0.9245791653,0.351572451,-0.3090409319,0.8449024298,0.351572451,-0.3090409319,0.8449024298,0.2,-0.4,0.6
narrow,0730,Other business operations specialists,11,500,20260911,20261410,1.451769724,0.9349952799,2.002680724,-0.3645637158,-0.5837438476,0.1503150034,-0.1220224956,-0.4678360533,0.5957659225,-0.1220224956,-0.4678360533,0.5957659225,0,-0.4,0.6
narrow,0800,Accountants and auditors,59,500,20260911,20261410,0.5294311346,0.2817891559,0.8194182678,0.3220398375,-0.1390493722,0.7791359243,0.5301752154,0.021668155,0.9218979802,0.5301752154,0.021668155,0.9218979802,0.4,0,1
narrow,0850,Personal financial advisors,11,500,20260911,20261410,1.218367116,0.7348035192,2.015759842,0.6741660518,0.2816836928,0.8817536393,0.8030022789,0.5751314487,0.9433561163,0.8030022789,0.5751314487,0.9433561163,0.4,0,0.6
narrow,0910,Loan counselors and officers,17,500,20260911,20261410,1.004944239,0.5529752243,1.577225373,0.3716678194,-0.1079486062,0.7903453499,0.5878418465,0.04619470667,0.9163690229,0.5878418465,0.04619470667,0.9163690229,0.4,-0.2,0.8
narrow,1000,Computer scientists and systems analysts,15,500,20260911,20261410,1.065287864,0.5913507575,1.563677306,0.09564835433,-0.2871265729,0.6673152001,0.3189313467,-0.2726630408,0.8520588967,0.3189313467,-0.2726630408,0.8520588967,0.2,-0.2,0.8
narrow,1010,Computer programmers,13,500,20260911,20261410,1.244405512,0.7065368063,1.934113786,0.6951946562,0.3367195783,0.9165886591,0.7213795094,0.306456641,0.9427008347,0.7213795094,0.306456641,0.9427008347,0.4,0,0.8
narrow,1020,Computer software engineers,29,500,20260911,20261410,0.697615988,0.3420473696,1.103924655,0.674322053,0.294862606,0.9233835341,0.7525166046,0.3768030771,0.9507665107,0.7525166046,0.3768030771,0.9507665107,0.4,0,0.8
narrow,1040,Computer support specialists,24,500,20260911,20261410,0.873191557,0.4598158418,1.400613679,-0.186795679,-0.6376141135,0.5376842235,0.07562408849,-0.5363032137,0.7897164971,0.07562408849,-0.5363032137,0.7897164971,0,-0.4,0.6
narrow,1100,Network and computer systems administrators,11,500,20260911,20261410,1.375458203,0.7538341707,2.12008629,0.3497233131,-0.273905979,0.7972622509,-0.6872238178,-0.931913795,-0.04921512074,-0.6872238178,-0.931913795,-0.04921512074,-0.4,-0.8,0.2
narrow,1110,Network systems and data communications analysts,22,500,20260911,20261410,0.8858558735,0.4081034153,1.530944627,0.2261178182,-0.3424919968,0.8062292426,0.3832523047,-0.2303549939,0.8751175404,0.3832523047,-0.2303549939,0.8751175404,0,-0.4,0.6
narrow,1360,Civil engineers,12,500,20260911,20261410,1.25611151,0.6796019262,1.788207433,-0.3283512195,-0.6200683921,0.3496013212,-0.2864443597,-0.602766301,0.4178251867,-0.2864443597,-0.602766301,0.4178251867,-0.2,-0.6,0.4
