artifact_role,path,exists,size_bytes,sha256,notes
input,research/visualizations/geometry_viz_data.json,True,288387,1b15d8e3425bc3d51032919157eb683f1358f353f4ee071a18d06347a792ec6d,
input,research/outputs/no_label_elicitation_validation/family_mean_results.csv,True,1144,5df82710d50251529053675da5eed09090307628557b0b8538ddc063be70dc0e,
input,research/outputs/no_label_elicitation_validation/prompt_mean_results.csv,True,20024,e012cbae1cc7d47db8d7a99718b97827722955bd3b2e8d43f092a8c625b47b42,
input,research/outputs/no_label_elicitation_validation/geometric_success_summary.csv,True,820,041b8df45f2e5fa94646a172444e5a63c897ea9ee073de0efae9cab85ae4f42f,
input,research/outputs/no_label_elicitation_validation/projection_basis_debug.json,True,683,46d770b88eb5ea4f2ae03b1e38734eb37ce483d6edc2310685424aa8b34b5909,
input,research/outputs/no_label_elicitation_prompt_packet_v1/no_label_elicitation_prompts_v1.csv,True,63709,68a8d8b1dce277bf7b966ad6bbfdd653079177e3258a516954b0ba7f9c6aaab7,
output,research/outputs/no_label_elicitation_geometry_diagnostics/no_label_elicitation_geometry_diagnostics_report.md,True,5698,b93ee99e0dbaf86e7a3e424f7d30f1cb8d11ac0b4821b94629f2f5403c01f4a1,
output,research/outputs/no_label_elicitation_geometry_diagnostics/family_role_centroid_overlay_pc1_pc2.svg,True,92673,7fd5f663f6773101738009792136f6094ef8652277b3b3f52d04b05ea561f7b6,
output,research/outputs/no_label_elicitation_geometry_diagnostics/family_role_centroid_overlay_pc1_pc2.png,True,160957,27d4e2e5d76fd60ba3adb39704e9aab999bf186b51c27a65b4902f6ae6b42a22,
output,research/outputs/no_label_elicitation_geometry_diagnostics/family_role_centroid_overlay_pc1_pc3.svg,True,94049,ba4c3493f669b2682209d5b81ca18cf1dd8a3dd4938aebe3ab85f2c6d4d2207c,
output,research/outputs/no_label_elicitation_geometry_diagnostics/family_role_centroid_overlay_pc2_pc3.svg,True,94000,215832e2e76c84f863e34efb0478be67e26cc86f11e6c92d0ea5f68758ac0e8e,
output,research/outputs/no_label_elicitation_geometry_diagnostics/assistant_centroid_pc1_position_diagnostic.svg,True,100205,458f2844e113ee91cda29e1c5e328d7e2cbca9a182cbe31e1892f653a01a9084,
output,research/outputs/no_label_elicitation_geometry_diagnostics/assistant_centroid_pc1_position_diagnostic.png,True,79977,3379f29b0f8d5972609e17e8cff323eed98a7c0ae091dd5c55bf7ad1c3f5895b,
output,research/outputs/no_label_elicitation_geometry_diagnostics/family_mean_coordinates.csv,True,7736,b52eedd8b1d0c77b7fa1a138bdec678683e95de4dc7f89ae7ae6554ff401a289,
output,research/outputs/no_label_elicitation_geometry_diagnostics/prompt_mean_coordinates_with_roles_context.csv,True,133111,7a5b6490380eea981a013f44f927ec6c7a711a96dc6c8b736de60225b96be29c,
output,research/outputs/no_label_elicitation_geometry_diagnostics/assistant_centroid_role_percentile.csv,True,560,f0172f697beba1af778481467c0c017b87c656b1f5e252d669bb49599f5ddee9,
output,research/outputs/no_label_elicitation_geometry_diagnostics/run_no_label_elicitation_geometry_diagnostics.py,True,20857,8de619c5c3ff37e723daa79f99a872cd9c69a0b75b8b00c2e77f2ee58b39afd6,
