prompt_id,component,family,target_pc,off_axis,mean_off_axis_delta_bare,abs_mean_off_axis_delta_bare,target_axis_delta_bare,off_axis_to_target_abs_ratio
pc2_pair_05A,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC1,-75.87985367078326,75.87985367078326,2.13608768182495,35.52281786762628
pc3_pair_05B,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC1,-74.0136978178471,74.0136978178471,9.240909276618538,8.009352283666441
pc3_pair_01B,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC1,-72.38963957016271,72.38963957016271,8.422277643077772,8.595019380493921
pc2_pair_03A,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC1,-71.87995555862733,71.87995555862733,2.6852747684219693,26.768193856318693
pc2_pair_02A,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC1,-70.98611811480897,70.98611811480897,19.2232715420796,3.6927178581136513
pc2_pair_04A,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC1,-68.60002711853762,68.60002711853762,2.571654612810311,26.6754434194974
pc2_pair_01A,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC1,-68.06540994099467,68.06540994099467,23.008308356237634,2.9582970154578505
pc3_pair_03A,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC1,-67.05773325005518,67.05773325005518,10.61625219122558,6.31651660512291
pc3_pair_03B,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC1,-65.11883528922081,65.11883528922081,6.141747910892609,10.602655177969716
pc3_pair_05A,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC1,-58.668483602931204,58.668483602931204,-4.919537492181205,11.925609611912334
pc3_pair_02A,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC1,-55.608208899763646,55.608208899763646,-12.254641404402388,4.537726324638294
pc3_pair_02B,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC1,-48.43930658700993,48.43930658700993,-4.451598438535688,10.881328865532783
pc2_pair_01B,pc2_minimal_pairs,pc2_integrative_whole_vs_sensory_immediate,PC2,PC1,-47.33014949187288,47.33014949187288,10.969377344664284,4.314752606709337
pc2_neg_r2_10,pc2_negative_replacement_family,pc2_negative_replacement_integrative_coherence,PC2,PC1,-42.58993136851449,42.58993136851449,-24.77660300186685,1.7189576539327744
pc1_pos_r2_07,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC3,36.68073039221153,36.68073039221153,14.884496333564801,2.464358186544302
pc2_neg_r2_02,pc2_negative_replacement_family,pc2_negative_replacement_integrative_coherence,PC2,PC1,-34.3701175513534,34.3701175513534,0.16242923448347835,211.60056353425585
pc3_pair_02A,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC2,34.04947085314607,34.04947085314607,-12.254641404402388,2.7784958963312687
pc1_pos_r2_01,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC3,32.32798844681791,32.32798844681791,8.586819901312035,3.7648383008329485
pc1_pos_r2_02,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC3,30.544892813354966,30.544892813354966,3.3418190879422225,9.14019939725532
pc1_pos_r2_05,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC3,30.45795607573235,30.45795607573235,12.363277624578426,2.463582635657951
pc3_pair_02B,pc3_minimal_pairs,pc3_cost_to_others_vs_self,PC3,PC2,30.40146366833476,30.40146366833476,-4.451598438535688,6.829336492967278
pc1_pos_r2_03,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC3,28.931443511819644,28.931443511819644,5.029286630546505,5.752593884009763
pc1_pos_r2_04,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC3,28.10266646742563,28.10266646742563,-0.7076351354545729,39.71349790218265
pc2_neg_r2_04,pc2_negative_replacement_family,pc2_negative_replacement_integrative_coherence,PC2,PC1,-26.043942702543127,26.043942702543127,-20.570063801686523,1.2661089899199311
pc2_neg_r2_08,pc2_negative_replacement_family,pc2_negative_replacement_integrative_coherence,PC2,PC1,-25.871393722410307,25.871393722410307,-11.145590626602843,2.321222319134607
pc1_pos_r2_10,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC3,25.472204464158867,25.472204464158867,7.747345244795302,3.2878623140317527
pc1_pos_r2_06,pc1_positive_replacement_family,pc1_positive_replacement_constrained_criteria,PC1,PC3,25.4336496270951,25.4336496270951,-13.25618616043971,1.9186249588885935
